ཨེན་ཌོ་ར། (AD)
ཨ་རབ། ཨི་མི་རཊ྄། ཆིག་སྒྲིལ་རྒྱལ་ཁབ། (AE)
ཨཕ་ག་ནི་སྟཱན། (AF)
ཨེན་ཊི་གུ་དང་། བྷར་བུ་ཌ། (AG)
ཨང་གུའི་ལ། (AI)
ཨལ་བཱ་ནི་ཡ། (AL)
ཨར་མེ་ནི་ཡ། (AM)
ཨང་གཽ་ལ། (AO)
ལྷོ་རྩེའི་མཐའ་གླིང་། (AQ)
ཨར་ཇེན་ཊི་ན། (AR)
ཨསྟྲི་ཡ། (AT)
ཨསྟྲེ་ལི་ཡ། (AU)
ཨ་རུ་བ། (AW)
ཨཛར་བཡེ་ཇན། (AZ)
བོསྣི་ཡ་དང་ཧརྫོ་གོ་ཝི་ན། (BA)
བཱརྦ་ཌོས྄། (BB)
བངྒ་ལ་དེཤ། (BD)
བེལ་ཇི་ཡམ། (BE)
བརཀི་ན། ཕསོ། (BF)
བུལ་ག་རི་ཡ། (BG)
བྷཱ་རེན། (BH)
བུ་རུན་ཌི། (BI)
བཱེ་ནིན། (BJ)
བར་མུ་ཌ། (BM)
བུ་རུ་ནེ། (BN)
བོ་ལི་ཝིཡ། (BO)
བ་རཱ་ཛིལ། (BR)
བྷཱ་མས྄། (BS)
འབྲུག་ཡུལ། (BT)
བོཙ་ཝ་ན། (BW)
བེ་ལུ་རུ་སུ། (BY)
བེ་ལིཛ། (BZ)
ཁེ་ན་ཌ། (CA)
ཀོ་ཊེ་ཌི། ཨི་ཝོ་རེ། (CI)
ཀཱུག གླིང་ཕྲེན་རྒྱལ་ཁབ། (CK)
ཅི་ལི། (CL)
ཀ་མེ་རུན། (CM)
རྒྱ་ནག (CN)
ཀོ་ལོམ་བི་ཡ། (CO)
ཀོ་ས྄ཊ་རི་ཀ། (CR)
ཁྱུའུ་བ། (CU)
སཱཡེ་པ་རས྄། (CY)
ཅཻག་སྤྱི་མཐུན་རྒྱལ་ཁབ། (CZ)
འཇར་མན་ (DE)
ཛི་བུ་ཏི། (DJ)
ཌེན་མཱརྐ། (DK)
ཌོ་མིན་ནི་ཀ། (DM)
ཌོ་མིནནི་ཀན་སྤྱི་མཐུན་རྒྱལ་ཁབ། (DO)
ཨལ་ཇི་རི་ཡ། (DZ)
ཨི་ཁྭ་ཌོར། (EC)
ཨིསྟོ་ནི་ཡ། (EE)
ཨི་ཇིབྚ། (EG)
ཨེ་རི་ཏྲེ་ཨ། (ER)
སི་པན། (ES)
ཨི་ཐིའོ་པི་ཡ། (ET)
ཕིན་ལན྄ཌ། (FI)
ཕི་ཇི། (FJ)
ཕལྐ་ལནྜ་གླིང་ཕྲན། (FK)
ཕ་རཱན་སི། (FR)
གེ་བཽན། (GA)
དབྱིན་ཇི་ (GB)
གྷ་རི་ན་ཌ། (GD)
ཇོར་ཇི་ཡ། (GE)
གྷ་ན། (GH)
ཇིབ་རཱལ་ཊར། (GI)
གྷམ་བི་ཡ། (GM)
གྷི་ནི་ཡ། (GN)
གྷི་རཱི་སི། (GR)
གྷོ་ཊེ་མ་ལ། (GT)
གྷི་ནི་ཡ་བིས྄་སོ། (GW)
གྷུ་ཡཱ་ན། (GY)
ཧོང་ཀོང༌། (HK)
ཧོན་དུ་རས྄། (HN)
ཀུརོ་ཤི་ཡ། (HR)
ཧེ་ཏི། (HT)
ཧངྒ་རི། (HU)
ཨིན་ཌོ་ནེ་ཤི་ཡ། (ID)
ཨ་ཡར་ལནཌ། (IE)
ཨི་ཛ྄་རེལ། (IL)
རྒྱ་གར་ (IN)
ཨི་རག། (IQ)
ཨི་རཱན། (IR)
ཨ་ཨི་སི་ལནད། (IS)
ཨི་ཀྲར་ལི་ (IT)
ཛ་མེ་ཀ། (JM)
ཇོར་ཌན། (JO)
རི་པིན་ (JP)
ཁེན་ཉི་ཡ། (KE)
ཁིར་གིཛ་སྟཱན། (KG)
ཀམ་བོ་ཌི་ཡ། (KH)
ཀི་རི་བཱ་ཏི། (KI)
སེནྚ། ཀིཊྚས྄། དང༌། ནེ་བིས྄། (KN)
ཀོ་རི་ཡ། ལྷོ་མ། (KR)
ཀུ་ཝེད་རྒྱལ་ཁབ། (KW)
ཁེ་མེན་གླིང་ཕྲན། (KY)
ཁ་ཛཱག་སྟཱན། (KZ)
ལཱ་འོས། (LA)
ལེབ་ནོན། (LB)
སེནྚ། ལུ་ཤི་ཡ། (LC)
ལེག་ཏེན་ཚིན། (LI)
ཤྲཱི་ལང་ཀ། (LK)
ལི་བེ་རི་ཡ། (LR)
ལེ་སོ་ཐོ། (LS)
