iso,name
QA,ཀ་ཏར
KH,ཀམ་བོ་ཌི་ཡ
CU,ཀིའུ་སྦ
KW,ཀུ་ཝེཊ
CA,ཀེ་ན་ཌ
KE,ཀེ་ནི་ཡ
GR,གིརིསི
CZ,ཅེཀ་རི་པབ་ལིཀ
JP,ཇ་པཱན
JM,ཇ་མའི་ཀ
DE,ཇཱར་མ་ནི
DK,ཌེན་མཱཀ
TJ,ཏ་ཇག་ཀིསི་ཏཱན
TW,ཏའི་ཝཱན
TH,ཐཱའི་ལེནཌ
NZ,ནིའུ་ཛི་ལེནཌ
NL,ནེ་དར་ལེནཌསི
NO,ནོ་ཝེ
PK,པ་ཀིསི་ཏཱན
PA,པ་ན་མཱ
PS,"པེ་ལིསི་ཊི་ནིཡ ན་ཊེ་རི་ངོ་རི"
PT,པོར་ཅུ་གལ
FR,ཕརཱནསི
FI,ཕིན་ལེནཌ
BD,བངྒ་ལ་དེཤ
NP,བལ་ཡུལ
BH,བཧ་རེན
BR,བཱརཱ་ཛིལ
VN,བེཊ་ནཱམ
BE,བེལ་ཇིཡམ
KP,བྱང་ཀོ་རི་ཡ
MY,མ་ལེ་ཤི་ཡ
MV,མཱལ་ཌིབས
MM,མེ་མར
MX,མེཀསི་ཀོ
MU,མོ་རི་ཤིཡསི
MS,མོན་ས་རཊི
ZM,ཛམ་བི་ཡ
ZW,ཛིམ་བབ་ཝེ
BT,འབྲུག
GB,ཡུ་ནའི་ཊེཊ་ཀིང་ཌམ
AE,"ཡུ་ནའི་ཊེཊ་ཨ་ར བ་ཨེ་མི་རེཊསི"
US,ཡུ་ནའིཊེཊ་སི་ཊེསི
IN,རྒྱ་གར
CN,རྒྱ་མི
LA,ལ་འོསུ
LB,ལེ་བཱ་ནཱོན
KR,ལྷོ་ཀོ་རི་ཡ
LK,ཤྲཱྀ་ལངཀ
SA,སའུ་དི་ཨེ་ར་སྦི་ཡ
ZA,སའུཐ་ཨཕ་རི་ཀ
ES,སིཔཱེན
SI,སིལོ་བེ་ནི་ཡ
SE,སུའི་ཌན
CH,སུའིཊ་ཛར་ལེན
MN,སོག་པོ
HK,ཧོང་ཀོང
AF,ཨཕ་ག་ནིསི་ཏཱན
IE,ཨའིརི་ལེནཌ
IS,ཨའིསི་ལེནཌ
AR,ཨར་ཇེན་ཊི་ན
AT,ཨས་ཊི་ཡ
AU,ཨས་ཊེཡེ་ལི་ཡ
EG,ཨི་ཇིཔཊ
IQ,ཨི་རཀ
IR,ཨི་རཱན
IL,ཨིཛ་རཱེལ
UZ,ཨུཛ་བེ་ཀིསི་ཏཱན
AQ,ཨེན་ཊཱག་ཊི་ཀ
IT,ཨྀཊ་ལི
