Afganujo (AF)
Albanujo (AL)
Alĝerio (DZ)
Andoro (AD)
Angolo (AO)
Angvilo (AI)
Antarkto (AQ)
Antigvo-Barbudo (AG)
Argentino (AR)
Armenujo (AM)
Arubo (AW)
Azerbajĝano (AZ)
Aŭstralio (AU)
Aŭstrujo (AT)
Bahamoj (BS)
Bangladeŝo (BD)
Barbado (BB)
Barejno (BH)
Belaŭo (PW)
Belgujo (BE)
Belizo (BZ)
Belorusujo (BY)
Benino (BJ)
Bermudoj (BM)
Bocvano (BW)
Bolivio (BO)
Bosnio-Hercegovino (BA)
Brazilo (BR)
Brita Hindoceana Teritorio (IO)
Britaj Virgulininsuloj (VG)
Brunejo (BN)
Bulgarujo (BG)
Burkino (BF)
Burundo (BI)
Butano (BT)
Centr-Afrika Respubliko (CF)
Danujo (DK)
Domingo (DO)
Dominiko (DM)
Ebur-Bordo (CI)
Egipto (EG)
Ekvadoro (EC)
Ekvatora Gvineo (GQ)
Eritreo (ER)
Estonujo (EE)
Etiopujo (ET)
Ferooj (FO)
Filipinoj (PH)
Finnlando (FI)
Fiĝoj (FJ)
Franca Gviano (GF)
Franca Polinezio (PF)
Francujo (FR)
Gabono (GA)
Gambio (GM)
Ganao (GH)
Germanujo (DE)
Grekujo (GR)
Grenado (GD)
Gronlando (GL)
Gujano (GY)
Gvadelupo (GP)
Gvamo (GU)
Gvatemalo (GT)
Gvineo (GN)
Gvineo-Bisaŭo (GW)
Haitio (HT)
Herda kaj Makdonaldaj Insuloj (HM)
Hindujo (IN)
Hispanujo (ES)
Honduro (HN)
Hungarujo (HU)
Indonezio (ID)
Irako (IQ)
Irano (IR)
Irlando (IE)
Islando (IS)
Israelo (IL)
Italujo (IT)
Jamajko (JM)
Japanujo (JP)
Jemeno (YE)
Jordanio (JO)
Kabo-Verdo (CV)
Kamboĝo (KH)
Kameruno (CM)
Kanado (CA)
Kartvelujo (GE)
Kataro (QA)
Kazaĥstano (KZ)
Kejmanoj (KY)
Kenjo (KE)
Kipro (CY)
Kirgizistano (KG)
Kiribato (KI)
Kolombio (CO)
Komoroj (KM)
Kongolo (CG)
Kostariko (CR)
Kroatujo (HR)
Kubo (CU)
Kukinsuloj (CK)
Kuvajto (KW)
Laoso (LA)
Latvujo (LV)
Lesoto (LS)
Libano (LB)
Liberio (LR)
Libio (LY)
Litovujo (LT)
Liĥtenŝtejno (LI)
Luksemburgo (LU)
Madagaskaro (MG)
Majoto (YT)
Makedonujo (MK)
Malajzio (MY)
Malavio (MW)
Maldivoj (MV)
Malio (ML)
Malto (MT)
Maroko (MA)
Martiniko (MQ)
Marŝaloj (MH)
Maŭricio (MU)
Maŭritanujo (MR)
Meksiko (MX)
Mikronezio (FM)
Mjanmao (MM)
Moldavujo (MD)
Monako (MC)
Mongolujo (MN)
Mozambiko (MZ)
Namibio (NA)
Nauro (NR)
Nederlandaj Antiloj (AN)
Nederlando (NL)
Nepalo (NP)
Nikaragvo (NI)
Niuo (NU)
Niĝerio (NG)
Niĝero (NE)
Nord-Koreo (KP)
Nord-Marianoj (MP)
Norfolkinsulo (NF)
Norvegujo (NO)
Nov-Kaledonio (NC)
Nov-Zelando (NZ)
Okcidenta Saharo (EH)
Omano (OM)
Pakistano (PK)
Panamo (PA)
Papuo-Nov-Gvineo (PG)
Paragvajo (PY)
Peruo (PE)
Pitkarna Insulo (PN)
Pollando (PL)
Portugalujo (PT)
Puerto-Riko (PR)
Reunio (RE)
Ruando (RW)
Rumanujo (RO)
Rusujo (RU)
Salomonoj (SB)
Salvadoro (SV)
Samoo (WS)
San-Marino (SM)
Sao-Tomeo kaj Principeo (ST)
Saŭda Arabujo (SA)
Sejŝeloj (SC)
Senegalo (SN)
Sent-Heleno (SH)
Sent-Kristofo kaj Neviso (KN)
Sent-Lucio (LC)
Sent-Piero kaj Mikelono (PM)
Sent-Vincento kaj la Grenadinoj (VC)
Serbujo (CS)
Siera-Leono (SL)
Singapuro (SG)
Sirio (SY)
Slovakujo (SK)
Slovenujo (SI)
Somalujo (SO)
Sri-Lanko (LK)
Sud-Afriko (ZA)
Sud-Georgio kaj Sud-Sandviĉinsuloj (GS)
Sud-Koreo (KR)
Sudano (SD)
Surinamo (SR)
Svalbardo kaj Jan-Majen-insulo (SJ)
Svazilando (SZ)
Svedujo (SE)
Svisujo (CH)
Tajlando (TH)
Tajvano (TW)
Tanzanio (TZ)
Taĝikujo (TJ)
Togolo (TG)
Tongo (TO)
Trinidado kaj Tobago (TT)
Tunizio (TN)
Turkmenujo (TM)
Turkujo (TR)
Tuvalo (TV)
Ugando (UG)
Ukrajno (UA)
Unuiĝinta Reĝlando (GB)
Unuiĝintaj Arabaj Emirlandos (AE)
Urugvajo (UY)
Usonaj Virgulininsuloj (VI)
Usonaj malgrandaj insuloj (UM)
Usono (US)
Uzbekujo (UZ)
Valiso kaj Futuno (WF)
Vanuatuo (VU)
Vatikano (VA)
Venezuelo (VE)
Vjetnamo (VN)
Zambio (ZM)
Zimbabvo (ZW)
Ĉado (TD)
Ĉeĥujo (CZ)
Ĉilio (CL)
Ĉinujo (CN)
Ĝibraltaro (GI)
Ĝibutio (DJ)
