ሀንጋሪ (HU)
ሀይቲ (HT)
ህንድ (IN)
ሆንግ፡ኮንግ (HK)
ሊቢያ (LY)
ሊባኖስ (LB)
ሊቱዌኒያ (LT)
ላትቪያ (LV)
ሚክሮኔዢያ (FM)
ማሌዢያ (MY)
ማልታ (MT)
ማሩሸስ (MU)
ማከዶኒያ (MK)
ማካዎ (MO)
ሜክሲኮ (MX)
ምስራቅ፡ቲሞር (TL)
ምዕራባዊ፡ሳህራ (EH)
ሞልዶቫ (MD)
ሞሪቴኒያ (MR)
ሞሮኮ (MA)
ሞንጎሊያ (MN)
ራሺያ (RU)
ሮሜኒያ (RO)
ሰሜን፡ኮሪያ (KR)
ሰርቢያ (CS)
ሱማሌ (SO)
ሱዳን (SD)
ሲሪያ (SY)
ሲንጋፖር (SG)
ሳውድአረቢያ (SA)
ሳይፕረስ (CY)
ሴኔጋል (SN)
ስሎቫኪያ (SK)
ስሎቬኒያ (SI)
ስዊዘርላንድ (CH)
ስዊድን (SE)
ስፔን (ES)
ቡህታን (BT)
ቡልጌሪያ (BG)
ቢሳዎ (GW)
ባህሬን (BH)
ባርቤዶስ (BB)
ቤሊዘ (BZ)
ቤላሩስ (BY)
ቤልጄም (BE)
ቤርሙዳ (BM)
ብራዚል (BR)
ቦሊቪያ (BO)
ቦስኒያ፡እና፡ሄርዞጎቪኒያ (BA)
ቬንዙዌላ (VE)
ቱርክ (TR)
ቱኒዚያ (TN)
ታንዛኒያ (TZ)
ታይላንድ (TH)
ታጃኪስታን (TJ)
ትሪኒዳድ፡እና፡ቶባጎ (TT)
ቺሊ (CL)
ቻይና (CN)
ቻድ (TD)
ቼክ፡ሪፑብሊክ (CZ)
ኒው፡ካሌዶኒያ (NC)
ኒው፡ዚላንድ (NZ)
ናሚቢያ (NA)
ናይጄሪያ (NG)
ኔዘርላንድ (NL)
ኔዘርላንድስ፡አንቲልስ (AN)
ኔፓል (NP)
ኖርዌ (NO)
አልባኒያ (AL)
አልጄሪያ (DZ)
አሜሪካ (US)
አርሜኒያ (AM)
አርጀንቲና (AR)
አንዶራ (AD)
አውስትሬሊያ (AU)
አዘርባጃን (AZ)
አየርላንድ (IE)
አይስላንድ (IS)
ኢራቅ (IQ)
ኢትዮጵያ (ET)
ኢንዶኔዢያ (ID)
ኢኳቶሪያል፡ጊኒ (GQ)
ኢኳዶር (EC)
ኤርትራ (ER)
ኤስቶኒያ (EE)
እስራኤል (IL)
እንግሊዝ (GB)
ኦስትሪያ (AT)
ካሜሩን (CM)
ካምቦዲያ (KH)
ኬፕ፡ቬርዴ (CV)
ክሮኤሽያ (HR)
ክዌት (KW)
ኮሎምቢያ (CO)
ኮሞሮስ (KM)
ዛምቢያ (ZM)
የመን (YE)
የመካከለኛው፡አፍሪካ፡ሪፐብሊክ (CF)
የተባበሩት፡አረብ፡ኤምሬትስ (AE)
የአሜሪካ፡ቨርጂን፡ደሴቶች (VI)
የእንግሊዝ፡ድንግል፡ደሴቶች (VG)
የፈረንሳይ፡ደቡባዊ፡ግዛቶች (TF)
የፈረንሳይ፡ጉዊአና (GF)
የፈረንሳይ፡ፖሊኔዢያ (PF)
ዩዝበኪስታን (UZ)
ዩጋንዳ (UG)
ደቡብ፡አፍሪካ (ZA)
ደቡብ፡ኮሪያ (KP)
ዴንማርክ (DK)
ዶሚኒካ (DM)
ዶሚኒክ፡ሪፑብሊክ (DO)
ጀርመን (DE)
ጃማይካ (JM)
ጃፓን (JP)
ጆርዳን (JO)
ጆርጂያ (GE)
ጉያና (GY)
ጊኒ (GN)
ጋምቢያ (GM)
ግሪክ (GR)
ግብጽ (EG)
ጣሊያን (IT)
ፈረንሳይ (FR)
ፊንላንድ (FI)
ፊጂ (FJ)
ፓፑዋ፡ኒው፡ጊኒ (PG)
ፔሩ (PE)
ፖላንድ (PL)
ፖርታ፡ሪኮ (PR)
