アイスランド (IS)
アイルランド (IE)
アゼルバイジャン (AZ)
アフガニスタン (AF)
アメリカ合衆国 (US)
アメリカ領ヴァージン諸島 (VI)
アラブ首長国連邦 (AE)
アルジェリア (DZ)
アルゼンチン (AR)
アルバニア (AL)
アルバ島 (AW)
アルメニア (AM)
アンギラ (AI)
アンゴラ (AO)
アンティグア・バーブーダ (AG)
アンドラ (AD)
イエメン (YE)
イギリス (GB)
イギリス領ヴァージン諸島 (VG)
イスラエル (IL)
イタリア (IT)
イラク (IQ)
イラン (IR)
インド (IN)
インドネシア (ID)
ウォリス・フツナ (WF)
ウガンダ (UG)
ウクライナ (UA)
ウズベキスタン (UZ)
ウルグアイ (UY)
エクアドル (EC)
エジプト (EG)
エストニア (EE)
エチオピア (ET)
エリトリア (ER)
エルサルバドル (SV)
オマーン (OM)
オランダ (NL)
オランダ領アンティル諸島 (AN)
オーストラリア (AU)
オーストリア (AT)
オーランド諸島 (AX)
カザフスタン (KZ)
カタール (QA)
カナダ (CA)
カメルーン (CM)
カンボジア (KH)
カーボベルデ (CV)
ガイアナ (GY)
ガボン (GA)
ガンビア (GM)
ガーナ (GH)
ガーンジー (GG)
キプロス (CY)
キューバ (CU)
キリバス (KI)
キルギスタン (KG)
ギニア (GN)
ギニアビサウ (GW)
ギリシャ (GR)
クウェート (KW)
クック諸島 (CK)
クリスマス島 (CX)
クロアチア (HR)
グアテマラ (GT)
グアドループ (GP)
グアム (GU)
グリーンランド (GL)
グルジア (GE)
グレナダ (GD)
ケイマン諸島 (KY)
ケニア (KE)
ココス (キーリング) 諸島 (CC)
コスタリカ (CR)
コモロ (KM)
コロンビア (CO)
コンゴ共和国 (ブラザビル) (CG)
コンゴ民主共和国 (キンシャサ) (CD)
コートジボワール (CI)
サウジアラビア (SA)
サモア (WS)
サントメ・プリンシペ (ST)
サンピエール島・ミクロン島 (PM)
サンマリノ (SM)
サン・バルテルミー (BL)
ザンビア (ZM)
シエラレオネ (SL)
シリア (SY)
シンガポール (SG)
ジブチ (DJ)
ジブラルタル (GI)
ジャマイカ (JM)
ジャージー (JE)
ジンバブエ (ZW)
スイス (CH)
スウェーデン (SE)
スバールバル諸島・ヤンマイエン島 (SJ)
スペイン (ES)
スリナム (SR)
スリランカ (LK)
スロバキア (SK)
スロベニア (SI)
スワジランド (SZ)
スーダン (SD)
セネガル (SN)
セルビア (RS)
セルビア・モンテネグロ (CS)
セントクリストファー・ネイビス (KN)
セントビンセント・グレナディーン諸島 (VC)
セントヘレナ (SH)
セントルシア (LC)
セント・マーチン (MF)
セーシェル (SC)
ソマリア (SO)
ソロモン諸島 (SB)
タイ (TH)
タジキスタン (TJ)
タンザニア (TZ)
タークス諸島・カイコス諸島 (TC)
チェコ共和国 (CZ)
チャド (TD)
チュニジア (TN)
チリ (CL)
ツバル (TV)
デンマーク (DK)
トケラウ諸島 (TK)
トリニダード・トバゴ (TT)
トルクメニスタン (TM)
トルコ (TR)
トンガ (TO)
トーゴ (TG)
ドイツ (DE)
ドミニカ共和国 (DO)
ドミニカ国 (DM)
ナイジェリア (NG)
ナウル (NR)
ナミビア (NA)
ニウエ島 (NU)
ニカラグア (NI)
ニジェール (NE)
ニューカレドニア (NC)
ニュージーランド (NZ)
ネパール (NP)
ノルウェー (NO)
ノーフォーク島 (NF)
ハイチ (HT)
ハンガリー (HU)
ハード島・マクドナルド諸島 (HM)
バチカン市国 (VA)
バヌアツ (VU)
バハマ (BS)
バミューダ (BM)
バルバドス (BB)
バングラデシュ (BD)
バーレーン (BH)
パキスタン (PK)
パナマ (PA)
パプアニューギニア (PG)
パラオ (PW)
パラグアイ (PY)
パレスチナ領土 (PS)
ピトケアン島 (PN)
フィジー (FJ)
フィリピン (PH)
フィンランド (FI)
フェロー諸島 (FO)
フォークランド諸島 (FK)
フランス (FR)
フランス領極南諸島 (TF)
ブラジル (BR)
ブルガリア (BG)
ブルキナファソ (BF)
ブルネイ (BN)
ブルンジ (BI)
ブータン (BT)
ブーベ島 (BV)
プエルトリコ (PR)
ベトナム (VN)
ベニン (BJ)
ベネズエラ (VE)
ベラルーシ (BY)
ベリーズ (BZ)
ベルギー (BE)
ペルー (PE)
ホンジュラス (HN)
ボスニア・ヘルツェゴビナ (BA)
ボツワナ (BW)
ボリビア (BO)
ポルトガル (PT)
ポーランド (PL)
マケドニア (MK)
マダガスカル (MG)
マヨット島 (YT)
マラウィ (MW)
マリ (ML)
マルタ (MT)
マルティニーク島 (MQ)
マレーシア (MY)
マン島 (IM)
マーシャル諸島共和国 (MH)
ミクロネシア (FM)
ミャンマー (MM)
メキシコ (MX)
モザンビーク (MZ)
モナコ (MC)
モルジブ (MV)
モルドバ (MD)
モロッコ (MA)
モンゴル (MN)
モンテネグロ (ME)
モントセラト島 (MS)
モーリシャス (MU)
モーリタニア (MR)
ヨルダン (JO)
ラオス (LA)
ラトビア (LV)
リトアニア (LT)
リヒテンシュタイン (LI)
リビア (LY)
リベリア (LR)
ルクセンブルグ (LU)
ルワンダ (RW)
ルーマニア (RO)
レソト (LS)
レバノン (LB)
レユニオン島 (RE)
ロシア (RU)
不明な地域 (ZZ)
中国 (CN)
中央アフリカ共和国 (CF)
中華人民共和国マカオ特別行政区 (MO)
中華人民共和国香港特別行政区 (HK)
仏領ギアナ (GF)
仏領ポリネシア (PF)
北マリアナ諸島 (MP)
南アフリカ (ZA)
南ジョージア島・南サンドイッチ諸島 (GS)
南極大陸 (AQ)
台湾 (TW)
大韓民国 (KR)
日本 (JP)
朝鮮民主主義人民共和国 (KP)
東ティモール (TL)
米領サモア (AS)
米領太平洋諸島 (UM)
英領インド洋植民地 (IO)
西サハラ (EH)
赤道ギニア (GQ)
