Ajɛntîn (AR)
Aljɛlî (DZ)
Aŋgɔ́la (AO)
Cât (TD)
Cíllɛ (CL)
Fɛlánci (FR)
Ilâk (IQ)
Islayɛ̂l (IL)
Italî (IT)
Japɔ̂n (JP)
Kamɛlûn (CM)
Kanadâ (CA)
Kúba (CU)
Kɔllɔmbî (CO)
Kɔmɔ́lɔshi (KM)
Kɔ́t Ndivwâ (CI)
Kɔ́ŋgɔ-Kinshása (CD)
Kɔ́ŋgɔ-Mbɛlazavîl (CG)
Kɛ́nya (KE)
Libî (LY)
Libɛrî (LR)
Lusî (RU)
Luwánda (RW)
Lɛsɔ́tɔ (LS)
Lɛ́uniyɔ̂n (RE)
Maláwi (MW)
Malî (ML)
Mayɔ̂t (YT)
Mbulukína Fásɔ (BF)
Mbulundí (BI)
Mbɔlivî (BO)
Mbɔtswána (BW)
Mbɛlazîl (BR)
Mbɛnɛ̂ŋ (BJ)
Mándaŋgasɛkâ (MG)
Mɔlitanî (MR)
Mɔlɔ̂k (MA)
Mɔzambîk (MZ)
Mɛksîk (MX)
Namimbî (NA)
Nijɛ̂ (NE)
Ninjɛliyâ (NG)
Njimbúti (DJ)
Njáman (DE)
Nɔlɛvɛ́jɛ (NO)
Pɛlû (PE)
Pɛsɛ́shɛl (SC)
Shîn (CN)
Siyɛ́la Lɛɔ̂n (SL)
Sundân (SD)
Swazilân (SZ)
Sáwɔŋ Tɔmɛ́ nɛ́ Pɛlínsipɛ (ST)
Sɔmalî (SO)
Sɛlɛbî (RS)
Sɛnɛgâl (SN)
Sẅísɛ (CH)
Tanzanî (TZ)
Tunizî (TN)
Tɔ́ŋgɔ (TG)
Uŋgánda (UG)
Vɛnɛzwɛ́la (VE)
Zambî (ZM)
Zimbámbwɛ (ZW)
Ándɛ (IN)
Ŋgabɔ̂ŋ (GA)
Ŋgambî (GM)
Ŋginɛ̂ (GN)
Ŋginɛ̂ Mbisáwu (GW)
Ŋginɛ̂ Ɛkwatɔliyâl (GQ)
Ŋgána (GH)
Ŋgɛlɛ̂k (GR)
ŋgɔŋ yi pɛ́ ká kɛ́ jʉɔ (ZZ)
Ɛjíptɛ (EG)
Ɛkwandɔ̂ (EC)
Ɛlitɛlɛ́ya (ER)
Ɛspániya (ES)
Ɛtiyɔpî (ET)
