ກາຕາ (QA)
ການາດາ (CA)
ການ່າ (GH)
ກາບອນ (GA)
ກຳປູເຈຍ (KH)
ກິວນີ (GN)
ກິວນີ-ບິສໂຊ (GW)
ກິຼກ (GR)
ກູຢານາ (GY)
ກົວເດີລູບ (GP)
ກົວເຕມາລາ (GT)
ຄອງໂກ (CG)
ຄອສຕາລິກາ (CR)
ຄາຊັດສະຖານ (KZ)
ຄາເມລູນ (CM)
ຄິວບາ (CU)
ຄິໂບຕິ (DJ)
ຄີລິບາດ (KI)
ຄູເວດ (KW)
ຈາໄມກາ (JM)
ຈີນ (CN)
ຈໍເຈຍ (GE)
ຈໍແດນ (JO)
ຊາດ (TD)
ຊາອຸດິອາລະເບຍ (SA)
ຊາຮາລາຕະເວັນຕົກ (EH)
ຊິນີກັນ (SN)
ຊິມບັບເວ (ZW)
ຊິສິ (CL)
ຊິເລຍ (SY)
ຊູດານ (SD)
ຊູລິນາມິ (SR)
ຍີ່ປຸ່ນ (JP)
ຕອງກາ (TO)
ຕິມໍຕາເວັນອອກ (TL)
ຕຸນກີ (TR)
ຕູນິເຊຍ (TN)
ທາຈິກິສະຖານ (TJ)
ທານຊາເນຍ (TZ)
ທິນິແດດ (TT)
ນາມິເບຍ (NA)
ນິຄາລາກົວ (NI)
ນິວຄາລິໂຄເນຍ (NC)
ນິວຊີແລນ (NZ)
ນີຢູ (NU)
ນໍເວ (NO)
ບຣິທິດເວີຈິນໄອແລນ (VG)
ບອັດສະວານາ (BW)
ບັງກະລາເທດ (BD)
ບັງກາເລຍ (BG)
ບັອດສເນຍ ແລະ ເຮີດໂກວິເນຍ (BA)
ບາບາຄັອດ (BB)
ບາຮາມາສ (BS)
ບາເລນ (BH)
ບູລັນຕິ (BI)
ບູຮໄນ (BN)
ບຼາຊິວ (BR)
ປະເທດໄທ (TH)
ປາກິສຖານ (PK)
ປານາມາ (PA)
ປາປົວນິວກີນີ (PG)
ປາລາກວຍ (PY)
ຝລັ່ງ (FR)
ຝັ່ງທະເລໄອວໍລິ (CI)
ພູຖານ (BT)
ຟິຈິ (FJ)
ຟິນແລນ (FI)
ຟິລິປິນ (PH)
ມອນເຊີລາດ (MS)
ມັນຕາ (MT)
ມາຄາກັສກາ (MG)
ມາຕິນິກ (MQ)
ມາຢອດ (YT)
ມາລິ (ML)
ມາເກົ້າ (MO)
