ອັນດໍລາ (AD)
ສະຫະລັດອາຫລັບເອມິເລດ (AE)
ອັຟການິດສະຖານ (AF)
ອັນກິລາ (AI)
ແອລເບເນຍ (AL)
ອາມິເນຍ (AM)
ເນເທີແລນແອນເທິນ (AN)
ອັນໂກລາ (AO)
ອາເຈນຕິນາ່ (AR)
ອົອດສະເຕຼຍ (AT)
ອົອດສະຕາລີ (AU)
ອາລູບາ (AW)
ອາເຊີໄບຈັນ (AZ)
ບັອດສເນຍ ແລະ ເຮີດໂກວິເນຍ (BA)
ບາບາຄັອດ (BB)
ບັງກະລາເທດ (BD)
ເບວຢຽມ (BE)
ເບີກິນາຟາໂຊ (BF)
ບັງກາເລຍ (BG)
ບາເລນ (BH)
ບູລັນຕິ (BI)
ເບນິນ (BJ)
ເບີມິວດາ (BM)
ບູຮໄນ (BN)
ໂບລິເວຍ (BO)
ບຼາຊິວ (BR)
ບາຮາມາສ (BS)
ພູຖານ (BT)
ບອັດສະວານາ (BW)
ເບນລາຮັສ (BY)
ເບລິຊ (BZ)
ການາດາ (CA)
ສາທາລະນະລັດອັບຟຼິກກາກາງ (CF)
ຄອງໂກ (CG)
ສະວິດເຊີແລນ (CH)
ຝັ່ງທະເລໄອວໍລິ (CI)
ຊິສິ (CL)
ຄາເມລູນ (CM)
ຈີນ (CN)
ໂຄລຳເບຍ (CO)
ຄອສຕາລິກາ (CR)
ເຊີເບຍ (CS)
ຄິວບາ (CU)
ເຄບວອດ (CV)
ໄຊປັຼດ (CY)
ສາທາລະນະລັດເຊັກ (CZ)
ເຢຍລະມັນ (DE)
ຄິໂບຕິ (DJ)
ເດນມາກ (DK)
ໂດເມນິກາ (DM)
ສາທາລະນະລັດໂດມິນິກັນ (DO)
ແອລຈິເລຍ (DZ)
ເອກວາດໍ (EC)
ເອສໂຕເນຍ (EE)
ອີຢິບ (EG)
ຊາຮາລາຕະເວັນຕົກ (EH)
ອິນຊີ (ER)
ສະເປນ (ES)
ເອທິໂອເປຍ (ET)
ຟິນແລນ (FI)
ຟິຈິ (FJ)
ໄມໂຄນິເຊຍ (FM)
ຝລັ່ງ (FR)
ກາບອນ (GA)
ສະຫະລາດຊະອານາຈັກ (GB)
ຈໍເຈຍ (GE)
ເຟັນສກິວນາ (GF)
ການ່າ (GH)
ແກມເບຍ (GM)
ກິວນີ (GN)
