iso,name
AO,അംഗോള
AQ,അന്‍റാര്‍ട്ടിക്ക
AD,അന്‍റോറ
AF,അഫ്ഗാനിസ്ഥാന്‍
US,"അമേരിക്കന്‍ ഐക്യനാടുകള്‍"
AS,"അമേരിക്കന്‍ സാമോവ"
IE,അയര്‍ലാന്‍ഡ്
AR,അര്‍ജന്‍റീന
AM,അര്‍മേനിയ
ZZ,"അറിയപ്പെടാത്തതോ നിലവിലില്ലാത്തതോ ആയ പ്രദേശം"
AW,അറുബ
AX,"അലന്‍ഡ് ദ്വീപുകള്‍"
AL,അല്‍ബേനിയ
DZ,അള്‍ജീരിയ
AZ,അസര്‍ബൈജാന്‍
AI,ആന്‍ഗ്വില്ല
AG,"ആന്‍റിഗ്വയും ബര്‍ബുഡയും"
EC,ഇക്വഡോര്‍
GQ,"ഇക്വിറ്റോറിയല്‍ ഗ്വിനിയ"
IN,ഇന്ത്യ
ID,ഇന്‍ഡോനേഷ്യ
IQ,ഇറാക്ക്
IR,ഇറാന്‍
IT,ഇറ്റലി
IL,ഇസ്രായേല്‍
EG,ഈജിപ്ത്
UA,ഉക്രൈന്‍
UG,ഉഗാണ്ട
MP,"ഉത്തര മറിയാനാ ദ്വീപുകള്‍"
KP,ഉത്തരകൊറിയ
UY,ഉറുഗ്വേ
UZ,ഉസ്ബെക്കിസ്ഥാന്‍
ET,എത്യോപ്യ
ER,എറിത്രിയ
SV,"എല്‍ സാല്‍വദോര്‍"
EE,എസ്റ്റോണിയ‍
IM,"ഐല്‍ ഓഫ് മാന്‍"
CI,"ഐവറി കോസ്റ്റ്"
IS,ഐസ്‌ലാന്റ്
OM,ഒമാന്‍
AT,ഓസ്ട്രിയ
AU,ഓസ്ട്രേലിയ
KH,കംബോഡിയ
KZ,കസാഖിസ്ഥാന്‍
CA,കാനഡ
CM,കാമറൂണ്‍
KI,കിരിബാത്തി
KG,കിര്‍ഗിസ്ഥാന്‍
TL,"കിഴക്കന്‍ തിമൂര്‍"
KW,കുവൈറ്റ്
CK,"കൂക്ക് ദ്വീപുകള്‍"
KE,കെനിയ
CV,"കേപ്പ് വെര്‍ഡെ"
KY,"കേയ്മാന്‍ ദ്വീപുകള്‍"
CO,കൊളംബിയ
CD,"കോംഗോ - കിന്‍ഷാസ"
CG,"കോംഗോ - ബ്രാസാവില്‍"
CC,കോക്കസ്
KM,കോമറോസ്
CR,കോസ്റ്ററിക്ക
CU,ക്യൂബ
CX,"ക്രിസ്മസ് ദ്വീപ്"
HR,ക്രൊയേഷ്യ
QA,ഖത്തര്‍
GY,ഗയാന
GM,ഗാംബിയ
GA,ഗാബോണ്‍
GW,ഗിനി-ബിസോ
GP,ഗുവാഡെലോപ്
GG,ഗേണ്‍സി
GD,ഗ്രനേഡ
GL,ഗ്രീന്‍ലാന്‍റ്
GR,ഗ്രീസ്
GU,ഗ്വാം
GT,ഗ്വാട്ടിമാലാ
GN,ഗ്വിനിയ
GH,ഘാന
TD,ചാഡ്
CL,ചിലി
CZ,"ചെക്ക് റിപ്പബ്ലിക്"
CN,ചൈന
JP,ജപ്പാന്‍
JM,ജമൈക്ക
DE,ജര്‍മനി
DJ,ജിബൂട്ടി
GI,ജിബ്രാള്‍ട്ടര്‍
JE,ജേഴ്സി
GE,ജോര്‍ജിയ
JO,ജോര്‍ദ്ദാന്‍
TC,"ടര്‍ക്ക്സും കൈക്കോ ദ്വീപുകളും"
TZ,ടാന്‍സാനിയ
TN,ടുണീഷ്യ
TK,ടൊകെലാവു
TO,ടോംഗ
TG,ടോഗോ
TT,"ട്രിനിഡാഡും റ്റൊബാഗോയും"
DK,ഡെന്‍മാര്‍ക്ക്
DM,ഡൊമിനിക്ക
DO,"ഡൊമിനിക്കന്‍ റിപ്പബ്ലിക്"
TJ,താജിക്കിസ്ഥാന്‍
TH,തായ്‌ലാന്‍ഡ്
TW,തായ്‌വാന്‍
TR,തുര്‍ക്കി
TM,തുര്‍ക്ക്മെനിസ്ഥാന്‍
TV,തുവാലു
GS,"ദക്ഷിണ ജോര്‍ജ്ജിയയും ദക്ഷിണ സാന്‍ഡ്‌വിച്ച് ദ്വീപുകളും"
KR,ദക്ഷിണകൊറിയ
ZA,ദക്ഷിണാഫ്രിക്ക
NA,നമീബിയ
NI,നിക്കാരഗ്വ
NL,നെതര്‍ലന്‍ഡ്സ്
AN,"നെതര്‍ലന്‍ഡ്സ് ആന്‍റിലിസ്"
NP,നേപ്പാള്‍
NE,നൈജര്‍
NG,നൈജീരിയ
NF,"നോര്‍ഫോക് ദ്വീപ്"
NO,നോര്‍വെ
NU,ന്യൂവേ
NZ,ന്യൂസിലാന്‍റ്
NR,നൗറൂ
PA,പനാമ
PG,"പപ്പുവ ന്യൂ ഗ്വിനി"
PY,പരാഗ്വേ
PW,പലാവു
EH,"പശ്ചിമ സഹാറ"
PK,പാക്കിസ്ഥാന്‍
PS,പാലസ്തീന്‍
PN,പിറ്റ്കെയ്ന്‍
NC,"പുതിയ കാലിഡോണിയ"
PE,പെറു
PT,പോര്‍ച്ചുഗല്‍
PR,"പോര്‍ട്ടോ റിക്കോ"
PL,പോളണ്ട്
FO,"ഫറോയി ദ്വീപുകള്‍"
FK,"ഫാക്ക്‌ലാന്‍റ് ഐലന്‍റ്"
