iso,name
KE,ကင်ညာ
CM,ကင်မရွန်း
CA,ကနေဒါ
KH,ကမ္ဘောဒီးယား
KZ,ကာဇက်စတန်
QA,ကာတာ
CC,"ကိုကိုး ကျွန်းစု"
CO,ကိုလံဘီယာ
KW,ကူဝိတ်
KY,"ကေမန် ကျွန်းစု"
CR,ကော့စ်တာရီကာ
CU,ကျူးဘား
CK,"ကွတ် ကျွန်းစု"
KG,ခယ်ကစ်စတန်
CX,"ခရစ်စမတ် ကျွန်း"
HR,ခရိုအေးရှား
CZ,"ချက် ပြည်ထောင်စု"
TD,ချဒ်
CL,ချီလီ
GM,ဂန်ဘီရာ
GL,ဂရင်းလန်း
GR,ဂရိ
GH,ဂါနာ
GN,ဂီရာနာ
GU,ဂူအမ်
JP,ဂျပန်
JM,ဂျမေနီကာ
JE,ဂျာစီ
DE,ဂျာမဏီ
GI,ဂျီဘရော်လ်တာ
GE,ဂျော်ဂျီယာ
JO,ဂျော်ဒန်
GT,ဂွာတီမာလာ
SG,စင်္ကာပူ
ES,စပိန်
SK,စလိုဗေးကီးယား
SI,စလိုဗေးနီးယား
MF,စိန့်မာတင်
RS,ဆားဘီးယား
CY,ဆိုက်ပရက်စ်
SO,ဆိုမာလီယာ
SN,ဆီနီဂေါ
SY,ဆီးရီးယား
SD,ဆူဒန်
SA,ဆော်ဒီအာရေးဗီးယား
SB,ဆော်လမွန်ကျွန်းစု
CH,ဆွစ်ဇလန်
SE,ဆွီဒင်
ZW,ဇင်ဘာဘွေ
ZM,ဇမ်ဘီယာ
TZ,တန်ဇန်နီးယား
CN,တရုတ်
MO,"တရုတ်၏ အထူးအုပ်ချုပ်ခွင့်ရ မကာအို"
HK,"တရုတ်၏ အထူးအုပ်ချုပ်ခွင့်ရ ဟောင်ကောင်"
TJ,တာဂျီကစ္စတန်
TN,တူနီးရှား
TR,တူရကီ
GS,"တောင် ဂျော်ဂျီယာ နှင့် တောင် ဆင်းဒဝစ်ဂျ် ကျွန်းစုများ"
KR,တောင်ကိုရီးယား
ZA,တောင်အာဖရိက
TO,တွန်ဂါ
TW,ထိုင်ဝမ်
TH,ထိုင်း
DK,ဒိန်းမတ်
DO,ဒိုမီနီကန်
DM,ဒိုမီနီကာ
NA,နမ်မီးဘီးယား
NC,"နယူး ကယ်လီဒိုနီးယား"
NZ,နယူးဇီလန်
NL,နယ်သာလန်
NE,နိုင်ဂျာ
NG,နိုင်ဂျီးရီးယား
NI,နီကာရာဂွာ
NP,နီပေါ
NO,နော်ဝေ
PA,ပနားမား
PK,ပါကစ္စတန်
PG,ပါပူရာနယူးဂီနီ
PY,ပါရာဂွေး
PS,"ပါလက်စတိုင်း ပိုင်နက်"
PL,ပိုလန်
PE,ပီရူး
PT,ပေါ်တူဂီ
PR,ပေါ်တူရီကို
FR,ပြင်သစ်
GF,"ပြင်သစ် ဂီယာနာ"
TF,"ပြင်သစ် တောင်ပိုင်း ပိုင်နက်များ"
PF,"ပြင်သစ် ပေါ်လီနေးရှား"
FI,ဖင်လန်
FO,"ဖာရိုး ကျွန်းစုများ"
PH,ဖိလစ်ပိုင်
FJ,ဖီဂျီ
FK,"ဖောက်ကလန် ကျွန်းစု"
VE,ဗင်နီဇွဲလား
VA,ဗာတီကန်
VN,ဗီယက်နမ်
VG,"ဗြိတိသျှ ဗာဂျင်း ကျွန်းစု"
IO,"ဗြိတိသျှ အိန္ဒြိယ သမုဒ္ဒရာ ပိုင်နက်"
BD,ဘင်္ဂလားဒေ့ရှ်
BE,ဘယ်လ်ဂျီယမ်
BR,ဘရာဇီး
BN,ဘရူနိုင်း
BS,ဘဟားမား
BM,ဘာမူဒါ
BH,ဘာရိန်း
BO,ဘိုလီးဘီးယား
BY,ဘီလာရုစ်
BG,ဘူဂေးရီးယား
BT,ဘူတန်
BZ,ဘေလီဇ်
BA,"ဘော့စနီးယား နှင့် ဟာဇီဂိုဘီးနား"
BW,ဘော့စ်ဝါနာ
MX,မက္ကဆီကို
