آیسلینډ (IS)
اتریش (AT)
افغانستان (AF)
البانیه (AL)
الجزایر (DZ)
المان (DE)
انتارکتیکا (AQ)
اندونیزیا (ID)
انګولا (AO)
ایټالیه (IT)
برتانیه (GB)
بلغاریه (BG)
بنګله‌دیش (BD)
تاجکستان (TJ)
تنزانیا (TZ)
جاپان (JP)
جمیکا (JM)
حبشه (ET)
روسیه (RU)
روندا (RW)
سالوېډور (SV)
سعودی عربستان (SA)
سوریه (SY)
سویس (CH)
سویډن (SE)
عراق (IQ)
فرانسه (FR)
فلسطین (PS)
فنلینډ (FI)
لاوس (LA)
لایبریا (LR)
لبنان (LB)
لیبیا (LY)
مالیزیا (MY)
مجارستان (HU)
مراکش (MA)
مصر (EG)
مغولستان (MN)
ناروې (NO)
نایجیریا (NG)
نکاراګوا (NI)
نیوزیلنډ (NZ)
نیپال (NP)
هالېنډ (NL)
هانډوراس (HN)
هسپانیه (ES)
هند (IN)
پاکستان (PK)
پورتګال (PT)
پولنډ (PL)
چین (CN)
ډنمارک (DK)
کاناډا (CA)
کمبودیا (KH)
کولمبیا (CO)
کویټ (KW)
کیوبا (CU)
ګانا (GH)
ګواتیمالا (GT)
ګیانا (GN)
یمن (YE)
یوروګوای (UY)
یونان (GR)
