iso,name
IS,آیسلینډ
AT,اتریش
AF,افغانستان
AL,البانیه
DZ,الجزایر
DE,المان
AQ,انتارکتیکا
ID,اندونیزیا
AO,انګولا
IT,ایټالیه
GB,برتانیه
BG,بلغاریه
BD,بنګله‌دیش
TJ,تاجکستان
TZ,تنزانیا
JP,جاپان
JM,جمیکا
ET,حبشه
RU,روسیه
RW,روندا
SV,سالوېډور
SA,"سعودی عربستان"
SY,سوریه
CH,سویس
SE,سویډن
IQ,عراق
FR,فرانسه
PS,فلسطین
FI,فنلینډ
LA,لاوس
LR,لایبریا
LB,لبنان
LY,لیبیا
MY,مالیزیا
HU,مجارستان
MA,مراکش
EG,مصر
MN,مغولستان
NO,ناروې
NG,نایجیریا
NI,نکاراګوا
NZ,نیوزیلنډ
NP,نیپال
NL,هالېنډ
HN,هانډوراس
ES,هسپانیه
IN,هند
PK,پاکستان
PT,پورتګال
PL,پولنډ
CN,چین
DK,ډنمارک
CA,کاناډا
KH,کمبودیا
CO,کولمبیا
KW,کویټ
CU,کیوبا
GH,ګانا
GT,ګواتیمالا
GN,ګیانا
YE,یمن
UY,یوروګوای
GR,یونان
