Afgaanistaan (AF)
Angoola (AO)
Armeeniya (AM)
Awstraaliya (AU)
Ayrlaanda (IE)
Baarbadoos (BB)
Bakistaan (PK)
Bangaala-Deesh (BD)
Baxrayn (BH)
Beljiyam (BE)
Beniin (BJ)
Booland (PL)
Boosniya Heersigoviina (BA)
Bortuqaal (PT)
Braasiil (BR)
Ciraaq (IQ)
Cumaan (OM)
Danmaark (DK)
Faatikaan (VA)
Far aan la aqoon amase aan saxnayn (ZZ)
Faransiis (FR)
Fenisuweela (VE)
Fiinlaand (FI)
Filibiin (PH)
Fiyetnaam (VN)
Gini (GN)
Giriigga (GR)
Giriinaada (GD)
Hangeri (HU)
Hindiya (IN)
Iiraan (IR)
Iislaand (IS)
Ikwadoor (EC)
Imaaraadka Carabta ee Midoobay (AE)
Indoneesiya (ID)
Isbeyn (ES)
Israaʼiil (IL)
Iswidhan (SE)
Itoobiya (ET)
Jaad (TD)
Jabbaan (JP)
Jabuuti (DJ)
Jameyka (JM)
Jarmal (DE)
Jekoslafaakiya (CZ)
Jili (CL)
Kamboodiya (KH)
Kameruun (CM)
Kanada (CA)
Kasaakhistaan (KZ)
Kiiniya (KE)
Koonfur Afrika (ZA)
Korweeshiya (HR)
Kuuba (CU)
Kuuriyada Koonfureed (KR)
Kuuriyada Waqooyi (KP)
Kuwayt (KW)
Laatfiya (LV)
Laybeeriya (LR)
Liibiya (LY)
Losooto (LS)
Lubnaan (LB)
Luksemboorg (LU)
Maalda (MT)
Maaldiqeen (MV)
Maali (ML)
Makadooniya (MK)
Malaawi (MW)
Marooko (MA)
Masar (EG)
Meksiko (MX)
Moonako (MC)
Muritaaniya (MR)
Musambiig (MZ)
Namiibiya (NA)
Nayjeeriya (NG)
Neyuusilaand (NZ)
Nikaraaguwa (NI)
Noorweey (NO)
Osteeriya (AT)
Qadar (QA)
Qaramada Midoobey ee Maraykanka (US)
Rumaaniya (RO)
Ruush (RU)
Saambiya (ZM)
Sacuudi Carabiya (SA)
Shiinaha (CN)
Siirilaanka (LK)
Simbaabwe (ZW)
Siraaliyoon (SL)
Soomaaliya (SO)
Sudaan (SD)
Suuriya (SY)
Swiiserlaand (CH)
Talyaani (IT)
Tansaaniya (TZ)
Taylaand (TH)
Tonga (TO)
Toogo (TG)
Tuniisiya (TN)
Turki (TR)
Ugaanda (UG)
United Kingdom (GB)
Urdun (JO)
Yaman (YE)
