iso,name
FK,"ஃபாக்லான்ட் தீவுகள்"
FJ,ஃபிஜி
FO,"ஃபெரௌ தீவுகள்"
GF,"ஃப்ரென்ச் கயானா"
TF,"ஃப்ரென்ச் தெற்கு மாஹாணங்கள்"
PF,"ஃப்ரென்ச் பாலினேஷியா"
AI,அங்குய்லா
AO,அங்கோலா
AZ,அஜர்பைஜான்
AQ,அன்டார்டிகா
AD,அன்டோரா
AS,"அமெரிக்க சமோவா"
IE,அயர்லாந்து
AW,அரூபா
AR,அர்ஜெண்டினா
DZ,அல்ஜீரியா
AL,அல்பேனியா
AG,"ஆன்டிகுவா மற்றும் பார்புடா"
AF,ஆப்கானிஸ்தான்
AM,ஆர்மேனியா
AX,"ஆலந்து தீவுகள்"
AT,ஆஸ்திரியா
AU,ஆஸ்திரேலியா
IT,இத்தாலி
IN,இந்தியா
ID,இந்தோனேஷியா
IQ,இராக்
LK,இலங்கை
IL,இஸ்ரேல்
GQ,"ஈக்குவாடோரியல் கினி"
EC,ஈக்வடார்
IR,ஈரான்
UG,உகாண்டா
UA,உக்ரைன்
UY,உருகுவே
UZ,உஸ்பெகிஸ்தான்
EG,எகிப்து
ET,எதியோப்பியா
ER,எரிட்ரியா
SV,"எல் சால்வடார்"
EE,எஸ்டோனியா
US,"ஐக்கிய அமெரிக்க குடியரசு"
AE,"ஐக்கிய அரபு கூட்டாட்சி"
IM,"ஐல் ஆஃப் மேன்"
CI,"ஐவரி கோஸ்ட்"
IS,ஐஸ்லாந்து
OM,ஓமான்
KZ,கஜகஸ்தான்
CA,கனடா
KH,கம்போடியா
GY,கயானா
CC,"காகோஸ் தீவுகள்"
CD,"காங்கோ - கின்சாசா"
CG,"காங்கோ - ப்ராஸாவில்லே"
QA,காடார்
GH,கானா
GM,காம்பியா
GN,கினி
GW,கினி-பிஸ்ஸாவ்
CU,கியூபா
GD,கிரனெடா
KI,கிரிபடி
GL,கிரீன்லாண்ட்
GR,கிரீஸ்
KG,கிர்கிஸ்தான்
CX,"கிறிஸ்துமஸ் தீவு"
TL,"கிழக்கு திமோர்"
CK,"குக் தீவுகள்"
HR,குரோசியா
GT,குவாத்தாமாலா
GU,குவாம்
KW,குவைத்து
KE,கென்யா
GG,கெர்ன்சி
GA,கேபான்
CV,"கேப் வெர்டே"
CM,கேமரூன்
KY,"கேமென் தீவுகள்"
CO,கொலம்பியா
KM,கோமரோஸ்
CR,கோஸ்டாரிகா
GP,க்வாதேலோப்
WS,சமோவா
SA,"சவூதி அரேபியா"
TD,சாட்
SM,"சான் மெரினோ"
ZM,சாம்பியா
SB,"சாலமன் தீவுகள்"
ST,"சாவ் தோம் மற்றும் ப்ரின்சிபி"
SG,சிங்கப்பூர்
SL,"சியேரா லியோன்"
SY,சிரியா
CL,சிலி
CN,சீனா
SD,சூடான்
SR,சூரினாம்
CZ,"செக் குடியரசு"
SN,செனெகல்
MF,"செயின் மார்டீன்"
VC,"செயின் வின்சன்ட் மற்றும் கிரெனடைன்ஸ்"
KN,"செயின்ட் கிட்ஸ் மற்றும் நெவிஸ்"
BL,"செயின்ட் பார்தேலெமி"
PM,"செயின்ட் பியர் மற்றும் மிக்வேலான்"
LC,"செயின்ட் லூசியா"
SH,"செயின்ட் ஹெலெனா"
RS,செர்பியா
CS,"செர்பியா மற்றும் மான்டேநெக்ரோ"
SC,செஷெல்ஸ்
CY,சைப்ரஸ்
SO,சொமாலியா
JP,ஜப்பான்
JM,ஜமாய்க்கா
GE,ஜார்ஜியா
DJ,ஜிபௌடி
GI,ஜிப்ரால்டர்
ZW,ஜிம்பாப்வே
JE,ஜெர்சி
DE,ஜெர்மன்
JO,ஜொர்டான்
TC,"டர்க்ஸ் மற்றும் கைகோஸ் தீவுகள்"
TZ,டான்சானியா
TN,டுனிசியா
DK,டென்மார்க்
DO,"டொமினிகன் குடியரசு"
DM,டொமினிகா
TK,டோகேலோ
TG,டோகோ
TO,டோங்கா
TJ,தாஜிகிஸ்தான்
TH,தாய்லாந்து
TT,"திரினிடாட் மற்றும் தொபாகோ"
TR,துருக்கி
TM,துர்க்மெனிஸ்தான்
TV,துவாலூ
ZA,"தென் ஆப்ரிக்கா"
KR,"தென் கொரியா"
GS,"தென் ஜியார்ஜியா மற்றும் தென் சான்ட்விச் தீவுகள்"
ZZ,"தெரியாத அல்லது செல்லாத பிரதேசம்"
TW,தைவான்
NA,நமீபியா
NF,"நார்ஃபாக் தீவுகள்"
NO,நார்வே
NI,நிகாராகுவா
NU,நியூ
NZ,நியூசிலாந்து
NL,நெதர்லாந்து
AN,"நெதெர்லேண்ட் ஆண்டிலிஸ்"
NP,நேபாளம்
NE,நைஜர்
NG,நைஜீரியா
NR,நௌரு
BD,பங்களாதேஷ்
PA,பனாமா
PW,பலவ்
BG,பல்கேரியா
BS,பஹமாஸ்
BH,பஹ்ரைன்
PK,பாகிஸ்தான்
PG,"பாப்புவா நியூ கினி"
PY,பாரகுவே
BB,பார்படோஸ்
PS,"பாலஸ்தீனியன் மாஹாணம்"
PN,பிட்கேன்
FI,பின்லாந்து
FR,பிரான்ஸ்
GB,"பிரிடிஷ் கூட்டரசு"
IO,"பிரிட்டிஷ் இந்தியப் பெருங்கடல் மாஹாணம்"
VG,"பிரிட்டீஷ் கன்னித் தீவுகள்"
BR,பிரேஸில்
PH,பிலிப்பைன்ஸ்
NC,"புதிய கலிடோன்யா"
BI,புருண்டி
BN,புரூனேய்
BF,"புர்கினா ஃபாஸோ"
BT,பூடான்
BJ,பெனின்
PE,பெரு
BM,பெர்முடா
BY,பெலாரூஸ்
BZ,பெலிஸ்
BE,பெல்ஜியம்
BO,பொலிவியா
BV,"பொவேட் தீவுகள்"
BW,போட்ஸ்வானா
PT,போர்ச்சுக்கல்
PR,"போர்த்த ரிக்கோ"
PL,போலந்து
BA,"போஸ்னியா மற்றும் ஹெர்ஸிகோவினா"
MN,மங்கோலியா
MK,மசெடோணியா
MG,மடகாஸ்கர்
CF,"மத்திய ஆப்ரிக்கக் குடியரசு"
YT,மயோத்
MW,மலாவீ
MY,மலேஷியா
ME,மான்டேனெக்ரோ
MQ,மார்டினிக்
MH,"மார்ஷல் தீவுகள்"
MV,மாலத்தீவு
ML,மாலீ
MT,மால்டா
MD,மால்டோவா
MM,மியான்மார்
MO,மெக்கௌ
MX,மெக்சிகோ
EH,"மேற்கு சஹாரா"
FM,மைக்ரோனேஷியா
MZ,மொசாம்பிக்
MC,மொனாக்கோ
MU,மொரிசியஸ்
MA,மொரோக்கோ
MS,மௌன்ட்செராட்
MR,மௌரிடானியா
UM,"யுனைட்டட் ஸ்டேட்ஸும் சிறிய அவுட்லைன் தீவுகளும்"
VI,"யூ.எஸ் கன்னித் தீவுகள்"
YE,யேமன்
RU,ரஷ்யா
RE,ரீயூனியன்
RO,ருமேனியா
RW,ருவான்டா
LU,லக்ஸ்சம்பர்க்
LV,லாட்வியா
LA,லாவோஸ்
LI,லிச்செண்ஸ்டெய்ன்
LT,லிதுவேனியா
LY,லிப்யா
LS,லெசோதோ
LB,லெபனான்
LR,லைபேரியா
KP,"வட கொரியா"
MP,"வடக்கு மரியானா தீவுகள்"
VU,வனுவாட்டு
VA,வாடிகன்
WF,"வாலிஸ் மற்றும் ஃப்யூசுனா"
VN,வியட்நாம்
VE,வெனஜுவேலா
ES,ஸ்பெயின்
SK,ஸ்லோவாகியா
SI,ஸ்லோவேனியா
SJ,"ஸ்வல்பார்டு மற்றும் ஜான் மேயன்"
SZ,ஸ்வாஸிலாண்ட்
CH,ஸ்விட்சர்லாந்து
SE,ஸ்வீடன்
HU,ஹங்கேரி
HK,"ஹாங் காங் எஸ்.ஏ.ஆர் சைனா"
HN,ஹாண்டுராஸ்
HT,ஹெய்தி
HM,"ஹேர்ட் மற்றும் மெக்டொனால்டு"
