iso,name
GR,กรีซ
GL,กรีนแลนด์
GU,กวม
GP,กวาเดอลูป
KH,กัมพูชา
GT,กัวเตมาลา
QA,กาตาร์
GH,กานา
GA,กาบอง
GY,กายอานา
GN,กินี
GW,กินี-บิสเซา
CD,คองโก-กินชาซา
CG,คองโก-บราซซาวิล
CR,คอสตาริกา
KM,คอโมโรส
KZ,คาซัคสถาน
KI,คิริบาส
CU,คิวบา
KG,คีร์กีซสถาน
KW,คูเวต
GE,จอร์เจีย
JO,จอร์แดน
JM,จาเมกา
DJ,จิบูตี
CN,จีน
TD,ชาด
CL,ชิลี
SM,ซานมารีโน
WS,ซามัว
SA,ซาอุดีอาระเบีย
EH,ซาฮาราตะวันตก
ZW,ซิมบับเว
SY,ซีเรีย
SD,ซูดาน
SR,ซูรินาเม
JP,ญี่ปุ่น
TT,ตรินิแดดและโตเบโก
TO,ตองกา
TL,ติมอร์ตะวันออก
TR,ตุรกี
TN,ตูนิเซีย
TV,ตูวาลู
TJ,ทาจิกิสถาน
NO,นอร์เวย์
NA,นามิเบีย
NR,นาอูรู
NI,นิการากัว
NZ,นิวซีแลนด์
NC,นิวแคลิโดเนีย
NU,นีอูเอ
BR,บราซิล
IO,บริติชอินเดียนโอเชียนเทร์ริทอรี
BN,บรูไน
BW,บอตสวานา
BA,บอสเนียและเฮอร์เซโกวีนา
BD,บังกลาเทศ
BG,บัลแกเรีย
BB,บาร์เบโดส
BH,บาห์เรน
BS,บาฮามาส
BI,บุรุนดี
BF,บูร์กินาฟาโซ
PK,ปากีสถาน
PA,ปานามา
PG,ปาปัวนิวกินี
PY,ปารากวัย
PS,ปาเลสไตน์
PW,ปาเลา
FR,ฝรั่งเศส
MM,พม่า
PN,พิตแคร์น
FJ,ฟิจิ
FI,ฟินแลนด์
PH,ฟิลิปปินส์
BT,ภูฏาน
MN,มองโกเลีย
MS,มอนต์เซอร์รัต
ME,มอนเตเนโกร
MU,มอริเชียส
MR,มอริเตเนีย
MT,มอลตา
MD,มอลโดวา
MV,มัลดีฟส์
MK,มาซิโดเนีย
MG,มาดากัสการ์
YT,มายอต
MQ,มาร์ตินีก
MW,มาลาวี
ML,มาลี
MO,"มาเก๊า เขตปกครองพิเศษประเทศจีน"
MY,มาเลเซีย
GI,ยิบรอลตาร์
UG,ยูกันดา
UA,ยูเครน
RW,รวันดา
RU,รัสเซีย
LU,ลักเซมเบิร์ก
LV,ลัตเวีย
LA,ลาว
LI,ลิกเตนสไตน์
LT,ลิทัวเนีย
LY,ลิเบีย
VA,วาติกัน
VU,วานูอาตู
WF,วาลลิสและฟุตูนา
LK,ศรีลังกา
SJ,สฟาลบาร์และยานไมเอน
SZ,สวาซิแลนด์
CH,สวิตเซอร์แลนด์
SE,สวีเดน
AE,สหรัฐอาหรับเอมิเรตส์
US,สหรัฐอเมริกา
GB,สหราชอาณาจักร
CZ,สาธารณรัฐเช็ก
CF,สาธารณรัฐแอฟริกากลาง
DO,สาธารณรัฐโดมินิกัน
SG,สิงคโปร์
ES,สเปน
SK,สโลวะเกีย
SI,สโลวีเนีย
CK,หมู่เกาะคุก
