อันดอร์รา (AD)
สหรัฐอาหรับเอมิเรตส์ (AE)
อัฟกานิสถาน (AF)
แอนติกาและบาร์บูดา (AG)
แองกวิลลา (AI)
แอลเบเนีย (AL)
อาร์เมเนีย (AM)
เนเธอร์แลนด์แอนทิลลิส (AN)
แองโกลา (AO)
แอนตาร์กติกา (AQ)
อาร์เจนตินา (AR)
อเมริกันซามัว (AS)
ออสเตรีย (AT)
ออสเตรเลีย (AU)
อารูบา (AW)
หมู่เกาะโอลันด์ (AX)
อาเซอร์ไบจาน (AZ)
บอสเนียและเฮอร์เซโกวีนา (BA)
บาร์เบโดส (BB)
บังกลาเทศ (BD)
เบลเยียม (BE)
บูร์กินาฟาโซ (BF)
บัลแกเรีย (BG)
บาห์เรน (BH)
บุรุนดี (BI)
เบนิน (BJ)
เซนต์บาร์เธเลมี (BL)
เบอร์มิวดา (BM)
บรูไน (BN)
โบลิเวีย (BO)
บราซิล (BR)
บาฮามาส (BS)
ภูฏาน (BT)
เกาะบูเวต (BV)
บอตสวานา (BW)
เบลารุส (BY)
เบลีซ (BZ)
แคนาดา (CA)
หมู่เกาะโคโคส (CC)
คองโก-กินชาซา (CD)
สาธารณรัฐแอฟริกากลาง (CF)
คองโก-บราซซาวิล (CG)
สวิตเซอร์แลนด์ (CH)
ไอวอรี่โคสต์ (CI)
หมู่เกาะคุก (CK)
ชิลี (CL)
แคเมอรูน (CM)
จีน (CN)
โคลอมเบีย (CO)
คอสตาริกา (CR)
เซอร์เบียและมอนเตเนโกร (CS)
คิวบา (CU)
เคปเวิร์ด (CV)
เกาะคริสต์มาส (CX)
ไซปรัส (CY)
สาธารณรัฐเช็ก (CZ)
เยอรมนี (DE)
จิบูตี (DJ)
เดนมาร์ก (DK)
โดมินิกา (DM)
สาธารณรัฐโดมินิกัน (DO)
แอลจีเรีย (DZ)
เอกวาดอร์ (EC)
เอสโตเนีย (EE)
อียิปต์ (EG)
ซาฮาราตะวันตก (EH)
เอริเทรีย (ER)
สเปน (ES)
เอธิโอเปีย (ET)
ฟินแลนด์ (FI)
ฟิจิ (FJ)
หมู่เกาะฟอล์กแลนด์ (FK)
ไมโครนีเซีย (FM)
หมู่เกาะแฟโร (FO)
ฝรั่งเศส (FR)
กาบอง (GA)
สหราชอาณาจักร (GB)
เกรเนดา (GD)
จอร์เจีย (GE)
เฟรนช์เกียนา (GF)
เกิร์นซีย์ (GG)
กานา (GH)
ยิบรอลตาร์ (GI)
กรีนแลนด์ (GL)
แกมเบีย (GM)
กินี (GN)
กวาเดอลูป (GP)
อิเควทอเรียลกินี (GQ)
กรีซ (GR)
เกาะเซาท์จอร์เจียและหมู่เกาะเซาท์แซนด์วิช (GS)
กัวเตมาลา (GT)
กวม (GU)
กินี-บิสเซา (GW)
กายอานา (GY)
ฮ่องกง เขตปกครองพิเศษประเทศจีน (HK)
เกาะเฮิร์ดและหมู่เกาะแมกดอนัลด์ (HM)
ฮอนดูรัส (HN)
โครเอเชีย (HR)
เฮติ (HT)
ฮังการี (HU)
อินโดนีเซีย (ID)
ไอร์แลนด์ (IE)
อิสราเอล (IL)
เกาะแมน (IM)
อินเดีย (IN)
บริติชอินเดียนโอเชียนเทร์ริทอรี (IO)
อิรัก (IQ)
อิหร่าน (IR)
ไอซ์แลนด์ (IS)
อิตาลี (IT)
เจอร์ซีย์ (JE)
จาเมกา (JM)
จอร์แดน (JO)
ญี่ปุ่น (JP)
เคนยา (KE)
คีร์กีซสถาน (KG)
กัมพูชา (KH)
คิริบาส (KI)
คอโมโรส (KM)
เซนต์คิตส์และเนวิส (KN)
เกาหลีเหนือ (KP)
เกาหลีใต้ (KR)
คูเวต (KW)
หมู่เกาะเคย์แมน (KY)
คาซัคสถาน (KZ)
ลาว (LA)
เลบานอน (LB)
เซนต์ลูเซีย (LC)
ลิกเตนสไตน์ (LI)
ศรีลังกา (LK)
ไลบีเรีย (LR)
เลโซโท (LS)
ลิทัวเนีย (LT)
ลักเซมเบิร์ก (LU)
ลัตเวีย (LV)
ลิเบีย (LY)
โมร็อกโก (MA)
โมนาโก (MC)
มอลโดวา (MD)
มอนเตเนโกร (ME)
เซนต์มาติน (MF)
มาดากัสการ์ (MG)
หมู่เกาะมาร์แชลล์ (MH)
มาซิโดเนีย (MK)
มาลี (ML)
พม่า (MM)
มองโกเลีย (MN)
มาเก๊า เขตปกครองพิเศษประเทศจีน (MO)
หมู่เกาะนอร์เทิร์นมาเรียนา (MP)
มาร์ตินีก (MQ)
