iso,name
AI,Anikuila
AG,"Anitikua mo Palaputa"
FR,Falanisē
FI,Finilani
FJ,Fisi
WS,Haʻamoa
AS,"Haʻamoa fakaʻamelika"
NL,Holani
HK,"Hongi Kongi SAR Siaina"
HN,Honitulasi
GR,Kalisi
GM,Kamipia
GH,Kana
GD,Kelenatā
KE,Kenia
KI,Kilipasi
GU,Kuami
GG,Kuenisī
GY,Kuiana
CA,Kānata
KR,"Kōlea tonga"
KP,"Kōloa tokelau"
LR,Laipelia
LS,Lesoto
RW,Luanitā
RU,Lūsia
MW,Malaui
MT,Malita
MU,Maulitiusi
MX,Mekesikō
FM,Mikolonisia
CX,"Motu Kilisimasi"
IM,"Motu Mani"
NF,"Motu Nōfoliki"
BV,"Motu Puveti"
MS,Moʻungaselati
NG,Naisilia
NA,Namipia
NR,Naulu
NC,"Niu Kaletonia"
NU,Niuē
NO,Noauē
NZ,Nuʻusila
BS,Pahama
PK,Pakisitani
PW,Palau
BR,Palāsili
PA,Panamā
PG,Papuaniukini
BE,Pelesiume
BZ,Pelise
GB,Pilitānia
PN,Pitikeni
PF,"Polinisia fakafalanisē"
BW,Potisiuana
IO,"Potu fonua moana ʻInitia fakapilitānia"
ZZ,"Potu fonua taʻeʻiloa pe hala"
TF,"Potu fonua tonga fakafalanisē"
PT,Potukali
US,"Puleʻanga fakataha ʻAmelika"
JE,Selusī
ES,Sepeni
CN,Siaina
DE,Siamane
JP,Siapani
ZW,Simipapue
SG,Singapula
GI,Sipalālitā
CH,Suisilani
SE,Suēteni
LK,Sīloni
TT,"Tilinitati mo Topako"
TR,Toake
TK,Tokelau
DM,Tominika
TO,Tonga
TV,Tūvalu
VU,Vanuatu
VA,Vatikani
IE,ʻAealani
ZA,"ʻAfelika tonga"
AQ,ʻAnetātika
AU,ʻAositelēlia
IN,ʻInitia
IL,ʻIsileli
EG,ʻIsipite
HM,"ʻOtumotu Heati mo Makitonali"
CK,"ʻOtumotu Kuki"
MP,"ʻOtumotu Maliana tokelau"
MH,"ʻOtumotu Māsolo"
SC,"ʻOtumotu Seiseli"
GS,"ʻOtumotu Siosia-tonga mo Saniuisi-tonga"
SB,"ʻOtumotu Solomone"
VG,"ʻOtumotu Vilikini fakapilitānia"
VI,"ʻOtumotu Vilikini fakaʻamelika"
UM,"ʻOtumotu siʻi ʻo ʻAmelika"
WF,"ʻUvea mo Futuna"
IT,ʻĪtali
