不丹 (BT)
中華人民共和國 (CN)
中華人民共和國澳門特別行政區 (MO)
中華人民共和國香港特別行政區 (HK)
中非共和國 (CF)
丹麥 (DK)
亞塞拜然 (AZ)
亞美尼亞 (AM)
亞蘭群島 (AX)
以色列 (IL)
伊拉克 (IQ)
伊朗 (IR)
俄羅斯 (RU)
保加利亞 (BG)
克羅埃西亞 (HR)
冰島 (IS)
冷岸及央麥恩群島 (SJ)
列支敦斯登 (LI)
利比亞 (LY)
剛果 (CG)
剛果民主共和國 (CD)
加彭 (GA)
加拿大 (CA)
匈牙利 (HU)
北韓 (KP)
北馬里亞納群島 (MP)
千里達及托巴哥 (TT)
南喬治亞與南三明治群島 (GS)
南極洲 (AQ)
南非 (ZA)
南韓 (KR)
卡達 (QA)
印尼 (ID)
印度 (IN)
厄利垂亞 (ER)
厄瓜多 (EC)
古巴 (CU)
可可斯群島 (CC)
台灣 (TW)
史瓦濟蘭 (SZ)
吉布地 (DJ)
吉爾吉斯 (KG)
吉里巴斯 (KI)
吐瓦魯 (TV)
哈薩克 (KZ)
哥倫比亞 (CO)
哥德普洛 (GP)
哥斯大黎加 (CR)
喀麥隆 (CM)
喬治亞共和國 (GE)
土克斯及開科斯群島 (TC)
土庫曼 (TM)
土耳其 (TR)
坦尚尼亞 (TZ)
埃及 (EG)
塔吉克 (TJ)
塞內加爾 (SN)
塞席爾 (SC)
塞爾維亞 (RS)
塞爾維亞和蒙特尼哥羅 (CS)
墨西哥 (MX)
多哥共和國 (TG)
多明尼加 (DM)
多明尼加共和國 (DO)
奈及利亞 (NG)
奧地利 (AT)
委內瑞拉 (VE)
孟加拉 (BD)
安哥拉 (AO)
安圭拉島 (AI)
安地卡及巴布達 (AG)
安道爾 (AD)
宏都拉斯 (HN)
密克羅尼西亞群島 (FM)
寮國 (LA)
尚比亞 (ZM)
尼加拉瓜 (NI)
尼日 (NE)
尼泊爾 (NP)
巴勒斯坦 (PS)
巴哈馬 (BS)
巴基斯坦 (PK)
巴布亞紐幾內亞 (PG)
巴拉圭 (PY)
巴拿馬 (PA)
巴林 (BH)
巴西 (BR)
巴貝多 (BB)
布吉納法索 (BF)
布威島 (BV)
希臘 (GR)
帛琉 (PW)
幾內亞 (GN)
幾內亞比索 (GW)
庫克群島 (CK)
德國 (DE)
愛沙尼亞 (EE)
愛爾蘭 (IE)
托克勞群島 (TK)
拉脫維亞 (LV)
挪威 (NO)
捷克共和國 (CZ)
摩洛哥 (MA)
摩爾多瓦 (MD)
摩納哥 (MC)
敘利亞 (SY)
斐濟 (FJ)
斯洛伐克 (SK)
斯洛維尼亞 (SI)
斯里蘭卡 (LK)
新加坡 (SG)
新喀里多尼亞群島 (NC)
日本 (JP)
智利 (CL)
曼島 (IM)
未確定的區域 (ZZ)
東加 (TO)
東帝汶 (TL)
查德 (TD)
柬埔寨 (KH)
根西島 (GG)
格瑞納達 (GD)
格陵蘭 (GL)
梵蒂岡 (VA)
模里西斯 (MU)
比利時 (BE)
汶萊 (BN)
沙烏地阿拉伯 (SA)
法國 (FR)
法屬南方屬地 (TF)
法屬圭亞那 (GF)
法屬玻里尼西亞 (PF)
法羅群島 (FO)
波士尼亞與赫塞格維納 (BA)
波多黎各 (PR)
波札那 (BW)
波蘭 (PL)
泰國 (TH)
海地 (HT)
澤西島 (JE)
澳洲 (AU)
烏克蘭 (UA)
烏干達 (UG)
烏拉圭 (UY)
烏茲別克 (UZ)
牙買加 (JM)
獅子山 (SL)
玻利維亞 (BO)
瑞典 (SE)
瑞士 (CH)
瓜地馬拉 (GT)
瓦利斯和福杜納群島 (WF)
甘比亞 (GM)
留尼旺 (RE)
白俄羅斯 (BY)
百慕達 (BM)
皮特康 (PN)
盧安達 (RW)
盧森堡 (LU)
直布羅陀 (GI)
福克蘭群島 (FK)
科威特 (KW)
科摩羅群島 (KM)
科特迪瓦 (CI)
秘魯 (PE)
突尼西亞 (TN)
立陶宛 (LT)
約旦 (JO)
納米比亞 (NA)
紐威島 (NU)
紐西蘭 (NZ)
索羅門群島 (SB)
索馬利亞 (SO)
維德角 (CV)
緬甸 (MM)
羅馬尼亞 (RO)
