Andoro (AD)
Unuiĝintaj Arabaj Emirlandos (AE)
Afganujo (AF)
Antigvo-Barbudo (AG)
Angvilo (AI)
Albanujo (AL)
Armenujo (AM)
Nederlandaj Antiloj (AN)
Angolo (AO)
Antarkto (AQ)
Argentino (AR)
Aŭstrujo (AT)
Aŭstralio (AU)
Arubo (AW)
Azerbajĝano (AZ)
Bosnio-Hercegovino (BA)
Barbado (BB)
Bangladeŝo (BD)
Belgujo (BE)
Burkino (BF)
Bulgarujo (BG)
Barejno (BH)
Burundo (BI)
Benino (BJ)
Bermudoj (BM)
Brunejo (BN)
Bolivio (BO)
Brazilo (BR)
Bahamoj (BS)
Butano (BT)
Bocvano (BW)
Belorusujo (BY)
Belizo (BZ)
Kanado (CA)
Centr-Afrika Respubliko (CF)
Kongolo (CG)
Svisujo (CH)
Ebur-Bordo (CI)
Kukinsuloj (CK)
Ĉilio (CL)
Kameruno (CM)
Ĉinujo (CN)
Kolombio (CO)
Kostariko (CR)
Serbujo (CS)
Kubo (CU)
Kabo-Verdo (CV)
Kipro (CY)
Ĉeĥujo (CZ)
Germanujo (DE)
Ĝibutio (DJ)
Danujo (DK)
Dominiko (DM)
Domingo (DO)
Alĝerio (DZ)
Ekvadoro (EC)
Estonujo (EE)
Egipto (EG)
Okcidenta Saharo (EH)
Eritreo (ER)
Hispanujo (ES)
Etiopujo (ET)
Finnlando (FI)
Fiĝoj (FJ)
Mikronezio (FM)
Ferooj (FO)
Francujo (FR)
Gabono (GA)
Unuiĝinta Reĝlando (GB)
Grenado (GD)
Kartvelujo (GE)
Franca Gviano (GF)
Ganao (GH)
Ĝibraltaro (GI)
Gronlando (GL)
Gambio (GM)
Gvineo (GN)
Gvadelupo (GP)
Ekvatora Gvineo (GQ)
Grekujo (GR)
Sud-Georgio kaj Sud-Sandviĉinsuloj (GS)
Gvatemalo (GT)
Gvamo (GU)
Gvineo-Bisaŭo (GW)
Gujano (GY)
Herda kaj Makdonaldaj Insuloj (HM)
Honduro (HN)
Kroatujo (HR)
Haitio (HT)
Hungarujo (HU)
Indonezio (ID)
Irlando (IE)
Israelo (IL)
Hindujo (IN)
Brita Hindoceana Teritorio (IO)
Irako (IQ)
Irano (IR)
Islando (IS)
Italujo (IT)
Jamajko (JM)
Jordanio (JO)
Japanujo (JP)
Kenjo (KE)
Kirgizistano (KG)
Kamboĝo (KH)
Kiribato (KI)
Komoroj (KM)
Sent-Kristofo kaj Neviso (KN)
Nord-Koreo (KP)
Sud-Koreo (KR)
Kuvajto (KW)
Kejmanoj (KY)
Kazaĥstano (KZ)
Laoso (LA)
Libano (LB)
Sent-Lucio (LC)
Liĥtenŝtejno (LI)
Sri-Lanko (LK)
Liberio (LR)
Lesoto (LS)
Litovujo (LT)
Luksemburgo (LU)
Latvujo (LV)
Libio (LY)
Maroko (MA)
Monako (MC)
Moldavujo (MD)
Madagaskaro (MG)
Marŝaloj (MH)
Makedonujo (MK)
Malio (ML)
Mjanmao (MM)
Mongolujo (MN)
Nord-Marianoj (MP)
Martiniko (MQ)
Maŭritanujo (MR)
Malto (MT)
Maŭricio (MU)
Maldivoj (MV)
Malavio (MW)
Meksiko (MX)
Malajzio (MY)
Mozambiko (MZ)
Namibio (NA)
Nov-Kaledonio (NC)
Niĝero (NE)
Norfolkinsulo (NF)
Niĝerio (NG)
Nikaragvo (NI)
Nederlando (NL)
Norvegujo (NO)
Nepalo (NP)
Nauro (NR)
Niuo (NU)
Nov-Zelando (NZ)
Omano (OM)
Panamo (PA)
Peruo (PE)
Franca Polinezio (PF)
Papuo-Nov-Gvineo (PG)
Filipinoj (PH)
Pakistano (PK)
Pollando (PL)
Sent-Piero kaj Mikelono (PM)
Pitkarna Insulo (PN)
Puerto-Riko (PR)
Portugalujo (PT)
Belaŭo (PW)
Paragvajo (PY)
Kataro (QA)
Reunio (RE)
Rumanujo (RO)
Rusujo (RU)
Ruando (RW)
Saŭda Arabujo (SA)
Salomonoj (SB)
Sejŝeloj (SC)
Sudano (SD)
Svedujo (SE)
Singapuro (SG)
Sent-Heleno (SH)
Slovenujo (SI)
Svalbardo kaj Jan-Majen-insulo (SJ)
Slovakujo (SK)
Siera-Leono (SL)
San-Marino (SM)
Senegalo (SN)
Somalujo (SO)
Surinamo (SR)
Sao-Tomeo kaj Principeo (ST)
Salvadoro (SV)
Sirio (SY)
Svazilando (SZ)
Ĉado (TD)
Togolo (TG)
Tajlando (TH)
Taĝikujo (TJ)
Turkmenujo (TM)
Tunizio (TN)
Tongo (TO)
Turkujo (TR)
Trinidado kaj Tobago (TT)
Tuvalo (TV)
Tajvano (TW)
Tanzanio (TZ)
Ukrajno (UA)
Ugando (UG)
Usonaj malgrandaj insuloj (UM)
Usono (US)
Urugvajo (UY)
Uzbekujo (UZ)
Vatikano (VA)
Sent-Vincento kaj la Grenadinoj (VC)
Venezuelo (VE)
Britaj Virgulininsuloj (VG)
Usonaj Virgulininsuloj (VI)
Vjetnamo (VN)
Vanuatuo (VU)
Valiso kaj Futuno (WF)
Samoo (WS)
Jemeno (YE)
Majoto (YT)
Sud-Afriko (ZA)
Zambio (ZM)
Zimbabvo (ZW)
