iso,name
HU,ሀንጋሪ
HT,ሀይቲ
IN,ህንድ
HN,ሆንዱራስ
HK,"ሆንግ ኮንግ SAR ቻይና"
LU,ሉክሰምበርግ
LY,ሊቢያ
LB,ሊባኖስ
LT,ሊቱዌኒያ
LI,ሊችተንስታይን
LV,ላትቪያ
LA,ላኦስ
LR,ላይቤሪያ
LS,ሌሶቶ
FM,ሚክሮኔዢያ
ML,ማሊ
MW,ማላዊ
MY,ማሌዢያ
MT,ማልታ
MV,ማልዲቭስ
MU,ማሩሸስ
MH,"ማርሻል አይላንድ"
MQ,ማርቲኒክ
MK,ማከዶኒያ
MO,"ማካኡSAR ቻይና"
MM,ማያንማር
MG,ማዳጋስካር
MX,ሜክሲኮ
YT,ሜይኦቴ
TL,"ምስራቅ ቲሞር"
EH,"ምዕራባዊ ሳህራ"
MD,ሞልዶቫ
MR,ሞሪቴኒያ
MA,ሞሮኮ
MC,ሞናኮ
ME,ሞንተኔግሮ
MS,ሞንትሴራት
MN,ሞንጎሊያ
MZ,ሞዛምቢክ
RW,ሩዋንዳ
RE,ሪዩኒየን
RU,ራሺያ
RO,ሮሜኒያ
SB,"ሰሎሞን ደሴት"
KP,"ሰሜን ኮሪያ"
CS,ሰርቢያ
RS,ሰርብያ
SO,ሱማሌ
SR,ሱሪናም
SZ,ሱዋዚላንድ
SD,ሱዳን
LK,ሲሪላንካ
SY,ሲሪያ
SC,ሲሼልስ
SG,ሲንጋፖር
WS,ሳሞአ
SM,"ሳን ማሪኖ"
ST,"ሳኦ ቶሜ እና ፕሪንሲፔ"
SA,ሳውድአረቢያ
CY,ሳይፕረስ
SL,ሴራሊዮን
SN,ሴኔጋል
SH,"ሴንት ሄለና"
LC,"ሴንት ሉቺያ"
MF,"ሴንት ማርቲን"
EA,"ሴኡታና ሜሊላ"
SK,ስሎቫኪያ
SI,ስሎቬኒያ
SJ,"ስቫልባርድ እና ጃን ማየን"
CH,ስዊዘርላንድ
SE,ስዊድን
ES,ስፔን
BL,"ቅዱስ በርቴሎሜ"
VC,"ቅዱስ ቪንሴንት እና ግሬናዲንስ"
KN,"ቅዱስ ኪትስ እና ኔቪስ"
PM,"ቅዱስ ፒዬር እና ሚኩኤሎን"
BT,ቡህታን
BG,ቡልጌሪያ
BF,"ቡርኪና ፋሶ"
BV,"ቡቬት ደሴት"
GW,ቢሳዎ
BS,ባሃማስ
BH,ባህሬን
BB,ባርቤዶስ
BD,ባንግላዲሽ
BZ,ቤሊዘ
BY,ቤላሩስ
BE,ቤልጄም
BM,ቤርሙዳ
BJ,ቤኒን
BN,ብሩኒ
BI,ብሩንዲ
BR,ብራዚል
BO,ቦሊቪያ
BA,"ቦስኒያ እና ሄርዞጎቪኒያ"
BW,ቦትስዋና
VA,ቫቲካን
VU,ቫኑአቱ
VN,ቬትናም
VE,ቬንዙዌላ
TR,ቱርክ
TM,ቱርክሜኒስታን
TV,ቱቫሉ
TN,ቱኒዚያ
TZ,ታንዛኒያ
TH,ታይላንድ
TW,ታይዋን
TJ,ታጃኪስታን
TA,"ትሪስታን ዲ ኩንሃ"
TT,"ትሪኒዳድ እና ቶባጎ"
TO,ቶንጋ
TK,ቶክላው
TG,ቶጐ
CL,ቺሊ
CN,ቻይና
TD,ቻድ
CZ,"ቼክ ሪፑብሊክ"
NU,ኒኡይ
NI,ኒካራጓ
NC,"ኒው ካሌዶኒያ"
NZ,"ኒው ዚላንድ"
NE,ኒጀር
NA,ናሚቢያ
NR,ናኡሩ
NG,ናይጄሪያ
NL,ኔዘርላንድ
AN,"ኔዘርላንድስ አንቲልስ"
NP,ኔፓል
NO,ኖርዌ
NF,"ኖርፎልክ ደሴት"
AL,አልባኒያ
DZ,አልጄሪያ
US,አሜሪካ
AW,አሩባ
AM,አርሜኒያ
AR,አርጀንቲና
AC,"አሴንሽን ደሴት"
AG,"አንቲጓ እና ባሩዳ"
AQ,አንታርክቲካ
AD,አንዶራ
AI,አንጉኢላ
AO,አንጐላ
AU,አውስትሬሊያ
QO,"አውትላይንግ ኦሽንያ"
AZ,አዘርባጃን
IE,አየርላንድ
IM,"አይል ኦፍ ማን"
IS,አይስላንድ
AF,አፍጋኒስታን
UY,ኡራጓይ
IQ,ኢራቅ
