iso,name
AT,অস্ট্রিয়া
AU,অস্ট্রেলিয়া
AC,"অ্যাসসেনশন আইল্যান্ড"
CI,"আইভরি কোস্ট"
IS,আইসলণ্ড
QO,"আউটলাইনিং ওসানিয়া"
AZ,আজারবাইজান
AF,আফগানিস্তান
AS,"আমেরিকান সামোয়া"
IE,আয়ার্লণ্ড
AW,আরুবা
AR,আর্জেণ্টাইনা
AM,আর্মেনিয়া
AL,আলব্যানিয়া
AX,"আলান্ড দ্বীপপুঞ্জ"
UA,ইউক্রেইন
EU,"ইউরোপীয় ইউনিয়ন"
EC,ইকুয়েডর
IT,ইতালী
ID,ইন্দোনেশিয়া
ET,ইফিওপিয়া
YE,ইমেন
IQ,ইরাক
IR,ইরান
ER,ইরিত্রিয়া
IL,ইস্রায়েল
UG,উগান্ডা
UZ,উজ্বেকিস্থান
KP,"উত্তর কোরিয়া"
MP,"উত্তরাঞ্চলীয় মারিয়ানা দ্বীপপুঞ্জ"
UY,উরুগোয়ে
AQ,এন্টার্কটিকা
AG,"এন্টিগুয়া ও বারবুডা"
SV,"এল সালভেদর"
DZ,এলজিরিয়া
EE,এস্তোনিয়া
AI,এ্যাঙ্গুইলা
AO,এ্যাঙ্গোলা
AD,এ্যান্ডোরা
OM,ওমান
WF,"ওয়ালিস ও ফুটুনা"
CG,কঙ্গো
CD,"কঙ্গো - কিনসাসা"
KM,কমোরোস
KZ,কাজাকস্থান
QA,কাতার
CA,কানাডা
KH,কাম্বোজ
CU,কিউবা
KI,কিরিবাতি
KG,কির্গিজিয়া
EA,"কুউটা এবং মেলিলা"
CK,"কুক দ্বীপপুঞ্জ"
KW,কুয়েত
KE,কেনিয়া
CV,কেপভার্দে
KY,"কেম্যান দ্বীপপুঞ্জ"
CC,"কোকোস দ্বীপপুঞ্জ"
CO,কোলোম্বিয়া
CR,কোস্টারিকা
IC,"ক্যানারি দ্বীপপুঞ্জ"
CM,ক্যামেরুন
CX,"ক্রিসমাস দ্বীপ"
HR,ক্রোয়েশিয়া
CP,"ক্লিপারটন আইল্যান্ড"
GM,গাম্বিয়া
GN,গিনি
GW,গিনি-বিসাউ
GY,গিয়ানা
GP,গুয়াদেলৌপ
GU,গুয়াম
GT,গোয়াটিমালা
GA,গ্যাবন
GG,গ্রাঞ্জি
GL,গ্রীনল্যান্ড
GR,গ্রীস্
GB,গ্রেটবৃটেন
GD,গ্রেনাডা
GH,ঘানা
TD,চাদ
CL,চিলি
CN,চীন
CZ,"চেক প্রজাতন্ত্র"
GE,জর্জিয়া
JO,জর্ডন
JP,জাপান
ZM,জাম্বিয়া
DE,জার্মানি
JE,জার্সি
DJ,জিবুতি
GI,জিব্রাল্টার
ZW,জিম্বাবুয়ে
JM,জ্যামেকা
TN,টিউনিস্
TV,টুভালু
TK,টোকেলাউ
TG,টোগো
TO,টোঙ্গা
TA,"ট্রিস্টান ডা কুনা"
DK,ডেনমার্ক
DM,ডোমিনিকা
DO,"ডোমেনিকান প্রজাতন্ত্র"
TW,তাইওয়ান
