iso,name
AW,آروبا
AU,آسترالیا
DE,آلمان
AN,"آنتیل هلند"
AI,آنگیل
IE,آیرلند
IS,آیسلند
EU,"اتحادیهٔ اروپا"
AT,اتریش
AR,ارجنتاین
JO,اردن
AM,ارمنستان
ER,اریتریا
UZ,ازبکستان
EE,استونیا
IL,اسرائیل
ZA,"افریقای جنوبی"
CF,"افریقای مرکزی"
AF,افغانستان
UA,اکراین
EC,اکوادور
AL,البانیا
DZ,الجزایر
SV,السلوادور
AE,"امارات متحدهٔ عربی"
AG,"انتیگوا و باربودا"
AD,اندورا
ID,اندونیزیا
AO,انگولا
UG,اوگاندا
US,"ایالات متحدهٔ امریکا"
IT,ایتالیا
ET,ایتوپیا
IR,ایران
BB,باربادوس
BH,بحرین
QO,"بخش‌های دورافتادهٔ اقیانوسیه"
BR,برازیل
BM,برمودا
BI,بروندی
BN,برونی
GB,بریتانیا
BE,بلجیم
BG,بلغاریا
BZ,بلیز
BD,بنگله‌دیش
BJ,بنین
BS,بهاماس
BT,بوتان
BW,بوتسوانا
BF,بورکینافاسو
BA,"بوسنیا و هرزه‌گوینا"
BO,بولیویا
PG,"پاپوا نیو گینیا"
PY,پاراگوای
PK,پاكستان
PW,پالائو
PA,پانامه
PT,پرتگال
PF,"پلی‌نزی فرانسه"
PR,"پورتو ریکو"
PL,پولند
PN,پیتکایرن
PE,پیرو
TJ,تاجکستان
TZ,تانزانیا
TH,تایلند
TW,تایوان
TM,ترکمنستان
TR,ترکیه
TA,"تریستان دا سونا"
TT,"ترینیداد و توباگو"
TK,توکلائو
TG,توگو
TN,تونس
TO,تونگا
TV,تووالو
TL,"تیمور - لسته"
JP,جاپان
JM,جامائیکا
GI,جبل‌الطارق
JE,جرسی
AC,"جزایر آسنسیون"
AX,"جزایر آلاند"
TC,"جزایر ترک و کایکوس"
SB,"جزایر سلومون"
FO,"جزایر فارو"
FK,"جزایر فالکلند"
IC,"جزایر قناری"
CP,"جزایر کلیپرتون"
UM,"جزایر کوچک دورافتادهٔ ایالات متحده"
CK,"جزایر کوک"
CC,"جزایر کوکوس"
KY,"جزایر کِیمن"
MH,"جزایر مارشال"
MP,"جزایر ماریانای شمالی"
VI,"جزایر ویرجین ایالات متحده"
VG,"جزایر ویرجین بریتانیا"
BV,"جزیره بووت"
CX,"جزیرهٔ کریسمس"
GP,"جزیره گوادلوپ"
IM,"جزیرهٔ مان"
NF,"جزیرهٔ نورفولک"
SJ,"جزیره های اسوالبارد و جان ماین"
HM,"جزیرهٔ هرد و جزایر مک‌دونالد"
AZ,"جمهوری آذربایجان"
CZ,"جمهوری چک"
CD,"جمهوری دموکراتیک کانگو"
DO,"جمهوری دومینیکن"
GS,"جورجیای جنوبی و جزایر ساندویچ جنوبی"
DJ,جیبوتی
TD,چاد
CL,چلی
CN,چین
DK,دنمارک
DM,دومینیک
DG,"دیه گو گارسیا"
RW,روآندا
RU,روسیه
BY,"روسیهٔ سفید"
RO,رومانیا
RE,ریونیون
ZM,زامبیا
NZ,"زیلاند جدید"
ZW,زیمبابوی
CI,"ساحل عاج"
WS,ساموآ
AS,"ساموای امریکا"
SM,"سان مارینو"
ST,"سائو تومه و پرینسیپ"
LK,سریلانکا
SK,سلواکیا
SI,سلونیا
BL,"سنت بارتلیمی"
PM,"سنت پیر و میکلون"
KN,"سنت کیتس و نیویس"
LC,"سنت لوسیا"
MF,"سنت مارتین"
SH,"سنت هلن"
VC,"سنت وینسنت و گرینادین"
SZ,سوازیلند
SD,سودان
SR,سورينام
SY,سوریه
SO,سومالیه
SE,سویدن
CH,سویس
SL,سیرالیون
SC,سیشل
SG,سینگاپور
SN,سینیگال
EH,"صحرای غربی"
RS,صربستان
CS,"صربستان و مونته‌نگرو"
IQ,عراق
SA,"عربستان سعودی"
OM,عمان
GH,غنا
FR,فرانسه
PS,فلسطین
FI,فنلند
FJ,فیجی
PH,فیلیپین
CY,قبرس
KG,قرغزستان
KZ,قزاقستان
AQ,"قطب جنوب"
QA,قطر
CR,کاستریکا
NC,"کالدونیای جدید"
CM,کامرون
CA,کانادا
CG,کانگو
HR,کروشیا
KI,کریباتی
KH,کمپوچیا
EA,"کوتا و میللا"
KR,"کوریای جنوبی"
KP,"کوریای شمالی"
CO,کولمبیا
KM,کومور
KW,کویت
CV,"کیپ ورد"
KE,کینیا
CU,کیوبا
GA,گابون
GM,گامبیا
GE,گرجستان
GG,گرنزی
GD,گرینادا
GL,گرینلند
GT,گواتیمالا
GU,گوام
GF,"گویان فرانسه"
GY,گیانا
GN,گینیا
GQ,"گینیا استوایی"
GW,"گینیا بیسائو"
LV,لاتویا
LA,لائوس
LB,لبنان
LT,لتوانیا
LU,لوکزامبورگ
LR,لیبریا
LY,لیبیا
LI,لیختن‌اشتاین
LS,لیسوتو
MG,مادغاسکر
MQ,مارتینیک
MO,"ماکائو، ناحیه ویژه حکومتی چین"
MW,مالاوی
MT,مالتا
MV,مالدیو
ML,مالی
MY,مالیزیا
YT,مایوت
HU,مجارستان
MA,مراکش
IO,"مستعمره‌های بریتانیا در اقیانوس هند"
TF,"مستعمره‌های جنوبی فرانسه"
EG,مصر
MK,مقدونیه
MX,مکسیکو
MN,منگولیا
