iso,name
AF,Afganistan
AQ,Antarktis
AG,"Antigua og Barbuda"
AZ,Aserbajdsjan
AU,Avstralia
BD,Bangladesj
BE,Belgia
BZ,Belis
BA,Bosnia-Hersegovina
BW,Botsvana
BR,Brasilia
BT,Butan
DK,Danmørk
DO,"Domingo lýðveldið"
DM,Dominika
EG,Egyptaland
EC,Ekvador
GQ,"Ekvator Guinea"
EE,Estland
ET,Etiopia
AT,Eysturríki
CI,Fílabeinsstrondin
PH,Filipsoyggjar
FI,Finnland
FR,Frakland
FO,Føroyar
GR,Grikkaland
CV,Grønhøvdaoyggjarnar
GW,"Guinea Bissau"
GY,Gujana
BY,Hvítarussland
IN,India
IQ,Irak
IE,Írland
IS,Ísland
IL,Ísrael
IT,Italia
JM,Jameika
JP,Japan
YE,Jemen
KH,Kambodja
CM,Kamerun
CA,Kanada
KZ,Kasakstan
QA,Katar
CZ,Kekkia
KE,Kenja
CL,Kili
CN,Kina
KG,Kirgisia
TD,Kjad
CO,Kolombia
KM,Komorooyggjarnar
CG,Kongo
CR,"Kosta Rika"
HR,Kroatia
CU,Kuba
KW,Kuvait
CY,Kýpros
LS,Lesoto
LV,Lettland
LB,Libanon
LI,Liktenstein
LT,Litava
LU,Luksemborg
MG,Madagaskar
MK,Makedónia
MW,Malavi
MV,Maldivuoyggjarnar
MY,Maleisia
MA,Marokko
MH,Marshalloyggjarnar
MX,Meksiko
CF,Miðafrikalýðveldið
FM,Mikronesia
MC,Monako
MR,Móritania
MU,Móritius
MZ,Mosambik
NL,Niðurlond
NI,Nikaragua
KP,Norður-Korea
NO,Noreg
NZ,"Ný Sæland"
PG,"Papua Nýguinea"
PY,Paraguei
PE,Perú
PL,Pólland
RW,Ruanda
RO,Rumenia
RU,Russland
KN,"Saint Kitts og Nevis"
LC,"Saint Lusia"
VC,"Saint Vinsent og Grenadinoyggjar"
SB,Sálomonoyggjarnar
US,"Sambandsríki Amerika"
ZM,Sambia
AE,"Sameindu Emirríkini"
WS,Sámoa
ST,"Sao Tome og Prinsipi"
SA,Saudi-Arábia
SC,Seyskelloyggjarnar
ZW,Simbabvi
SG,Singapor
ES,Spania
KR,Suður-Korea
ZA,Suðurafrika
SR,Surinam
SZ,Svasiland
CH,Sveis
SE,Svøríki
TJ,Tadsjikistan
TZ,Tansania
TW,Teivan
TT,"Trinidad og Tobago"
TN,Tunesia
TR,Turkaland
DE,Týskland
UA,Ukreina
HU,Ungarn
UY,Uruguei
UZ,Usbekistan
VA,Vatikan
VE,Venesuela
