iso,name
AG,"Aintíge agus Barbúda"
ET,"An Aetóip"
AF,"An Afganastáin"
ZA,"An Afraic Theas"
QO,"An Aigéine Imeallach"
DZ,"An Ailgéir"
AR,"An Airgintín"
AM,"An Airméin"
AL,"An Albáin"
AQ,"An Antartaice"
SA,"An Araib Shádach"
AZ,"An Asarbaiseáin"
AU,"An Astráil"
BD,"An Bhanglaidéis"
BY,"An Bhealarúis"
BE,"An Bheilg"
BZ,"An Bheilís"
BA,"An Bhoisnia agus Heirseagóvéin"
BO,"An Bholaiv"
BW,"An Bhotsuáin"
BR,"An Bhrasaíl"
BG,"An Bhulgáir"
BI,"An Bhurúin"
BT,"An Bhútáin"
KH,"An Chambóid"
KZ,"An Chasacstáin"
KE,"An Chéinia"
CY,"An Chipir"
KG,"An Chirgeastáin"
KR,"An Chóiré Theas"
KP,"An Chóiré Thuaidh"
CO,"An Cholóim"
HR,"An Chróit"
CG,"An Congó"
CI,"An Cósta Eabhair"
DK,"An Danmhairg"
EE,"An Eastóin"
EG,"An Éigipt"
CH,"An Eilvéis"
ER,"An Eiritré"
FI,"An Fhionlainn"
FR,"An Fhrainc"
GA,"An Ghabúin"
GM,"An Ghaimbia"
DE,"An Ghearmáin"
GL,"An Ghraonlainn"
GR,"An Ghréig"
GY,"An Ghuáin"
GF,"An Ghuáin Fhrancach"
GN,"An Ghuine"
GQ,"An Ghuine Mheánchriosach"
GW,"An Ghuine-Bhissau"
IQ,"An Iaráic"
IR,"An Iaráin"
IN,"An India"
ID,"An Indinéis"
IT,"An Iodáil"
JO,"An Iordáin"
NO,"An Iorua"
IS,"An Íoslainn"
NL,"An Ísiltír"
LV,"An Laitvia"
LR,"An Libéir"
LY,"An Libia"
LB,"An Liobáin"
LT,"An Liotuáin"
MK,"An Mhacadóin"
MY,"An Mhalaeisia"
MW,"An Mhaláiv"
MR,"An Mharatáin"
FM,"An Mhicrinéis"
MD,"An Mholdóiv"
MN,"An Mhongóil"
NA,"An Namaib"
NG,"An Nigéir"
NE,"An Nígir"
NC,"An Nua-Chaladóin"
NZ,"An Nua-Shéalainn"
AT,"An Ostair"
PK,"An Phacastáin"
DO,"An Phoblacht Dhoiminiceach"
PF,"An Pholainéis Fhrancach"
PL,"An Pholainn"
PT,"An Phortaingéil"
CV,"An Rinn Ghlas"
GB,"An Ríocht Aontaithe"
RO,"An Rómáin"
EH,"An Sahára Thiar"
ES,"An Spáinn"
TJ,"An Táidsíceastáin"
TZ,"An Tansáin"
EU,"An tAontas Eorpach"
TH,"An Téalainn"
TW,"An Téaváin"
ZM,"An tSaimbia"
SV,"An tSalvadóir"
JP,"An tSeapáin"
SN,"An tSeineagáil"
RS,"An tSeirbia"
CS,"An tSeirbia agus Montainéagró"
GE,"An tSeoirsia"
GS,"An tSeoirsia Theas agus Oileáin Sandwich Theas"
CL,"An tSile"
CN,"An tSín"
ZW,"An tSiombáib"
SY,"An tSiria"
SK,"An tSlóvaic"
SI,"An tSlóvéin"
SO,"An tSomáil"
SE,"An tSualainn"
SZ,"An tSuasalainn"
SD,"An tSúdáin"
TN,"An Túinéis"
TR,"An Tuirc"
TM,"An Tuircméanastáin"
UA,"An Úcráin"
HU,"An Ungáir"
VA,"An Vatacáin"
AD,Andóra
AO,Angóla
AI,Anguilla
AN,"Antillí na hÍsiltíre"
AE,"Aontas na nÉimíríochtaí Arabacha"
AW,Arúba
BH,Bairéin
BB,Barbadós
BJ,Beinin
BM,Beirmiúda
BN,Brúiné
BF,"Buircíne Fasó"
CM,Camarún
QA,Catar
CA,Ceanada
KI,Ciribeas
RU,"Cónaidhm na Rúise"
CR,"Cósta Ríce"
IO,"Críocha Briotanacha an Aigéin Indiagh"
TF,"Críocha Deisceartacha na Fraince"
KW,Cuáit
CU,Cúba
DJ,Djibouti
DM,Doiminice
EC,Eacuadór
YE,Éimin
IE,Éire
FJ,Fidsí
GH,Gána
GG,Geansaí
JE,Geirsí
GI,Giobráltar
GD,Grenada
GP,Guadalúip
GU,Guam
GT,Guatamala
HT,Háití
HN,Hondúras
JM,Iamáice
IL,Iosrael
LA,Laos
LS,Leosóta
LI,Lichtinstéin
LU,Lucsamburg
MG,Madagascar
MM,Maenmar
ML,Mailí
MT,Málta
MA,Maracó
MQ,Martainíc
YT,Mayotte
MX,Meicsiceo
UM,"Mion-Oileáin Imeallacha S.A.M."
MC,Monacó
ME,Montainéagró
MS,Montsarat
MZ,Mósaimbíc
BS,"Na Bahámaí"
PS,"Na Críocha Pailistíneacha"
PH,"Na hOileáin Fhilipíneacha"
MV,"Na Maildiví"
SC,"Na Séiséil"
NR,Nárú
NP,Neipeal
NI,Nicearagua
NU,Nívé
PG,"Nua-Ghuine Phapua"
AX,"Oileáin Alaind"
VG,"Oileáin Bhriotanacha na Maighdean"
KM,"Oileáin Chomóra"
CK,"Oileáin Cook"
FK,"Oileáin Fháclainne"
FO,"Oileáin Fharó"
MP,"Oileáin Mariana Thuaidh"
MH,"Oileáin Marshall"
KY,"Oileáin na gCadhman"
CC,"Oileáin na gCócónna"
VI,"Oileáin na Maighdean S.A.M."
TT,"Oileáin na Tríonóide agus Tobága"
SB,"Oileáin Sholaimh"
TC,"Oileáin Turks agus Caicos"
WF,"Oileáin Vailís agus Futúna"
BV,"Oileán Bouvet"
HM,"Oileán Heard agus Oileáin McDonald"
IM,"Oileán Mhanann"
MU,"Oileán Mhuirís"
CX,"Oileán na Nollag"
NF,"Oileán Norfolk"
OM,Óman
PW,Palau
PA,Panama
PY,Paragua
PE,Peiriú
PN,Pitcairn
CD,"Poblacht Dhaonlathach an Chongó"
CF,"Poblacht na hAfraice Láir"
CZ,"Poblacht na Seice"
PR,"Portó Ríce"
HK,"R.R.S. na Síne Hong Cong"
MO,"R.R.S. na Síne Macáó"
RE,Réunion
RW,Ruanda
KN,"Saint Kitts agus Nevis"
PM,"Saint Pierre agus Miquelon"
VC,"Saint Vincent agus na Grenadines"
WS,Samó
AS,"Samó Meiriceánach"
SH,"San Héilin"
LC,"San Lúisia"
SM,"San Mairíne"
ST,"Sao Tome agus Principe"
TD,Sead
SL,"Siarra Leon"
SG,Singeapór
LK,"Srí Lanca"
US,"Stáit Aontaithe Mheiriceá"
SR,Suranam
SJ,"Svalbard agus Jan Mayen"
TL,"Tíomór Thoir"
TK,Tócalá
TG,Tóga
TO,Tonga
TV,Túválú
UG,Úganda
UZ,Úisbéiceastáin
UY,Urugua
VU,Vanuatú
VE,Veiniséala
VN,"Vít Neam"
