iso,name
AO,अंगोला
AQ,अंटार्कटिका
AZ,अज़रबैजान
AD,अन्डोरा
AF,अफ़गानिस्तान
VI,"अमेरिकी वर्जिन टापू"
AS,"अमेरिकी समोआ"
AW,अरूबा
AR,अर्जेन्टीना
SV,"अल साल्वाडोर"
DZ,अल्जीरिया
AL,अल्बानिया
AC,"असेंशन आइलैंड"
IM,"आइल ऑफ मैन"
IS,आइसलैंड
CI,"आईवरी कोस्ट"
QO,"आउटलाइंग ओशिनिया"
IE,आयरलैंड
AM,आर्मेनिया
ID,इंडोनेशिया
EC,इक्वाडोर
GQ,"इक्वेटोरियल गिनी"
IT,इटली
ET,इथियोपिया
IQ,इराक
ER,इरिट्रिया
IL,इसराइल
IR,ईरान
UZ,उजबेकिस्तान
KP,"उत्तर कोरिया"
AI,एंगुइला
AG,"एंटिगुआ और बरबुडा"
AX,"एलैंड द्वीपसमूह"
EE,एस्टोनिया
AT,ऑस्ट्रिया
AU,ऑस्ट्रेलिया
OM,ओमान
KZ,कजाखस्तान
QA,कतर
CA,कनाडा
KH,कम्बोडिया
CG,कांगो
KI,किरिबाती
KG,किर्गिज़तान
CK,"कुक द्वीपसमूह"
KW,कुवैत
KE,केन्या
KY,"केमैन द्वीपसमूह"
IC,"कैनेरी द्वीपसमूह"
CV,"कैप वर्डे"
CM,कैमरून
CD,"कोंगो जनतांत्रिक गणतंत्र"
CC,"कोकोस द्वीप"
KM,कोमोरोस
CO,कोलम्बिया
CR,कोस्टारीका
CU,क्यूबा
CX,"क्रिसमस द्वीप"
HR,क्रोशिया
CP,"क्लिपर्टन आइलैंड"
GM,गाम्बिया
GN,गिनी
GW,गीनी-बिसाउ
GU,गुआम
GY,गुयाना
GA,गैबॉन
GT,गोतेदाला
GL,ग्रीनलैण्ड
GR,ग्रीस
GD,ग्रेनेडा
GP,ग्वाडेलोप
GG,ग्वेर्नसे
GH,घाना
TD,चाड
CL,चिली
CN,चीन
CZ,"चेक गणराज्य"
JM,जमाइका
DE,जर्मनी
JE,जर्सी
JP,जापान
ZM,जाम्बिया
DJ,जिबूती
GI,जिब्राल्टर
ZW,जिम्बाब्वे
GE,जॉर्जिया
JO,जोर्डन
TO,टोंगा
TG,टोगो
DG,"डिएगो गार्सिया"
DK,डेनमार्क
DM,डोमिनिक
DO,"डोमिनिकन गणराज्य"
TZ,तंजा़निया
TW,ताइवान
TJ,ताजिकिस्तान
TN,तुनिशिया
TM,तुर्कमेनिस्तान
TR,तुर्की
TC,"तुर्क् और् कैकोज़ द्वीप"
TV,तुवालु
TK,तोकेलाउ
TT,"त्रिनिडाड और टोबैगो"
TA,"त्रिस्टान डा कुना"
TH,थाइलैंड
ZA,"दक्षिण अफ्रीका"
KR,"दक्षिण कोरिया"
GS,"दक्षिण जोर्जिया और दक्षिण सैंडविच द्वीपसमूह"
NE,नाइजर
NG,नाइजीरिया
NR,नाउरु
NA,नामीबिया
NI,निकारागुआ
AN,"नीदरलैंड्स एंटिलीज़"
NL,नीदरलैण्ड
NU,नीयू
NP,नेपाल
NF,"नॉरफ़ॉक द्वीप"
MP,"नॉर्दन मारियाना द्वीपसमूह"
NO,नॉर्वे
NC,"न्यू कैलेडोनिया"
NZ,न्यूज़ीलैंड
PA,पनामा
PR,"पर्टो रीको"
PW,पलाऊ
EH,"पश्चिमी सहारा"
PK,पाकिस्तान
PG,"पापुआ न्यू गिनी"
PY,पारागुए
PN,पिटकैर्न
PT,पुर्तगाल
TL,"पूर्वी तिमोर"
PE,पेरू
PL,पोलैंड
FO,"फरोए द्वीप"
FJ,फिजी
FI,फिनलैंड
PS,फ़िलिस्तीन
PH,फिलीपिंस
FK,"फ़ॉकलैंड द्वीप"
FR,फ्रांस
GF,"फ़्रांसीसी गिआना"
TF,"फ़्रांसीसी दक्षिणी क्षेत्र"
PF,"फ़्रांसीसी पॉलिनेशिया"
BM,बरमूडा
BS,बहामा
BD,बांग्लादेश
BB,बारबाडोस
BH,बाहरेन
BI,बुरुंडी
BF,"बुर्किना फ़ासो"
BG,बुल्गारिया
BJ,बेनिन
BY,बेलारूस
BZ,बेलिज
BE,बेल्जियम
BW,बोत्स्वाना
BO,बोलीविया
BA,"बोस्निया और हर्ज़िगोविना"
BV,"बौवेत द्वीप"
BR,ब्राजील
VG,"ब्रिटिश वर्जिन द्वीपसमूह"
IO,"ब्रिटिश हिंद महासागरीय क्षेत्र"
GB,ब्रितन
BN,ब्रुनेई
IN,भारत
BT,भूटान
MN,मंगोलिया
MO,"मकाओ चीन"
MW,मलावी
MY,मलेशिया
FM,माइक्रोनेशिया
MQ,मार्टीनिक
MH,"मार्शल द्वीप"
MV,मालदीव
ML,माली
MT,माल्टा
EG,मिस्र
MX,मेक्सिको
MG,मैडागास्कर
YT,मैयट
MK,मैसेडोनिया
MS,मॉन्ट्सेराट
MR,मॉरिटानिया
MU,मॉरिशस
ME,मोंटेनेग्रो
MZ,मोजाम्बिक
MC,मोनाको
MA,मोरक्को
MD,मोल्डाविया
MM,म्यानमार
YE,यमन
UG,युगांडा
UM,"युनाइटेड स्टेट्स माइनर आउटलाइंग द्वीपसमूह"
UY,युरूगुए
UA,यूक्रेन
EU,"यूरोपीय संघ"
RE,रियूनियन
RW,रूआण्डा
RU,रूस
RO,रोमानिया
LU,लक्समबर्ग
LR,लाइबेरिया
LA,लाओस
LV,लात्विया
LI,लिकटेंस्टीन
LT,लिथुआनिया
LY,लीबिया
LB,लेबनान
LS,लेसोथो
VU,वानुअतु
WF,"वालिस और फ़्यूचूना"
VN,वियतनाम
VE,वेनेजुएला
VA,वैटिकन
LK,श्रीलंका
AE,"संयुक्त अरब अमीरात"
US,"संयुक्त राज्य अमेरिका"
SA,"सऊदी अरब"
WS,समोआ
RS,सर्बिया
CS,"सर्बिया व मॉण्टेनेग्रो"
CY,साइप्रस
ST,साउ-तोम-प्रिंसिप
SG,सिंगापुर
SL,सियरालेओन
SY,सीरिया
SZ,सुआजीलैंड
SR,सुरिनाम
SD,सूडान
KN,"सेंट किट्स और नेविस"
PM,"सेंट पिएरे और मिक्वेलन"
BL,"सेंट बार्थेलेमी"
MF,"सेंट मार्टिन"
LC,"सेंट लूसिया"
VC,"सेंट विनसेंट एंड ग्रेनाडाइन्स"
SH,"सेंट हेलेना"
CF,"सेंट्रल अफ्रीकन रिपब्लिक"
EA,"सेउटा और मेलिला"
SN,सेनेगल
SC,सेशेल्स
SM,"सैन मेरीनो"
SO,सोमालिया
SB,"सोलोमन द्वीप"
ES,स्पेन
SK,स्लोवाकिया
SI,स्लोवेनिया
SJ,"स्वालबर्ड और जान मायेन"
CH,स्विस
SE,स्वीडन
HU,हंगरी
HM,"हर्ड द्वीप और मैकडोनॉल्ड द्वीप"
HK,"हांगकांग विशेष प्रशासनिक क्षेत्र चीन"
HT,हाइती
HN,हाण्डूरस
