កម្ពុជា (KH)
កាណាដា (CA)
កាតារ (QA)
កាបវែរ (CV)
កាមេរូន (CM)
កាហ្សាក់ស្តាង់់ (KZ)
កុងហ្គោ (CG)
កូដឌីវ័រ (CI)
កូស្តារីកា (CR)
កូឡុំប៊ី (CO)
កេនយ៉ា (KE)
កុំម៉ូរ៉ូស (KM)
ក្រិច (GR)
ក្រូអាស៊ី (HR)
គិរិបាទី (KI)
គុយបា (CU)
គុយវ៉ែត (KW)
គៀរហ្គីស្តង់ (KG)
ចិន (CN)
ឆាដ (TD)
ជប៉ុន (JP)
ឈីលី (CL)
ដាណឺម៉ាក (DK)
ដូមីនីកា (DM)
ណាមីប៊ី (NA)
តង់ហ្សានី (TZ)
តាដហ្ស៉ីគីស្តង់ (TJ)
តុងហ្គា (TO)
តូហ្គូ (TG)
តៃវ៉ាន់ (TW)
ថៃ (TH)
ទីម័រខាងកើត (TL)
ទុយនេស៊ី (TN)
ទួគមេនីស្តង់ (TM)
ទួរគី (TR)
ទ្រីនីដាដនឹងតូបាហ្គោ (TT)
ន័រវែស (NO)
នីការ៉ាហ្គ័រ (NI)
នីហ្សេរ (NE)
នីហ្សេរីយ៉ា (NG)
នូវែលហ្សេឡង់ (NZ)
នេប៉ាល់ (NP)
បង់ក្លាដេស្ហ (BD)
ប៉ាគីស្ថាន (PK)
ប៉ាណាម៉ា (PA)
ប៉ាពូអានូវែលហ្គីណេ (PG)
បារបាដូស (BB)
ប៉ារ៉ាហ្គាយ (PY)
បារ៉ែន (BH)
បារាំង (FR)
ប៉ាលេស្ទីន (PS)
បាហាម៉ា (BS)
បុតស្វាណា (BW)
ប៊ុលហ្គារី (BG)
ប៊ូតាន (BT)
ប៊ូរគីណាហ្វាសូ (BF)
ប៊ូរុនឌី (BI)
បូលីវី (BO)
ប៉ូលូញ (PL)
បូស្ន៉ី (BA)
បេណាំង (BJ)
ប៉េរូ (PE)
បេលីហ្ស (BZ)
បេឡារុស្ស (BY)
បែលហ្ស៉ិក (BE)
ប៊្រុយណេ (BN)
ប្រេស៊ីល (BR)
ព័រតូរីកូ (PR)
ព័រទុយហ្កាល់ (PT)
ម៉ាដាហ្កាស្ការ (MG)
ម៉ារ៉ុក (MA)
ម៉ាល់តា (MT)
ម៉ាលី (ML)
ម៉ាលេស៉ី (MY)
ម៉ាសេដន (MK)
មិក្រូនេស៊ី (FM)
ម៉ិចសិក (MX)
មីយ៉ាន់ម៉ា (MM)
ម៉ុងហ្គោលី (MN)
ម៉ូណាកូ (MC)
ម៉ូរីតានី (MR)
ម៉ូរីទុស (MU)
ម៉ូហ្សាំប៊ិក (MZ)
យេមែន (YE)
រវ៉ាន់ដា (RW)
រូម៉ានី (RO)
រូស្ស៊ី (RU)
លិចទេនស្តែន (LI)
លីទុយអានី (LT)
លីបង់ (LB)
លីប៊ី (LY)
លីបេរីយ៉ា (LR)
លុចហ្សំបួរ (LU)
លើសូតូ (LS)
វ៉ាទីកង់ (VA)
វៀតណាម (VN)
វេនេហ្ស៊ុយឡា (VE)
សហរដ្ឋអាមេរិក (US)
សាធារណរដ្ឋកូរ៉េ (KR)
