Aflika Kusini (ZA)
Afuganistani (AF)
Aislandi (IS)
Ajentina (AR)
Albania (AL)
Aljelia (DZ)
Almenia (AM)
Aluba (AW)
Andola (AD)
Angola (AO)
Anguilla (AI)
Antigua na Balbuda (AG)
Antili za Uholanzi (AN)
Austlalia (AU)
Austlia (AT)
Ayalandi (IE)
Azabajani (AZ)
Babadosi (BB)
Bahaleni (BH)
Bahama (BS)
Bangladeshi (BD)
Belalusi (BY)
Belize (BZ)
Belmuda (BM)
Benini (BJ)
Blazili (BR)
Blunei (BN)
Bolivia (BO)
Bosnia na Hezegovina (BA)
Botswana (BW)
Bukinafaso (BF)
Bukini (MG)
Bulgalia (BG)
Bulundi (BI)
Butani (BT)
Chadi (TD)
Chile (CL)
China (CN)
Denmaki (DK)
Dominika (DM)
Ekwado (EC)
Elitlea (ER)
Elsavado (SV)
Eneo ja Uingeeza mwe Bahali Hindi (IO)
Estonia (EE)
Falme za Kialabu (AE)
Fiji (FJ)
Filipino (PH)
Gaboni (GA)
Gambia (GM)
Ghana (GH)
Gine (GN)
Ginebisau (GW)
Ginekweta (GQ)
Glenada (GD)
Glinlandi (GL)
Guyana (GY)
Gwadelupe (GP)
Gwam (GU)
Gwatemala (GT)
Gwiyana ya Ufalansa (GF)
Haiti (HT)
Hispania (ES)
Honduasi (HN)
Hungalia (HU)
Ilaki (IQ)
India (IN)
Indonesia (ID)
Islaeli (IL)
Italia (IT)
Jamaika (JM)
Jamhuli ya Afrika ya Gati (CF)
Jamhuli ya Cheki (CZ)
Jamhuli ya Dominika (DO)
Jamhuli ya Kidemoklasia ya Kongo (CD)
Japani (JP)
Jiblalta (GI)
Jibuti (DJ)
Jojia (GE)
Kambodia (KH)
Kameluni (CM)
Kanada (CA)
Katali (QA)
Kazakistani (KZ)
Kenya (KE)
Kepuvede (CV)
Kiibati (KI)
Kiigizistani (KG)
Kisiwa cha Nolfok (NF)
Kodivaa (CI)
Kolasia (HR)
Kolea Kaskazini (KP)
Kolea Kusini (KR)
Kolombia (CO)
Komolo (KM)
Kongo (CG)
Kostalika (CR)
Kuba (CU)
Kuplosi (CY)
Kuwaiti (KW)
Laosi (LA)
Lasembagi (LU)
Lativia (LV)
Lebanoni (LB)
Lesoto (LS)
Libelia (LR)
Libya (LY)
Lishenteni (LI)
Litwania (LT)
Liyunioni (RE)
Lomania (RO)
Lwanda (RW)
Malawi (MW)
Malekani (US)
Malesia (MY)
Mali (ML)
Malta (MT)
Maltiniki (MQ)
Masedonia (MK)
Maulitania (MR)
Mayotte (YT)
Meksiko (MX)
Miklonesia (FM)
Misli (EG)
Modivu (MV)
Moldova (MD)
Molisi (MU)
Moloko (MA)
Monako (MC)
Mongolia (MN)
Montselati (MS)
Msumbiji (MZ)
Myama (MM)
Naija (NE)
Naijelia (NG)
Namibia (NA)
Naulu (NR)
Nepali (NP)
Nikalagwa (NI)
Niue (NU)
Nolwei (NO)
Nyukaledonia (NC)
Nyuzilandi (NZ)
Omani (OM)
Pakistani (PK)
Palagwai (PY)
Palau (PW)
Panama (PA)
Papua (PG)
Pelu (PE)
Pitkailni (PN)
Polandi (PL)
Polinesia ya Ufalansa (PF)
Pwetoliko (PR)
Samalino (SM)
Samoa (WS)
Samoa ya Malekani (AS)
Santahelena (SH)
Santakitzi na Nevis (KN)
Santalusia (LC)
Santapieli na Mikeloni (PM)
Santavisenti na Glenadini (VC)
Sao Tome na Plincipe (ST)
Saudi (SA)
Selbia na Monteneglo (CS)
Senegali (SN)
Shelisheli (SC)
Siela Leoni (SL)
Silia (SY)
Sililanka (LK)
Singapoo (SG)
Slovakia (SK)
Slovenia (SI)
Somalia (SO)
Sudani (SD)
Sulinamu (SR)
Tailandi (TH)
Taiwani (TW)
Tajikistani (TJ)
Tanzania (TZ)
Timoli ya Mashaliki (TL)
Tlinidad na Tobago (TT)
Togo (TG)
Tokelau (TK)
Tonga (TO)
Tulukimenistani (TM)
Tunisia (TN)
Tuvalu (TV)
Uajemi (IR)
Ufalansa (FR)
Ufini (FI)
Uganda (UG)
Ugiiki (GR)
Uhabeshi (ET)
Uholanzi (NL)
Uingeeza (GB)
Ujeumani (DE)
Ukingo wa Maghalibi na Ukanda wa Gaza wa Palestina (PS)
Uklaini (UA)
Uleno (PT)
Ulugwai (UY)
Ulusi (RU)
Uswazi (SZ)
Uswidi (SE)
Uswisi (CH)
Utuluki (TR)
Uzibekistani (UZ)
Vanuatu (VU)
Vatikani (VA)
Venezuela (VE)
Vietinamu (VN)
Visiwa vya Cook (CK)
Visiwa vya Falkland (FK)
Visiwa vya Kayman (KY)
Visiwa vya Maliana vya Kaskazini (MP)
Visiwa vya Mashal (MH)
Visiwa vya Solomon (SB)
Visiwa vya Tulki na Kaiko (TC)
Visiwa vya Vilgin vya Malekani (VI)
Visiwa vya Vilgin vya Uingeeza (VG)
Walis na Futuna (WF)
Yemeni (YE)
Yoldani (JO)
Zambia (ZM)
Zimbabwe (ZW)
