iso,name
AQ,അന്‍റാര്‍ട്ടിക്ക
AD,അന്‍റോറ
AF,അഫ്ഗാനിസ്ഥാന്‍
US,"അമേരിക്കന്‍ ഐക്യനാടുകള്‍"
AS,"അമേരിക്കന്‍ സാമോവ"
AO,അംഗോള
IE,അയര്‍ലാന്‍ഡ്
AR,അര്‍ജന്‍റീന
AM,അര്‍മേനിയ
AX,"അലന്‍ഡ് ദ്വീപുകള്‍"
AL,അല്‍ബേനിയ
AC,"അസന്‍ഷന്‍ ദ്വീപ്"
AZ,അസര്‍ബൈജാന്‍
DZ,അള്‍ജീരിയ
AW,അറുബ
AI,ആന്‍ഗ്വില്ല
AG,"ആന്‍റിഗ്വയും ബര്‍ബുഡയും"
EC,ഇക്വഡോര്‍
GQ,"ഇക്വിറ്റോറിയല്‍ ഗ്വിനിയ"
ID,ഇന്‍ഡോനേഷ്യ
IN,ഇന്ത്യ
IL,ഇസ്രായേല്‍
IQ,ഇറാക്ക്
IR,ഇറാന്‍
IT,ഇറ്റലി
EG,ഈജിപ്ത്
UA,ഉക്രൈന്‍
UG,ഉഗാണ്ട
MP,"ഉത്തര മറിയാനാ ദ്വീപുകള്‍"
KP,ഉത്തരകൊറിയ
UZ,ഉസ്ബെക്കിസ്ഥാന്‍
UY,ഉറുഗ്വേ
ET,എത്യോപ്യ
SV,"എല്‍ സാല്‍വദോര്‍"
EE,എസ്റ്റോണിയ‍
ER,എറിത്രിയ
IM,"ഐല്‍ ഓഫ് മാന്‍"
CI,"ഐവറി കോസ്റ്റ്"
IS,ഐസ്‌ലാന്റ്
OM,ഒമാന്‍
AT,ഓസ്ട്രിയ
AU,ഓസ്ട്രേലിയ
KH,കംബോഡിയ
KZ,കസാഖിസ്ഥാന്‍
CA,കാനഡ
IC,"കാനറി ദ്വീപുകള്‍"
CM,കാമറൂണ്‍
KI,കിരിബാത്തി
KG,കിര്‍ഗിസ്ഥാന്‍
TL,"കിഴക്കന്‍ തിമൂര്‍"
KW,കുവൈറ്റ്
CK,"കൂക്ക് ദ്വീപുകള്‍"
KE,കെനിയ
CV,"കേപ്പ് വെര്‍ഡെ"
KY,"കേയ്മാന്‍ ദ്വീപുകള്‍"
CO,കൊളംബിയ
CC,കോക്കസ്
KM,കോമറോസ്
CD,"കോംഗോ - കിന്‍ഷാസ"
CG,"കോംഗോ - ബ്രാസാവില്‍"
CR,കോസ്റ്ററിക്ക
CU,ക്യൂബ
CX,"ക്രിസ്മസ് ദ്വീപ്"
HR,ക്രൊയേഷ്യ
CP,"ക്ലിപ്പെര്‍ട്ടന്‍ ദ്വീപ്"
QA,ഖത്തര്‍
GY,ഗയാന
GA,ഗാബോണ്‍
GM,ഗാംബിയ
GW,ഗിനി-ബിസോ
GP,ഗുവാഡെലോപ്
GG,ഗേണ്‍സി
GD,ഗ്രനേഡ
GL,ഗ്രീന്‍ലാന്‍റ്
GR,ഗ്രീസ്
GT,ഗ്വാട്ടിമാലാ
GU,ഗ്വാം
GN,ഗ്വിനിയ
GH,ഘാന
TD,ചാഡ്
CL,ചിലി
CZ,"ചെക്ക് റിപ്പബ്ലിക്"
CN,ചൈന
JP,ജപ്പാന്‍
JM,ജമൈക്ക
DE,ജര്‍മനി
DJ,ജിബൂട്ടി
GI,ജിബ്രാള്‍ട്ടര്‍
JE,ജേഴ്സി
GE,ജോര്‍ജിയ
JO,ജോര്‍ദ്ദാന്‍
TC,"ടര്‍ക്ക്സും കൈക്കോ ദ്വീപുകളും"
TZ,ടാന്‍സാനിയ
TN,ടുണീഷ്യ
TK,ടൊകെലാവു
TG,ടോഗോ
TO,ടോംഗ
TA,"ട്രസ്റ്റന്‍ ഡ കൂന"
TT,"ട്രിനിഡാഡും റ്റൊബാഗോയും"
DG,"ഡീഗോ ഗ്രാഷ്യ"
DK,ഡെന്‍മാര്‍ക്ക്
DM,ഡൊമിനിക്ക
DO,"ഡൊമിനിക്കന്‍ റിപ്പബ്ലിക്"
TJ,താജിക്കിസ്ഥാന്‍
TH,തായ്‌ലാന്‍ഡ്
TW,തായ്‌വാന്‍
TR,തുര്‍ക്കി
TM,തുര്‍ക്ക്മെനിസ്ഥാന്‍
TV,തുവാലു
GS,"ദക്ഷിണ ജോര്‍ജ്ജിയയും ദക്ഷിണ സാന്‍ഡ്‌വിച്ച് ദ്വീപുകളും"
KR,ദക്ഷിണകൊറിയ
ZA,ദക്ഷിണാഫ്രിക്ക
NA,നമീബിയ
NI,നിക്കാരഗ്വ
NL,നെതര്‍ലന്‍ഡ്സ്
AN,"നെതര്‍ലന്‍ഡ്സ് ആന്‍റിലിസ്"
NP,നേപ്പാള്‍
NE,നൈജര്‍
NG,നൈജീരിയ
NF,"നോര്‍ഫോക് ദ്വീപ്"
NO,നോര്‍വെ
NR,നൗറൂ
NU,ന്യൂവേ
NZ,ന്യൂസിലാന്‍റ്
PA,പനാമ
PG,"പപ്പുവ ന്യൂ ഗ്വിനി"
PY,പരാഗ്വേ
PW,പലാവു
EH,"പശ്ചിമ സഹാറ"
PK,പാക്കിസ്ഥാന്‍
PS,"പാലസ്തീന്‍ പ്രദേശങ്ങള്‍"
PN,പിറ്റ്കെയ്ന്‍
NC,"പുതിയ കാലിഡോണിയ"
QO,പുറംദ്വീപുകള്‍
PE,പെറു
PT,പോര്‍ച്ചുഗല്‍
PR,"പോര്‍ട്ടോ റിക്കോ"
PL,പോളണ്ട്
FO,"ഫറോയി ദ്വീപുകള്‍"
FK,"ഫാക്ക്‌ലാന്റ് ഐലന്റ്"
FJ,ഫിജി
FI,ഫിന്‍ലാന്‍ഡ്
PH,ഫിലിപ്പൈന്‍സ്
GF,"ഫ്രഞ്ച് ഗയാന"
TF,"ഫ്രഞ്ച് ദക്ഷിണ ഭൂപ്രദേശം"
PF,"ഫ്രഞ്ച് പോളിനേഷ്യ"
FR,ഫ്രാന്‍സ്
BD,ബംഗ്ലാദേശ്
BM,ബര്‍മുഡ
BS,ബഹാമാസ്
BH,ബഹ്റൈന്‍
BG,ബള്‍ഗേറിയ
BB,ബാര്‍ബഡോസ്
BF,"ബുര്‍ക്കിനാ ഫാസോ"
BI,ബുറുണ്ടി
BJ,ബെനിന്‍
BY,ബെലറൂസ്
BZ,ബെലീസ്
BE,ബെല്‍ജിയം
BO,ബൊളീവിയ
BW,ബോട്സ്വാന
BA,"ബോസ്നിയയും ഹെര്‍സഗോവിനയും"
BV,"ബൗവെറ്റ് ദ്വീപ്"
BR,ബ്രസീല്‍
GB,ബ്രിട്ടന്‍
IO,"ബ്രിട്ടീഷ് ഇന്ത്യന്‍ മഹാസമുദ്ര പ്രദേശം"
VG,"ബ്രിട്ടീഷ് വിര്‍ജിന്‍ ദ്വീപുകള്‍"
BN,ബ്രൂണൈ
BT,ഭൂട്ടാന്‍
MO,"മക്കാവോ SAR ചൈന"
MG,മഡഗാസ്കര്‍
MN,മംഗോളിയ
YT,മയോട്ട്
MW,മലാവി
MY,മലേഷ്യ
MD,മള്‍ഡോവ
MQ,മാര്‍ട്ടീനിക്
MH,"മാര്‍ഷല്‍‍‍ ദ്വീപുകള്‍"
ML,മാലി
MV,മാലിദ്വീപ്
MK,മാസിഡോണിയ
MT,മാള്‍ട്ട
MX,മെക്സിക്കോ
FM,മൈക്രോനേഷ്യ
MC,മൊണോക്കൊ
MZ,മൊസാംബിക്ക്
MA,മൊറോക്കൊ
ME,മോണ്ടേനേഗ്രോ
MS,മോണ്ട്സെറാറ്റ്
MR,മൗറിറ്റാനിയ
MU,മൗറീഷ്യസ്
MM,മ്യാന്‍മാര്‍
YE,യമന്‍
VI,"യു.എസ്. വെര്‍ജിന്‍ ദ്വീപുകള്‍"
UM,"യുണൈറ്റഡ് സ്റ്റേറ്റ്സും ചെറിയ പുറംദ്വീപുകളും"
EU,"യൂറോപ്യന്‍ യൂണിയന്‍"
LU,ലക്സംബര്‍ഗ്
LB,ലബനോണ്‍
LV,ലാത്വിയ
LA,ലാവോസ്
LT,ലിത്വാനിയ
LY,ലിബിയ
LS,ലെസോത്തോ
LI,ലൈച്ടെസ്റ്റിന്‍
LR,ലൈബീരിയ
VA,വത്തിക്കാന്‍
VU,വന്വാത്തു
WF,"വാലിസ് ആന്‍ഡ് ഫ്യുചൂന"
VN,വിയറ്റ്നാം
VE,വെനിസ്വേല
LK,ശ്രീലങ്ക
AE,"സംയുക്ത അറബ് രാഷ്ട്രം"
SM,"സാന്‍ മറിനോ"
WS,സാമോവ
ZM,സാംബിയ
ST,"സാവോ റ്റമെ ആന്‍ഡ് പ്രിന്‍സിപ്പി"
SG,സിംഗപ്പുര്‍
ZW,സിംബാബ്വേ
SL,"സിയേറാ ലിയോണ്‍"
SY,സിറിയ
SD,സുഡാന്‍
SR,സുറിനാം
SN,സെനഗല്‍
CF,"സെന്‍ട്രല്‍ ആഫ്രിക്കന്‍ റിപ്പബ്ലിക്"
PM,"സെന്‍റ് പിറേയും മിക്വലണും"
BL,"സെന്‍റ് ബാര്‍ത്തെല്‍മി"
MF,"സെന്‍റ് മാര്‍ട്ടിന്‍"
LC,"സെന്‍റ് ലൂസിയ"
VC,"സെന്‍റ് വിന്‍സന്‍റും ഗ്രനഡൈന്‍സും"
SH,"സെന്‍റ് ഹെലീന"
EA,"സെയൂത്ത ആന്‍ഡ് മെലിയ"
KN,"സെയ്ന്‍റ് കിറ്റ്സും നെവിസും"
SC,സെയ്ഷെല്‍സ്
RS,സെര്‍ബിയ
CS,"സെര്‍ബിയയും മോണ്ടനേഗ്രോയും"
CY,സൈപ്രസ്സ്
SO,സോമാലിയ
SB,"സോളമന്‍‍ ദ്വീപുകള്‍"
SA,"സൗദി അറേബ്യ"
ES,സ്പെയിന്‍
SK,സ്ലോവാക്യ
SI,സ്ലോവേനിയ
SJ,"സ്വാല്‍ബാഡും ജാന്‍ മായേനും"
SZ,സ്വാസിലാന്‍റ്
CH,സ്വിറ്റ്സര്‍ലാന്‍ഡ്
SE,സ്വീഡന്‍
HU,ഹംഗറി
HM,"ഹിയേര്‍ഡ് ദ്വീപും മക്ഡൊണാള്ഡ് ദ്വീപുകളും"
HT,ഹെയ്തി
HK,"ഹോങ് കോങ് എസ്.ഏ.ആര്‍. ചൈന"
HN,ഹോണ്ടുറാസ്
RU,റഷ്യ
RE,റീയൂണിയന്‍
RO,റുമേനിയ
RW,റുവാണ്ട
