iso,name
IS,آیسلینډ
AT,اتریش
AF,افغانستان
AL,البانیه
DZ,الجزایر
DE,المان
AQ,انتارکتیکا
ID,اندونیزیا
AO,انګولا
IT,ایټالیه
GB,برتانیه
BG,بلغاریه
BD,بنګله‌دیش
PK,پاکستان
PT,پورتګال
PL,پولنډ
TJ,تاجکستان
TZ,تنزانیا
JP,جاپان
JM,جمیکا
CN,چین
ET,حبشه
DK,ډنمارک
RU,روسیه
RW,روندا
SV,سالوېډور
SA,"سعودی عربستان"
SY,سوریه
SE,سویډن
CH,سویس
IQ,عراق
FR,فرانسه
PS,فلسطین
FI,فنلینډ
CA,کاناډا
KH,کمبودیا
CO,کولمبیا
KW,کویټ
CU,کیوبا
GH,ګانا
GT,ګواتیمالا
GN,ګیانا
LA,لاوس
LR,لایبریا
LB,لبنان
LY,لیبیا
MY,مالیزیا
HU,مجارستان
MA,مراکش
EG,مصر
MN,مغولستان
NO,ناروې
NG,نایجیریا
NI,نکاراګوا
NP,نیپال
NZ,نیوزیلنډ
NL,هالېنډ
HN,هانډوراس
ES,هسپانیه
IN,هند
YE,یمن
UY,یوروګوای
GR,یونان
