آیسلینډ (IS)
اتریش (AT)
افغانستان (AF)
البانیه (AL)
الجزایر (DZ)
المان (DE)
انتارکتیکا (AQ)
اندونیزیا (ID)
انګولا (AO)
ایټالیه (IT)
برتانیه (GB)
بلغاریه (BG)
بنګله‌دیش (BD)
پاکستان (PK)
پورتګال (PT)
پولنډ (PL)
تاجکستان (TJ)
تنزانیا (TZ)
جاپان (JP)
جمیکا (JM)
چین (CN)
حبشه (ET)
ډنمارک (DK)
روسیه (RU)
روندا (RW)
سالوېډور (SV)
سعودی عربستان (SA)
سوریه (SY)
سویډن (SE)
سویس (CH)
عراق (IQ)
فرانسه (FR)
فلسطین (PS)
فنلینډ (FI)
کاناډا (CA)
کمبودیا (KH)
کولمبیا (CO)
کویټ (KW)
کیوبا (CU)
ګانا (GH)
ګواتیمالا (GT)
ګیانا (GN)
لاوس (LA)
لایبریا (LR)
لبنان (LB)
لیبیا (LY)
مالیزیا (MY)
مجارستان (HU)
مراکش (MA)
مصر (EG)
مغولستان (MN)
ناروې (NO)
نایجیریا (NG)
نکاراګوا (NI)
نیپال (NP)
نیوزیلنډ (NZ)
هالېنډ (NL)
هانډوراس (HN)
هسپانیه (ES)
هند (IN)
یمن (YE)
یوروګوای (UY)
یونان (GR)
