iso,name
AU,Австралия
AT,Австрия
AZ,Азербайджан
AX,"Аландские о-ва"
AL,Албания
DZ,Алжир
AS,"Американское Самоа"
AI,Ангилья
AO,Ангола
AD,Андорра
AQ,Антарктида
AG,"Антигуа и Барбуда"
AR,Аргентина
AM,Армения
AW,Аруба
AF,Афганистан
BS,"Багамские о-ва"
BD,Бангладеш
BB,Барбадос
BH,Бахрейн
BY,Беларусь
BZ,Белиз
BE,Бельгия
BJ,Бенин
BM,"Бермудские о-ва"
BG,Болгария
BO,Боливия
BA,"Босния и Герцеговина"
BW,Ботсвана
BR,Бразилия
IO,"Британская территория в Индийском океане"
VG,"Британские Виргинские о-ва"
BN,"Бруней Даруссалам"
BF,"Буркина Фасо"
BI,Бурунди
BT,Бутан
VU,Вануату
VA,Ватикан
GB,Великобритания
HU,Венгрия
VE,Венесуэла
VI,"Виргинские о-ва (США)"
UM,"Внешние малые острова (США)"
QO,"Внешняя Океания"
TL,"Восточный Тимор"
VN,Вьетнам
GA,Габон
HT,Гаити
GY,Гайана
GM,Гамбия
GH,Гана
GP,Гваделупа
GT,Гватемала
GN,Гвинея
GW,Гвинея-Бисау
DE,Германия
GG,Гернси
GI,Гибралтар
HN,Гондурас
HK,"Гонконг (особый район)"
GD,Гренада
GL,Гренландия
GR,Греция
GE,Грузия
GU,Гуам
DK,Дания
CD,"Демократическая Республика Конго"
JE,Джерси
DJ,Джибути
DG,Диего-Гарсия
DM,Доминика
DO,"Доминиканская Республика"
EU,"Европейский союз"
EG,Египет
ZM,Замбия
EH,"Западная Сахара"
ZW,Зимбабве
IL,Израиль
IN,Индия
ID,Индонезия
JO,Иордания
IQ,Ирак
IR,Иран
IE,Ирландия
IS,Исландия
ES,Испания
IT,Италия
YE,Йемен
KZ,Казахстан
KY,"Каймановы острова"
KH,Камбоджа
CM,Камерун
CA,Канада
IC,"Канарские о-ва"
QA,Катар
KE,Кения
CY,Кипр
KG,Киргизия
KI,Кирибати
CN,Китай
CC,"Кокосовые о-ва"
CO,Колумбия
KM,"Коморские о-ва"
CG,Конго
CR,Коста-Рика
CI,"Кот д’Ивуар"
CU,Куба
KW,Кувейт
LA,Лаос
LV,Латвия
LS,Лесото
LR,Либерия
LB,Ливан
LY,Ливия
LT,Литва
LI,Лихтенштейн
LU,Люксембург
MU,Маврикий
MR,Мавритания
MG,Мадагаскар
YT,Майотта
MO,"Макао (особый район)"
MK,Македония
MW,Малави
MY,Малайзия
ML,Мали
MV,"Мальдивские о-ва"
MT,Мальта
MA,Марокко
MQ,Мартиника
MH,"Маршалловы о-ва"
MX,Мексика
MZ,Мозамбик
MD,Молдова
MC,Монако
MN,Монголия
MS,Монтсеррат
MM,Мьянма
NA,Намибия
NR,Науру
NP,Непал
NE,Нигер
NG,Нигерия
AN,"Нидерландские Антильские о-ва"
NL,Нидерланды
NI,Никарагуа
NU,Ниуе
NZ,"Новая Зеландия"
NC,"Новая Каледония"
NO,Норвегия
AE,ОАЭ
OM,Оман
BV,"Остров Буве"
AC,"Остров Вознесения"
CP,"Остров Клиппертон"
IM,"Остров Мэн"
NF,"Остров Норфолк"
CX,"Остров Рождества"
BL,"Остров Святого Бартоломея"
MF,"Остров Святого Мартина"
SH,"Остров Святой Елены"
CV,"Острова Зеленого Мыса"
CK,"Острова Кука"
TC,"Острова Тёркс и Кайкос"
HM,"Острова Херд и Макдональд"
PK,Пакистан
PW,Палау
PS,"Палестинские территории"
PA,Панама
PG,"Папуа – Новая Гвинея"
PY,Парагвай
PE,Перу
PN,Питкэрн
PL,Польша
PT,Португалия
PR,Пуэрто-Рико
KR,"Республика Корея"
RE,Реюньон
RU,Россия
RW,Руанда
RO,Румыния
SV,Сальвадор
WS,Самоа
SM,Сан-Марино
ST,"Сан-Томе и Принсипи"
SA,"Саудовская Аравия"
SZ,Свазиленд
SJ,"Свальбард и Ян-Майен"
KP,"Северная Корея"
MP,"Северные Марианские о-ва"
SC,"Сейшельские о-ва"
PM,"Сен-Пьер и Микелон"
SN,Сенегал
VC,"Сент-Винсент и Гренадины"
KN,"Сент-Киттс и Невис"
LC,Сент-Люсия
RS,Сербия
CS,"Сербия и Черногория"
EA,"Сеута и Мелилья"
SG,Сингапур
SY,Сирия
SK,Словакия
SI,Словения
SB,"Соломоновы о-ва"
SO,Сомали
SD,Судан
SR,Суринам
US,США
SL,Сьерра-Леоне
TJ,Таджикистан
TH,Таиланд
TW,Тайвань
TZ,Танзания
TG,Того
TK,Токелау
TO,Тонга
TT,"Тринидад и Тобаго"
TA,Тристан-да-Кунья
TV,Тувалу
TN,Тунис
TM,Туркменистан
TR,Турция
UG,Уганда
UZ,Узбекистан
UA,Украина
WF,"Уоллис и Футуна"
UY,Уругвай
FO,"Фарерские о-ва"
FM,"Федеративные Штаты Микронезии"
FJ,Фиджи
PH,Филиппины
FI,Финляндия
FK,"Фолклендские о-ва"
FR,Франция
GF,"Французская Гвиана"
PF,"Французская Полинезия"
TF,"Французские Южные Территории"
HR,Хорватия
CF,ЦАР
TD,Чад
ME,Черногория
CZ,Чехия
CL,Чили
CH,Швейцария
SE,Швеция
LK,Шри-Ланка
EC,Эквадор
GQ,"Экваториальная Гвинея"
ER,Эритрея
EE,Эстония
ET,Эфиопия
ZA,ЮАР
GS,"Южная Джорджия и Южные Сандвичевы Острова"
JM,Ямайка
JP,Япония
