iso,name
AX,"Åland Islands"
AQ,Antarctica
AC,"Ascension Island"
BV,"Bouvet Island"
IC,"Canary Islands"
EA,"Ceuta and Melilla"
CX,"Christmas Island"
CP,"Clipperton Island"
CC,"Cocos [Keeling] Islands"
DG,"Diego Garcia"
EU,"European Union"
FO,"Faroe Islands"
TF,"French Southern Territories"
GG,Guernsey
HM,"Heard Island and McDonald Islands"
HK,"Hong Kong SAR China"
IM,"Isle of Man"
JE,Jersey
MO,"Macau SAR China"
ME,Montenegro
QO,"Outlying Oceania"
BL,"Saint Barthélemy"
MF,"Saint Martin"
RS,Serbia
GS,"South Georgia and the South Sandwich Islands"
SJ,"Svalbard and Jan Mayen"
TA,"Tristan da Cunha"
UM,"U.S. Minor Outlying Islands"
EH,"Western Sahara"
PS,"ⴰⴳⵎⵎⴰⴹ ⵏ ⵜⴰⴳⵓⵜ ⴷ ⵖⵣⵣⴰ"
AZ,ⴰⴷⵔⴰⴱⵉⵊⴰⵏ
GI,"ⴰⴷⵔⴰⵔ ⵏ ⵟⴰⵕⵉⵇ"
ZA,"ⴰⴼⵔⵉⵇⵢⴰ ⵏ ⵉⴼⴼⵓⵙ"
AF,ⴰⴼⵖⴰⵏⵉⵙⵜⴰⵏ
AL,ⴰⵍⴱⴰⵏⵢⴰ
DE,ⴰⵍⵎⴰⵏⵢⴰ
AI,ⴰⵏⴳⵉⵍⴰ
AO,ⴰⵏⴳⵓⵍⴰ
ID,ⴰⵏⴷⵓⵏⵉⵙⵢⴰ
AD,ⴰⵏⴷⵓⵔⴰ
AG,"ⴰⵏⵜⵉⴳⴰ ⴷ ⴱⵔⴱⵓⴷⴰ"
AN,"ⴰⵏⵜⵉⵢ ⵏ ⵀⵓⵍⴰⵏⴷⴰ"
AR,ⴰⵔⵊⴰⵏⵜⵉⵏ
AM,ⴰⵔⵎⵉⵏⵢⴰ
AW,ⴰⵔⵓⴱⴰ
VA,"ⴰⵡⴰⵏⴽ ⵏ ⴼⴰⵜⵉⴽⴰⵏ"
PG,"ⴱⴰⴱⵡⴰ ⵖⵉⵏⵢⴰ ⵜⴰⵎⴰⵢⵏⵓⵜ"
PK,ⴱⴰⴽⵉⵙⵜⴰⵏ
BS,ⴱⴰⵀⴰⵎⴰⵙ
PW,ⴱⴰⵍⴰⵡ
PA,ⴱⴰⵏⴰⵎⴰ
BD,ⴱⴰⵏⴳⵍⴰⴷⵉⵛ
PY,ⴱⴰⵔⴰⴳⵡⴰⵢ
BB,ⴱⴰⵔⴱⴰⴷ
BT,ⴱⵀⵓⵜⴰⵏ
BH,ⴱⵃⵔⴰⵢⵏ
BY,ⴱⵉⵍⴰⵔⵓⵙⵢⴰ
BZ,ⴱⵉⵍⵉⵣ
BJ,ⴱⵉⵏⵉⵏ
PE,ⴱⵉⵔⵓ
PN,ⴱⵉⵜⴽⴰⵢⵔⵏ
BE,ⴱⵍⵊⵉⴽⴰ
BG,ⴱⵍⵖⴰⵔⵢⴰ
BO,ⴱⵓⵍⵉⴼⵢⴰ
