iso,name
AO,అంగోలా
AQ,అంటార్కటికా
AZ,అజర్బైజాన్
AD,అన్డోరా
AS,"అమెరికన్ సమోవా"
AW,అరుబా
DZ,అల్జీరియా
AL,అల్బేనియా
AI,ఆంగవిల్లా
AG,"ఆంటిగ్వా మరియు బార్బుడా"
AF,ఆఫ్ఘానిస్తాన్
AR,ఆర్జెంటినా
AM,ఆర్మేనియా
AX,"ఆలేండ్ దీవులు"
AT,ఆస్ట్రియా
AU,ఆస్ట్రేలియా
ID,ఇండోనేషియా
IT,ఇటలి
ET,ఇథియోపియా
IQ,ఇరాక్
IR,ఇరాన్
IL,ఇస్రాయేల్
EC,ఈక్వడోర్
EG,ఈజిప్ట్
UZ,ఉజ్బెకిస్తాన్
KP,"ఉత్తర కొరియా"
MP,"ఉత్తర మరియానా దీవులు"
UY,ఉరుగువే
GQ,"ఎక్వేటోరియాల్ గినియా"
ER,ఎరిట్రియా
SV,"ఎల్ సాల్వడోర్"
AC,"ఎసెషన్ దీవి"
EE,ఎస్టోనియా
IE,"ఐర్ లాండ్"
IM,"ఐల్ ఆఫ్ మాన్"
CI,"ఐవరీ కోస్ట్"
IS,ఐస్లాండ్
OM,ఒమాన్
QO,"ఒషేనియా బయటున్నవి"
KH,కంబోడియా
KZ,కజాఖస్తాన్
QA,కతర్
CD,"కాంగో- కిన్షాసా"
CG,"కాంగో- బ్రాజావిల్లి"
KI,కిరిబాటి
KG,కిర్జిస్తాన్
CK,"కుక్ దీవులు"
KW,కువైట్
CA,కెనడా
KE,కెన్యా
CM,కెమరూన్
IC,"కేనరీ దీవులు"
CV,"కేప్ వెర్డే"
KY,"కేమాన్ దీవులు"
KM,కొమొరోస్
CO,కొలంబియా
CC,"కోకోస్ దీవులు"
CR,కోస్టారికా
CU,క్యూబా
CX,"క్రిస్మస్ దీవి"
NC,"క్రొత్త కాలెడోనియా"
HR,క్రోయేషియా
CP,"క్లిప్పర్టన్ దీవి"
GY,గయానా
GM,గాంబియా
GN,గినియా
GW,గినియా-బిస్సావ్
GA,గేబన్
GL,గ్రీన్లేండ్
GR,గ్రీస్
GD,గ్రెనెడా
GT,గ్వాటిమాల
GP,గ్వాడేలోప్
GU,గ్వామ్
GG,గ్వేర్నసే
GH,ఘానా
DE,ఙర్మని
TD,చాద్
CL,చిలి
CZ,"చెక్ గణరాజ్యం"
CN,చైనా
HK,"చైనా యొక్క హాంగ్కాంగ్"
JP,జపాన్
JM,జమైకా
JE,జర్సి
ZM,జాంబియా
GE,జార్జియా
JO,జార్డాన్
ZW,జింబాబ్వే
DJ,జిబౌటి
GI,జిబ్రాల్టార్
TR,టర్కీ
TZ,టాంజానియా
TJ,టాజీకిస్తాన్
TL,టిమోర్-లెస్టె
TV,టువాలు
TW,టైవాన్
TO,టోంగా
TK,టోకేలావ్
TG,టోగో
TN,ట్యునీషియా
TT,"ట్రినిడేడ్ మరియు టొబాగో"
TA,"ట్రిస్టన్ డ కన్హా"
DG,"డియాగో గార్సియా"
DK,డెన్మార్క్
DO,"డొమినికన్ గణ రాజ్యం"
DM,డోమెనిక
TM,తుర్కమెస్తాన్
TC,"తుర్క్ మరియు కాలికోస్ దీవులు"
TH,"థాయ్ లాండ్"
ZA,"దక్షిణ ఆఫ్రికా రాజ్యం"
KR,"దక్షిణ కొరియా"
