世界 (001)
アフリカ (002)
北米 (003)
南アメリカ (005)
オセアニア (009)
西アフリカ (011)
中央アメリカ (013)
東アフリカ (014)
北アフリカ (015)
中部アフリカ (017)
南部アフリカ (018)
アメリカ大陸 (019)
北アメリカ (021)
カリブ海 (029)
東アジア (030)
南アジア (034)
東南アジア (035)
南ヨーロッパ (039)
オーストラリア・ニュージーランド (053)
メラネシア (054)
ミクロネシア地域 (057)
ポリネシア (061)
南中央アジア (062)
アセンション島 (AC)
アンドラ (AD)
アラブ首長国連邦 (AE)
アフガニスタン (AF)
アンティグア・バーブーダ (AG)
アンギラ (AI)
アルバニア (AL)
アルメニア (AM)
オランダ領アンティル諸島 (AN)
アンゴラ (AO)
南極大陸 (AQ)
アルゼンチン (AR)
米領サモア (AS)
オーストリア (AT)
オーストラリア (AU)
アルバ島 (AW)
オーランド諸島 (AX)
アゼルバイジャン (AZ)
ボスニア・ヘルツェゴビナ (BA)
バルバドス (BB)
バングラデシュ (BD)
ベルギー (BE)
ブルキナファソ (BF)
ブルガリア (BG)
バーレーン (BH)
ブルンジ (BI)
ベナン (BJ)
サン・バルテルミー (BL)
バミューダ (BM)
ブルネイ (BN)
ボリビア (BO)
ブラジル (BR)
バハマ (BS)
ブータン (BT)
ブーベ島 (BV)
ボツワナ (BW)
ベラルーシ (BY)
ベリーズ (BZ)
カナダ (CA)
ココス (キーリング) 諸島 (CC)
コンゴ民主共和国 (キンシャサ) (CD)
中央アフリカ共和国 (CF)
コンゴ共和国 (ブラザビル) (CG)
スイス (CH)
コートジボワール (CI)
クック諸島 (CK)
チリ (CL)
カメルーン (CM)
中国 (CN)
コロンビア (CO)
クリッパートン島 (CP)
コスタリカ (CR)
セルビア・モンテネグロ (CS)
キューバ (CU)
カーボベルデ (CV)
クリスマス島 (CX)
キプロス (CY)
チェコ共和国 (CZ)
ドイツ (DE)
ディエゴガルシア島 (DG)
ジブチ (DJ)
デンマーク (DK)
ドミニカ国 (DM)
ドミニカ共和国 (DO)
アルジェリア (DZ)
セウタ・メリリャ (EA)
エクアドル (EC)
エストニア (EE)
エジプト (EG)
西サハラ (EH)
エリトリア (ER)
スペイン (ES)
エチオピア (ET)
欧州連合 (EU)
フィンランド (FI)
フィジー (FJ)
フォークランド諸島 (FK)
ミクロネシア (FM)
フェロー諸島 (FO)
フランス (FR)
ガボン (GA)
イギリス (GB)
グレナダ (GD)
グルジア (GE)
仏領ギアナ (GF)
ガーンジー (GG)
ガーナ (GH)
ジブラルタル (GI)
グリーンランド (GL)
ガンビア (GM)
ギニア (GN)
グアドループ (GP)
赤道ギニア (GQ)
ギリシャ (GR)
南ジョージア島・南サンドイッチ諸島 (GS)
グアテマラ (GT)
グアム (GU)
ギニアビサウ (GW)
ガイアナ (GY)
中華人民共和国香港特別行政区 (HK)
ハード島・マクドナルド諸島 (HM)
ホンジュラス (HN)
クロアチア (HR)
ハイチ (HT)
ハンガリー (HU)
カナリア諸島 (IC)
インドネシア (ID)
アイルランド (IE)
イスラエル (IL)
マン島 (IM)
インド (IN)
英領インド洋地域 (IO)
イラク (IQ)
イラン (IR)
アイスランド (IS)
イタリア (IT)
ジャージー (JE)
ジャマイカ (JM)
ヨルダン (JO)
日本 (JP)
ケニア (KE)
キルギスタン (KG)
カンボジア (KH)
キリバス (KI)
コモロ (KM)
セントクリストファー・ネイビス (KN)
朝鮮民主主義人民共和国 (KP)
大韓民国 (KR)
クウェート (KW)
ケイマン諸島 (KY)
カザフスタン (KZ)
ラオス (LA)
レバノン (LB)
セントルシア (LC)
リヒテンシュタイン (LI)
スリランカ (LK)
リベリア (LR)
レソト (LS)
リトアニア (LT)
ルクセンブルグ (LU)
ラトビア (LV)
リビア (LY)
モロッコ (MA)
モナコ (MC)
モルドバ (MD)
モンテネグロ (ME)
セント・マーチン (MF)
マダガスカル (MG)
マーシャル諸島共和国 (MH)
マケドニア (MK)
マリ (ML)
ミャンマー (MM)
モンゴル (MN)
中華人民共和国マカオ特別行政区 (MO)
北マリアナ諸島 (MP)
マルティニーク島 (MQ)
モーリタニア (MR)
モントセラト島 (MS)
マルタ (MT)
モーリシャス (MU)
モルジブ (MV)
マラウィ (MW)
メキシコ (MX)
マレーシア (MY)
モザンビーク (MZ)
ナミビア (NA)
ニューカレドニア (NC)
ニジェール (NE)
ノーフォーク島 (NF)
ナイジェリア (NG)
ニカラグア (NI)
オランダ (NL)
ノルウェー (NO)
ネパール (NP)
ナウル (NR)
ニウエ島 (NU)
ニュージーランド (NZ)
オマーン (OM)
パナマ (PA)
ペルー (PE)
仏領ポリネシア (PF)
パプアニューギニア (PG)
フィリピン (PH)
パキスタン (PK)
ポーランド (PL)
サンピエール島・ミクロン島 (PM)
ピトケアン島 (PN)
プエルトリコ (PR)
パレスチナ (PS)
ポルトガル (PT)
パラオ (PW)
パラグアイ (PY)
カタール (QA)
その他のオセアニア (QO)
レユニオン島 (RE)
ルーマニア (RO)
セルビア (RS)
ロシア (RU)
ルワンダ (RW)
サウジアラビア (SA)
ソロモン諸島 (SB)
セーシェル (SC)
スーダン (SD)
スウェーデン (SE)
シンガポール (SG)
セントヘレナ (SH)
スロベニア (SI)
スバールバル諸島・ヤンマイエン島 (SJ)
スロバキア (SK)
シエラレオネ (SL)
サンマリノ (SM)
セネガル (SN)
ソマリア (SO)
スリナム (SR)
サントメ・プリンシペ (ST)
エルサルバドル (SV)
シリア (SY)
スワジランド (SZ)
トリスタン・ダ・クーニャ (TA)
タークス諸島・カイコス諸島 (TC)
チャド (TD)
フランス領極南諸島 (TF)
トーゴ (TG)
タイ (TH)
タジキスタン (TJ)
トケラウ諸島 (TK)
東ティモール (TL)
トルクメニスタン (TM)
チュニジア (TN)
トンガ (TO)
トルコ (TR)
トリニダード・トバゴ (TT)
ツバル (TV)
台湾 (TW)
タンザニア (TZ)
ウクライナ (UA)
ウガンダ (UG)
米領太平洋諸島 (UM)
アメリカ合衆国 (US)
ウルグアイ (UY)
ウズベキスタン (UZ)
バチカン市国 (VA)
セントビンセント・グレナディーン諸島 (VC)
ベネズエラ (VE)
英領ヴァージン諸島 (VG)
アメリカ領ヴァージン諸島 (VI)
ベトナム (VN)
バヌアツ (VU)
ウォリス・フツナ (WF)
サモア (WS)
イエメン (YE)
マヨット島 (YT)
南アフリカ (ZA)
ザンビア (ZM)
ジンバブエ (ZW)
不明な地域 (ZZ)
アジア (142)
中央アジア (143)
西アジア (145)
ヨーロッパ (150)
東ヨーロッパ (151)
北ヨーロッパ (154)
西ヨーロッパ (155)
独立国家共同体 (172)
ラテンアメリカ・カリブ地域 (419)
チャネル諸島 (830)
