افغانستان (AF)
البانیه (AL)
انګولا (AO)
انتارکتیکا (AQ)
اتریش (AT)
بنګله‌دیش (BD)
بلغاریه (BG)
کاناډا (CA)
سویس (CH)
چین (CN)
کولمبیا (CO)
کیوبا (CU)
المان (DE)
ډنمارک (DK)
الجزایر (DZ)
مصر (EG)
هسپانیه (ES)
حبشه (ET)
فنلینډ (FI)
فرانسه (FR)
برتانیه (GB)
ګانا (GH)
ګیانا (GN)
یونان (GR)
ګواتیمالا (GT)
هانډوراس (HN)
مجارستان (HU)
اندونیزیا (ID)
هند (IN)
عراق (IQ)
آیسلینډ (IS)
ایټالیه (IT)
جمیکا (JM)
جاپان (JP)
کمبودیا (KH)
کویټ (KW)
لاوس (LA)
لبنان (LB)
لایبریا (LR)
لیبیا (LY)
مراکش (MA)
مغولستان (MN)
مالیزیا (MY)
نایجیریا (NG)
نکاراګوا (NI)
هالېنډ (NL)
ناروې (NO)
نیپال (NP)
نیوزیلنډ (NZ)
پاکستان (PK)
پولنډ (PL)
فلسطین (PS)
پورتګال (PT)
روسیه (RU)
روندا (RW)
سعودی عربستان (SA)
سویډن (SE)
سالوېډور (SV)
سوریه (SY)
تاجکستان (TJ)
تنزانیا (TZ)
یوروګوای (UY)
یمن (YE)
