id,value
AT,অষ্ট্ৰিয়া
AU,অষ্ট্ৰেলিয়া
IS,আইচলেণ্ড
IM,"আইল অফ মেন"
AZ,আজাৰবেইজান
AD,আন্দোৰা
AF,আফগানিস্তান
AS,"আমেৰিকান চামোৱা"
IE,আয়াৰলেণ্ড
AW,আৰুবা
AR,আৰ্জেণ্টিনা
AM,আৰ্মেনিয়া
DZ,আলজেৰিয়া
AX,"আলণ্ড দ্বীপপুঞ্জ"
AL,আলবেনিয়া
UM,"ইউ. এছ. আউটলায়িং দ্বীপপুঞ্জ"
VI,"ইউ. এছ. ভাৰ্জিন দ্বীপপুঞ্জ"
UA,ইউক্ৰেইন
GQ,"ইকুৱেটৰিয়েল গিনি"
EC,ইকুৱেডৰ
SZ,ইচ্চুটিনি
IL,ইজৰাইল
EG,ইজিপ্ত
IT,ইটালি
ID,ইণ্ডোনেচিয়া
ET,ইথিঅ’পিয়া
IQ,ইৰাক
IR,ইৰান
EE,ইষ্টোনিয়া
UG,উগাণ্ডা
UZ,উজবেকিস্তান
KP,"উত্তৰ কোৰিয়া"
MP,"উত্তৰ মাৰিয়ানা দ্বীপপুঞ্জ"
MK,"উত্তৰ মেচিডোনীয়া"
UY,উৰুগুৱে
AO,এংগোলা
AQ,এণ্টাৰ্কটিকা
AG,"এণ্টিগুৱা আৰু বাৰ্বুডা"
AI,এনগুইলা
ER,এৰিত্ৰিয়া
SV,"এল ছেলভেড’ৰ"
OM,ওমান
CD,"কঙ্গো - কিনচাছা"
CG,"কঙ্গো - ব্রাজাভিল"
KH,কম্বোডিয়া
CO,কলম্বিয়া
KZ,কাজাখাস্তান
QA,কাটাৰ
CA,কানাডা
CU,কিউবা
KI,কিৰিবাটি
KG,কিৰ্গিজস্তান
CK,"কুক দ্বীপপুঞ্জ"
CW,কুৰাকাও
KW,কুৱেইট
KY,"কেইমেন দ্বীপপুঞ্জ"
KE,কেনিয়া
CV,"কেপ ভার্দে"
CM,কেমেৰুণ
BQ,"কেৰিবিয়ান নেদাৰলেণ্ডছ"
CC,"কোকোচ (কীলিং) দ্বীপপুঞ্জ"
CI,"কোটে ডি আইভৰ"
