id,value
AE,"Аб’яднаныя Арабскія Эміраты"
AZ,Азербайджан
AX,"Аландскія астравы"
AL,Албанія
DZ,Алжыр
OM,Аман
AS,"Амерыканскае Самоа"
VI,"Амерыканскія Віргінскія астравы"
AI,Ангілья
AO,Ангола
AD,Андора
AQ,Антарктыка
AG,"Антыгуа і Барбуда"
AR,Аргенціна
AM,Арменія
AW,Аруба
CK,"Астравы Кука"
PN,"Астравы Піткэрн"
AU,Аўстралія
AT,Аўстрыя
AF,Афганістан
BS,Багамы
BG,Балгарыя
BO,Балівія
BD,Бангладэш
BB,Барбадас
BW,Батсвана
BH,Бахрэйн
BY,Беларусь
BZ,Беліз
BE,Бельгія
BJ,Бенін
BM,"Бермудскія астравы"
BA,"Боснія і Герцагавіна"
BR,Бразілія
BN,Бруней
IO,"Брытанская тэрыторыя ў Індыйскім акіяне"
VG,"Брытанскія Віргінскія астравы"
BF,Буркіна-Фасо
BI,Бурундзі
BT,Бутан
VN,В’етнам
VU,Вануату
VA,Ватыкан
HU,Венгрыя
VE,Венесуэла
GG,"Востраў Гернсі"
JE,"Востраў Джэрсі"
CW,"Востраў Кюрасаа"
YT,"Востраў Маёта"
IM,"Востраў Мэн"
NF,"Востраў Норфалк"
CX,"Востраў Ражства"
GB,Вялікабрытанія
GA,Габон
HT,Гаіці
GM,Гамбія
GH,Гана
HN,Гандурас
GY,Гаяна
GP,Гвадэлупа
GT,Гватэмала
GN,Гвінея
GW,Гвінея-Бісау
DE,Германія
GI,Гібралтар
HK,"Гон-Конг, Кітай (САР)"
GE,Грузія
GD,Грэнада
GL,Грэнландыя
GR,Грэцыя
GU,Гуам
DM,Дамініка
DO,"Дамініканская Рэспубліка"
DK,Данія
DJ,Джыбуці
EG,Егіпет
YE,Емен
ZM,Замбія
EH,"Заходняя Сахара"
ZW,Зімбабвэ
US,"Злучаныя Штаты Амерыкі"
JO,Іарданія
IL,Ізраіль
ID,Інданезія
IN,Індыя
IQ,Ірак
IR,Іран
IE,Ірландыя
IS,Ісландыя
ES,Іспанія
IT,Італія
CV,Каба-Вердэ
KZ,Казахстан
KY,"Кайманавы астравы"
CC,"Какосавыя астравы"
CO,Калумбія
KH,Камбоджа
CM,Камерун
