id,value
AZ,Азербејџан
AL,Албанија
DZ,Алжир
VI,"Америчка Дјевичанска острва"
AS,"Америчка Самоа"
AI,Ангвила
AO,Ангола
AD,Андора
AQ,Антарктик
AG,"Антигва и Барбуда"
AR,Аргентина
AW,Аруба
AU,Аустралија
AT,Аустрија
AF,Афганистан
BD,Бангладеш
BB,Барбадос
BS,Бахами
BH,Бахреин
BE,Белгија
BZ,Белиз
BJ,Бенин
BM,Бермуди
BY,Бјелорусија
CX,"Божићно острво"
BO,Боливија
BA,"Босна и Херцеговина"
BW,Боцвана
BR,Бразил
VG,"Британска Дјевичанска острва"
IO,"Британска територија у Индијском океану"
BN,Брунеј
BG,Бугарска
BF,"Буркина Фасо"
BI,Бурунди
BT,Бутан
WF,"Валис и Футуна"
VU,Вануату
VA,Ватикан
VE,Венецуела
VN,Вијетнам
GA,Габон
GM,Гамбија
GH,Гана
GP,Гваделупе
GY,Гвајана
GT,Гватемала
GN,Гвинеја
GW,Гвинеја-Бисау
GG,Гернзи
GI,Гибралтар
GD,Гренада
GL,Гренланд
GE,Грузија
GR,Грчка
GU,Гуам
DK,Данска
CD,"Демократска Република Конго"
DG,"Дијего Гарсија"
DM,Доминика
DO,"Доминиканска Република"
EG,Египат
EC,Еквадор
GQ,"Екваторска Гвинеја"
ER,Еритреја
AM,Ерменија
EE,Естонија
ET,Етиопија
ZM,Замбија
EH,"Западна Сахара"
CV,"Зеленортска Острва"
ZW,Зимбабве
IL,Израел
IN,Индија
ID,Индонезија
IQ,Ирак
IR,Иран
IE,Ирска
IS,Исланд
TL,"Источни Тимор"
IT,Италија
JM,Јамајка
JP,Јапан
YE,Јемен
JO,Јордан
KR,"Јужна Кореја"
GS,"Јужна Џорџија и Јужна Сендвич Острва"
SS,"Јужни Судан"
ZA,"Јужноафричка Република"
KZ,Казахстан
KY,"Кајманска острва"
KH,Камбоџа
CM,Камерун
CA,Канада
IC,"Канарска острва"
BQ,"Карипска Холандија"
QA,Катар
KE,Кенија
CN,Кина
CY,Кипар
KG,Киргизстан
KI,Кирибати
CC,"Кокос (Келинг) Острва"
CO,Колумбија
KM,Комори
CG,Конго
XK,Косово
CR,Костарика
CU,Куба
KW,Кувајт
CK,"Кукова Острва"
CW,Курасао
LA,Лаос
LV,Латвија
LS,Лесото
LB,Либан
LR,Либерија
LY,Либија
LT,Литванија
LI,Лихтенштајн
LU,Луксембург
MG,Мадагаскар
HU,Мађарска
YT,Мајоте
MO,"Макао (САР Кина)"
MK,Македонија
MW,Малави
MV,Малдиви
MY,Малезија
ML,Мали
MT,Малта
UM,"Мања удаљена острва САД"
MA,Мароко
MQ,Мартиник
MH,"Маршалска Острва"
MR,Мауританија
MU,Маурицијус
MX,Мексико
FM,Микронезија
MM,Мјанмар
MZ,Мозамбик
MD,Молдавија
MC,Монако
MN,Монголија
MS,Монсерат
NA,Намибија
NR,Науру
NP,Непал
NE,Нигер
NG,Нигерија
NI,Никарагва
NU,Ниуе
NC,"Нова Каледонија"
NZ,"Нови Зеланд"
NO,Норвешка
DE,Њемачка
CI,"Обала Слоноваче"
AX,"Оландска острва"
OM,Оман
AC,"Острво Асенсион"
IM,"Острво Мен"
NF,"Острво Норфолк"
PK,Пакистан
PW,Палау
PS,"Палестинске територије"
PA,Панама
PG,"Папуа Нова Гвинеја"
PY,Парагвај
PE,Перу
PN,Питкерн
PL,Пољска
PR,Порторико
PT,Португал
RE,Реинион
RW,Руанда
RO,Румунија
RU,Русија
SV,Салвадор
WS,Самоа
SM,"Сан Марино"
SA,"Саудијска Арабија"
SZ,Свази
SJ,"Свалбард и Јан Мајен"
LC,"Света Луција"
SH,"Света Хелена"
BL,"Свети Бартоломеј"
VC,"Свети Винсент и Гренадини"
KN,"Свети Кристофор и Невис"
MF,"Свети Мартин"
ST,"Свети Тома и Принцип"
SC,Сејшели
PM,"Сен Пјер и Микелон"
SN,Сенегал
EA,"Сеута и Мелиља"
SL,"Сијера Леоне"
SG,Сингапур
SY,Сирија
KP,"Сјеверна Кореја"
MP,"Сјеверна Маријанска острва"
US,"Сједињене Америчке Државе"
SK,Словачка
SI,Словенија
SB,"Соломонска Острва"
SO,Сомалија
RS,Србија
CF,"Средњоафричка Република"
SD,Судан
SR,Суринам
TW,Тајван
TH,Тајланд
TZ,Танзанија
TJ,Таџикистан
TG,Того
TK,Токелау
TO,Тонга
TT,"Тринидад и Тобаго"
TA,"Тристан да Куња"
TV,Тувалу
TN,Тунис
TM,Туркменистан
TC,"Туркс и Кајкос Острва"
TR,Турска
UG,Уганда
UZ,Узбекистан
AE,"Уједињени Арапски Емирати"
GB,"Уједињено Краљевство"
UA,Украјина
UY,Уругвај
FO,"Фарска острва"
PH,Филипини
FI,Финска
FJ,Фиџи
FK,"Фокландска острва"
FR,Француска
GF,"Француска Гвајана"
PF,"Француска Полинезија"
TF,"Француске Јужне Територије"
HT,Хаити
NL,Холандија
HK,"Хонг Конг (САР Кина)"
HN,Хондурас
HR,Хрватска
ME,"Црна Гора"
TD,Чад
CZ,Чешка
CL,Чиле
JE,Џерзи
DJ,Џибути
SE,Шведска
CH,Швицарска
ES,Шпанија
LK,"Шри Ланка"
XA,Pseudo-Accents
XB,Pseudo-Bidi
SX,"Sint Marten"
