id,value
MK,"North Macedonia"
QA,ཀ་ཊར
KZ,ཀ་ཛགས་སཏཱན
KH,ཀམ་བྷོ་ཌི་ཡ
CW,ཀྱཱུར་ར་ཀོ
HR,ཀྲོ་ཨེ་ཤ
KI,ཀི་རི་བ་ཏི་མཚོ་གླིང
CU,ཀིའུ་བྷ
KG,ཀིར་གིས་སཏཱན
KW,ཀུ་ཝེཊ
CK,ཀུག་གླིང་ཚོམ
CA,ཀེ་ན་ཌ
CM,ཀེ་མ་རུན
BQ,ཀེ་རི་བི་ཡེན་ནེ་དར་ལནཌས྄
KE,ཀེན་ཡ
CV,ཀེཔ་བཱཌ
CC,ཀོ་ཀོས་གླིང་ཚོམ
CI,"ཀོ་ཊེ་ ཌི་ཨི་ཝོ་རེ"
KM,ཀོ་མོ་རོས
CO,ཀོ་ལོམ་བྷི་ཡ
CD,"ཀོང་གྷོ ཀིན་ཤ་ས"
CG,"ཀོང་གྷོ བྷྲ་ཛ་བིལ"
CR,ཀོས་ཊ་རི་ཀ
CX,ཁི་རིསྟ་མེས་མཚོ་གླིང
KY,ཁེ་མེན་གླིང་ཚོམ
GH,གྷ་ན
GA,གྷ་བྷོན
GY,གྷ་ཡ་ན
GN,གྷི་ནི
GW,"གྷི་ནི་ བྷི་སཱའུ"
GM,གྷེམ་བི་ཡ
GT,གྷོ་ཊ་མ་ལ
GR,གིརིས྄
GL,གིརཱིན་ལནཌ྄
GU,"གུ་འམ་ མཚོ་གླིང"
GG,གུ་ཨེརྣ་སི
GF,"གུའི་ཡ་ན་ ཕྲནས྄་མངའ་ཁོངས"
GD,གྲྀ་ན་ཌ
GP,གོ་ཌེ་ལུ་པེ
TD,ཅཱཌ
CL,ཅི་ལི
CZ,"ཅེཀ་ རི་པབ་ལིཀ"
JP,ཇ་པཱན
JM,ཇཱ་མཻ་ཀ
DE,ཇཱར་མ་ནི
DJ,ཇི་བྷུ་ཊི
GI,ཇིབ་རཱལ་ཊར
JE,ཇེར་སི
JO,ཇོར་ཌན
GE,ཇཽར་ཇཱ
