id,value
SH,"Αγία Ελένη"
LC,"Αγία Λουκία"
BL,"Άγιος Βαρθολομαίος"
VC,"Άγιος Βικέντιος και Γρεναδίνες"
SM,"Άγιος Μαρίνος"
MF,"Άγιος Μαρτίνος (Γαλλικό τμήμα)"
SX,"Άγιος Μαρτίνος (Ολλανδικό τμήμα)"
KN,"Άγιος Χριστόφορος και Νέβις"
AZ,Αζερμπαϊτζάν
EG,Αίγυπτος
ET,Αιθιοπία
HT,Αϊτή
CI,"Ακτή Ελεφαντοστού"
AL,Αλβανία
DZ,Αλγερία
VI,"Αμερικανικές Παρθένοι Νήσοι"
AS,"Αμερικανική Σαμόα"
AO,Ανγκόλα
AI,Ανγκουίλα
AD,Ανδόρα
AQ,Ανταρκτική
AG,"Αντίγκουα και Μπαρμπούντα"
UM,"Απομακρυσμένες Νησίδες Η.Π.Α."
AR,Αργεντινή
AM,Αρμενία
AW,Αρούμπα
AU,Αυστραλία
AT,Αυστρία
AF,Αφγανιστάν
VU,Βανουάτου
VA,Βατικανό
BE,Βέλγιο
VE,Βενεζουέλα
BM,Βερμούδες
VN,Βιετνάμ
BO,Βολιβία
KP,"Βόρεια Κορέα"
BA,"Βοσνία - Ερζεγοβίνη"
BG,Βουλγαρία
BR,Βραζιλία
IO,"Βρετανικά Εδάφη Ινδικού Ωκεανού"
VG,"Βρετανικές Παρθένοι Νήσοι"
FR,Γαλλία
TF,"Γαλλικές περιοχές του νοτίου ημισφαιρίου"
GF,"Γαλλική Γουιάνα"
PF,"Γαλλική Πολυνησία"
DE,Γερμανία
GE,Γεωργία
GI,Γιβραλτάρ
GM,Γκάμπια
GA,Γκαμπόν
GH,Γκάνα
GG,Γκέρνζι
GU,Γκουάμ
GP,Γουαδελούπη
GT,Γουατεμάλα
GY,Γουιάνα
GN,Γουινέα
GW,"Γουινέα Μπισάου"
GD,Γρενάδα
GL,Γροιλανδία
DK,Δανία
DO,"Δομινικανή Δημοκρατία"
EH,"Δυτική Σαχάρα"
EC,Εκουαδόρ
SV,"Ελ Σαλβαδόρ"
CH,Ελβετία
GR,Ελλάδα
ER,Ερυθραία
EE,Εσθονία
ZM,Ζάμπια
ZW,Ζιμπάμπουε
AE,"Ηνωμένα Αραβικά Εμιράτα"
US,"Ηνωμένες Πολιτείες"
GB,"Ηνωμένο Βασίλειο"
EA,"Θεούτα και Μελίλα"
JP,Ιαπωνία
IN,Ινδία
ID,Ινδονησία
JO,Ιορδανία
IQ,Ιράκ
IR,Ιράν
IE,Ιρλανδία
GQ,"Ισημερινή Γουινέα"
IS,Ισλανδία
ES,Ισπανία
IL,Ισραήλ
IT,Ιταλία
KZ,Καζακστάν
CM,Καμερούν
KH,Καμπότζη
CA,Καναδάς
IC,"Κανάριοι Νήσοι"
QA,Κατάρ
CF,"Κεντροαφρικανική Δημοκρατία"
KE,Κένυα
CN,Κίνα
KG,Κιργιστάν
KI,Κιριμπάτι
CO,Κολομβία
KM,Κομόρες
CD,"Κονγκό - Κινσάσα"
CG,"Κονγκό - Μπραζαβίλ"
XK,Κόσοβο
CR,"Κόστα Ρίκα"
CU,Κούβα
KW,Κουβέιτ
CW,Κουρασάο
HR,Κροατία
CY,Κύπρος
LA,Λάος
LS,Λεσότο
LV,Λετονία
BY,Λευκορωσία
LB,Λίβανος
LR,Λιβερία
LY,Λιβύη
LT,Λιθουανία
LI,Λιχτενστάιν
LU,Λουξεμβούργο
YT,Μαγιότ
MG,Μαδαγασκάρη
MO,"Μακάο ΕΔΠ Κίνας"
MY,Μαλαισία
MW,Μαλάουι
MV,Μαλδίβες
ML,Μάλι
MT,Μάλτα
MA,Μαρόκο
MQ,Μαρτινίκα
MU,Μαυρίκιος
MR,Μαυριτανία
ME,Μαυροβούνιο
MX,Μεξικό
MM,Μιανμάρ/Βιρμανία
FM,Μικρονησία
MN,Μογγολία
MZ,Μοζαμβίκη
MD,Μολδαβία
MC,Μονακό
MS,Μονσεράτ
BD,Μπανγκλαντές
BB,Μπαρμπάντος
BS,Μπαχάμες
BH,Μπαχρέιν
BZ,Μπελίζ
BJ,Μπενίν
BW,Μποτσουάνα
BF,"Μπουρκίνα Φάσο"
BI,Μπουρούντι
BT,Μπουτάν
BN,Μπρουνέι
NA,Ναμίμπια
NR,Ναουρού
NZ,"Νέα Ζηλανδία"
NC,"Νέα Καληδονία"
NP,Νεπάλ
MP,"Νήσοι Βόρειες Μαριάνες"
KY,"Νήσοι Κάιμαν"
CC,"Νήσοι Κόκος (Κίλινγκ)"
CK,"Νήσοι Κουκ"
MH,"Νήσοι Μάρσαλ"
GS,"Νήσοι Νότια Γεωργία και Νότιες Σάντουιτς"
AX,"Νήσοι Όλαντ"
PN,"Νήσοι Πίτκερν"
SB,"Νήσοι Σολομώντος"
TC,"Νήσοι Τερκ και Κάικος"
FO,"Νήσοι Φερόες"
FK,"Νήσοι Φόκλαντ"
AC,"Νήσος Ασενσιόν"
IM,"Νήσος Μαν"
NF,"Νήσος Νόρφολκ"
CX,"Νήσος των Χριστουγέννων"
NE,Νίγηρας
