id,value
AR,آرژانتین
AW,آروبا
AL,آلبانی
DE,آلمان
AG,"آنتیگوا و باربودا"
AD,آندورا
AO,آنگولا
AI,آنگویلا
AT,اتریش
ET,اتیوپی
JO,اردن
AM,ارمنستان
UY,اروگوئه
ER,اریتره
UZ,ازبکستان
ES,اسپانیا
AU,استرالیا
EE,استونی
IL,اسرائیل
SK,اسلواکی
SI,اسلوونی
SJ,"اسوالبارد و جان‌ماین"
ZA,"افریقای جنوبی"
AF,افغانستان
EC,اکوادور
DZ,الجزایر
SV,السالوادور
AE,"امارات متحدهٔ عربی"
ID,اندونزی
UA,اوکراین
UG,اوگاندا
US,"ایالات متحدهٔ امریکا"
IT,ایتالیا
IR,ایران
IE,ایرلند
IS,ایسلند
BB,باربادوس
BS,باهاما
BH,بحرین
BR,برزیل
BM,برمودا
BN,برونئی
GB,بریتانیا
BY,بلاروس
BE,بلژیک
BG,بلغارستان
BZ,بلیز
BD,بنگلادش
BJ,بنین
BT,بوتان
BW,بوتسوانا
BF,بورکینافاسو
BI,بوروندی
BA,"بوسنی و هرزگوین"
BO,بولیوی
PG,"پاپوا گینهٔ نو"
PY,پاراگوئه
PK,پاکستان
PW,پالائو
PA,پاناما
PT,پرتغال
PE,پرو
PF,"پلی‌نزی فرانسه"
PR,پورتوریکو
TJ,تاجیکستان
TZ,تانزانیا
TH,تایلند
TW,تایوان
TM,ترکمنستان
TR,ترکیه
TA,"تریستان دا کونا"
TT,"ترینیداد و توباگو"
TK,توکلائو
TG,توگو
TN,تونس
TO,تونگا
TV,تووالو
TL,"تیمور شرقی"
JM,جامائیکا
GI,جبل‌الطارق
JE,جرزی
AC,"جزایر آسنسیون"
AX,"جزایر اُلند"
PN,"جزایر پیت‌کرن"
TC,"جزایر تورکس و کایکوس"
GS,"جزایر جورجیای جنوبی و ساندویچ جنوبی"
UM,"جزایر دورافتادهٔ ایالات متحده"
SB,"جزایر سلیمان"
FO,"جزایر فارو"
FK,"جزایر فالکلند"
IC,"جزایر قناری"
BQ,"جزایر کارائیب هلند"
CK,"جزایر کوک"
CC,"جزایر کوکوس (کیلینگ)"
KY,"جزایر کِیمن"
MH,"جزایر مارشال"
MP,"جزایر ماریانای شمالی"
VI,"جزایر ویرجین ایالات متحده"
VG,"جزایر ویرجین بریتانیا"
CX,"جزیرهٔ کریسمس"
IM,"جزیرهٔ من"
NF,"جزیره نورفک"
AZ,"جمهوری آذربایجان"
CF,"جمهوری افریقای مرکزی"
CZ,"جمهوری چک"
DO,"جمهوری دومینیکن"
AQ,جنوبگان
DJ,جیبوتی
TD,چاد
CN,چین
DK,دانمارک
DM,دومینیکا
DG,"دیه‌گو گارسیا"
RE,رئونیون
RW,رواندا
RU,روسیه
RO,رومانی
ZM,زامبیا
NZ,"زلاند نو"
ZW,زیمبابوه
JP,ژاپن
ST,"سائوتومه و پرینسیپ"
CI,"ساحل عاج"
WS,ساموآ
AS,"ساموآی آمریکا"
EA,"سبته و ملیله"
PS,"سرزمین‌های فلسطینی"
LK,سری‌لانکا
BL,"سن بارتلمی"
PM,"سن پیر و میکلن"
SM,"سن مارینو"
KN,"سنت کیتس و نویس"
LC,"سنت لوسیا"
SX,"سنت مارتن"
MF,"سنت مارتین"
VC,"سنت وینسنت و گرنادین‌ها"
SH,"سنت هلن"
SG,سنگاپور
SN,سنگال
SZ,سوازیلند
SE,سوئد
CH,سوئیس
SD,سودان
SS,"سودان جنوبی"
SR,سورینام
SY,سوریه
SO,سومالی
SL,سیرالئون
SC,سیشل
CL,شیلی
EH,"صحرای غربی"
RS,صربستان
IQ,عراق
SA,"عربستان سعودی"
OM,عمان
GH,غنا
FR,فرانسه
FI,فنلاند
FJ,فیجی
PH,فیلیپین
CY,قبرس
KG,قرقیزستان
KZ,قزاقستان
QA,قطر
IO,"قلمرو بریتانیا در اقیانوس هند"
TF,"قلمروهای جنوبی فرانسه"
CR,کاستاریکا
NC,"کالدونیای جدید"
KH,کامبوج
CM,کامرون
CA,کانادا
HR,کرواسی
KR,"کرهٔ جنوبی"
KP,"کرهٔ شمالی"
CO,کلمبیا
CG,"کنگو - برازویل"
CD,"کنگو - کینشاسا"
KE,کنیا
CU,کوبا
CW,کوراسائو
XK,کوزوو
KM,کومور
