id,value
AF,Afganistaan
ZA,"Afrik bŋ Worgo"
AZ,Ajerbayjaan
AX,"Åland Islands"
DZ,Alaseri
AL,Albanii
DE,Almaañ
AD,Anndoora
AI,Anngiyaa
AO,Anngolaa
AQ,Antarctica
AG,"Antiguwaa e Barbudaa"
SA,"Arabii Sawdit"
AR,Arjantiin
AM,Armenii
AW,Aruuba
BS,Bahamaas
BH,Bahreyn
BD,Banglaadees
BB,Barbadoos
BY,Belaruus
BZ,Beliise
BE,Beljik
BJ,Benee
BR,Beresiil
BM,Bermudaa
BO,Boliwii
BA,"Bosnii Hersegowiin"
BW,Botswaana
BV,"Bouvet Island"
BG,Bulgarii
BF,"Burkibaa Faaso"
BN,Burnaay
BI,Burunndi
BT,Butaan
TD,Caad
BQ,"Caribbean Netherlands"
CX,"Christmas Island"
CL,Cilii
CC,"Cocos (Keeling) Islands"
CW,Curaçao
DK,Danmark
DM,Dominika
VA,"Dowla Waticaan"
US,"Dowlaaji Dentuɗi Amerik"
FK,"Duuɗe Falkland"
CV,"Duuɗe Kap Weer"
KY,"Duuɗe Kaymaa"
VI,"Duuɗe Kecce Amerik"
VG,"duuɗe kecce britanii"
CK,"Duuɗe Kuuk"
MP,"Duuɗe Mariyaana Rewo"
MH,"Duuɗe Marsaal"
NF,"Duuɗe Norfolk"
SB,"Duuɗe Solomon"
TC,"Duuɗe Turke e Keikoos"
ET,Ecoppi
EG,Ejipt
EC,Ekuwatoor
SV,"El Salwador"
AE,"Emiraat Araab Denntuɗe"
IN,Enndo
ID,Enndonesii
ER,Eriteree
ES,Espaañ
EE,Estoni
FR,Farayse
FO,"Faroe Islands"
FI,Fenland
FJ,Fijji
PH,Filipiin
TF,"French Southern Territories"
GA,Gaboo
GM,Gammbi
GH,Ganaa
GD,Garnaad
GR,Gerees
GN,Gine
GW,Gine-Bisaawo
GQ,"Ginee Ekuwaatoriyaal"
GY,Giyaan
GF,"Giyaan Farayse"
GL,Gorwendland
GG,Guernsey
GU,Guwam
GP,Gwaadalup
GT,Gwaatemalaa
HT,Haytii
HM,"Heard & McDonald Islands"
HK,"Hong Kong SAR China"
IQ,Iraak
IR,Iraan
IE,Irlannda
IS,Islannda
IM,"Isle of Man"
IL,Israa’iila
IT,Itali
JM,Jamayka
GE,Jeorgii
JE,Jersey
GI,Jibraltaar
DJ,Jibutii
JO,Jordani
KH,Kambodso
CM,Kameruun
CA,Kanadaa
KZ,Kasakstaan
QA,Kataar
IO,"Keeriindi britaani to maayo enndo"
KE,Keñaa
KG,Kirgistaan
KI,Kiribari
CI,Kodduwaar
CO,Kolombiya
KM,Komoor
CG,Konngo
KP,"Koree Rewo"
KR,"Koree Worgo"
HR,Korwasii
CR,"Kosta Rikaa"
CU,Kubaa
KW,Kuweyti
GB,"Laamateeri Rentundi"
LA,Lawoos
LS,Lesoto
LV,Letonii
LB,Libaa
LR,Liberiyaa
LY,Libi
LU,Liksembuur
LI,Lincenstayn
LT,Lituaanii
ML,Maali
MO,"Macao SAR China"
MG,Madagaskaar
MW,Malaawi
MV,Maldiiwe
MY,Malesii
MT,Malte
MQ,Martinik
MA,Maruk
YT,Mayoot
MX,Meksik
FM,Mikoronesii
MM,Miyamaar
MD,Moldawii
MC,Monaakoo
MN,Monngolii
MS,Monseraat
ME,Montenegro
MU,Moriis
MZ,Mosammbik
MR,Muritani
NA,Namibii
NR,Nawuru
CZ,"Ndenndaandi Cek"
CD,"Ndenndaandi Demokaraasiire Konngo"
CF,"Ndenndaandi Santarafrik"
DO,"Ndenndanndi Dominika"
NL,Nederlannda
NP,Nepaal
NE,Nijeer
NG,Nijeriyaa
NI,Nikaraguwaa
NU,Niuwe
MK,"North Macedonia"
NO,Norwees
