id,value
ET,"An Aetóip"
AF,"An Afganastáin"
ZA,"An Afraic Theas"
DZ,"An Ailgéir"
AR,"An Airgintín"
AM,"An Airméin"
AL,"An Albáin"
AQ,"An Antartaice"
SA,"An Araib Shádach"
AZ,"An Asarbaiseáin"
AU,"An Astráil"
BD,"An Bhanglaidéis"
BY,"An Bhealarúis"
BE,"An Bheilg"
BZ,"An Bheilís"
BA,"An Bhoisnia agus An Heirseagaivéin"
BO,"An Bholaiv"
BW,"An Bhotsuáin"
BR,"An Bhrasaíl"
BG,"An Bhulgáir"
BI,"An Bhurúin"
BT,"An Bhútáin"
KH,"An Chambóid"
KZ,"An Chasacstáin"
KE,"An Chéinia"
CY,"An Chipir"
KG,"An Chirgeastáin"
KR,"An Chóiré Theas"
KP,"An Chóiré Thuaidh"
CO,"An Cholóim"
XK,"An Chosaiv"
HR,"An Chróit"
CG,"An Congó"
CI,"An Cósta Eabhair"
DK,"An Danmhairg"
EE,"An Eastóin"
EG,"An Éigipt"
CH,"An Eilvéis"
ER,"An Eiritré"
FI,"An Fhionlainn"
FR,"An Fhrainc"
GA,"An Ghabúin"
GM,"An Ghaimbia"
DE,"An Ghearmáin"
GL,"An Ghraonlainn"
GR,"An Ghréig"
GY,"An Ghuáin"
GN,"An Ghuine"
GQ,"An Ghuine Mheánchriosach"
IQ,"An Iaráic"
IR,"An Iaráin"
IN,"An India"
ID,"An Indinéis"
IT,"An Iodáil"
JO,"An Iordáin"
NO,"An Iorua"
IS,"An Íoslainn"
NL,"An Ísiltír"
BQ,"An Ísiltír Chairibeach"
LV,"An Laitvia"
LR,"An Libéir"
LY,"An Libia"
LB,"An Liobáin"
LT,"An Liotuáin"
MK,"An Mhacadóin"
MY,"An Mhalaeisia"
MW,"An Mhaláiv"
MR,"An Mháratáin"
FM,"An Mhicrinéis"
MD,"An Mholdóiv"
MN,"An Mhongóil"
NA,"An Namaib"
NG,"An Nigéir"
NE,"An Nígir"
NC,"An Nua-Chaladóin"
NZ,"An Nua-Shéalainn"
AT,"An Ostair"
PK,"An Phacastáin"
DO,"An Phoblacht Dhoiminiceach"
PL,"An Pholainn"
PT,"An Phortaingéil"
GB,"An Ríocht Aontaithe"
RO,"An Rómáin"
RU,"An Rúis"
EH,"An Sahára Thiar"
ES,"An Spáinn"
TJ,"An Táidsíceastáin"
TZ,"An Tansáin"
TH,"An Téalainn"
TW,"An Téaváin"
ZM,"An tSaimbia"
SV,"An tSalvadóir"
JP,"An tSeapáin"
SN,"An tSeineagáil"
RS,"An tSeirbia"
GE,"An tSeoirsia"
GS,"An tSeoirsia Theas agus Oileáin Sandwich Theas"
CL,"An tSile"
CN,"An tSín"
ZW,"An tSiombáib"
SY,"An tSiria"
SI,"An tSlóivéin"
SK,"An tSlóvaic"
SO,"An tSomáil"
SE,"An tSualainn"
SZ,"An tSuasalainn"
SD,"An tSúdáin"
SS,"An tSúdáin Theas"
TN,"An Túinéis"
TR,"An Tuirc"
TM,"An Tuircméanastáin"
UA,"An Úcráin"
UZ,"An Úisbéiceastáin"
HU,"An Ungáir"
VA,"An Vatacáin"
AD,Andóra
AI,Angaíle
AO,Angóla
AG,"Antigua agus Barbúda"
AE,"Aontas na nÉimíríochtaí Arabacha"
AW,Arúba
BH,Bairéin
BB,Barbadós
BJ,Beinin
BM,Beirmiúda
BN,Brúiné
BF,"Buircíne Fasó"
CM,Camarún
QA,Catar
CA,Ceanada
EA,"Ceuta agus Melilla"
KI,Cireabaití
CR,"Cósta Ríce"
IO,"Críoch Aigéan Indiach na Breataine"
TF,"Críocha Francacha Dheisceart an Domhain"
KW,Cuáit
CU,Cúba
CW,Curaçao
DG,"Diego Garcia"
DJ,Djibouti
DM,Doiminice
EC,Eacuadór
YE,Éimin
IE,Éire
FJ,Fidsí
GH,Gána
GG,Geansaí
JE,Geirsí
GI,Giobráltar
GD,Greanáda
GP,Guadalúip
GF,"Guáin na Fraince"
GU,Guam
GT,Guatamala
GW,"Guine Bissau"
HT,Háítí
HN,Hondúras
JM,Iamáice
IL,Iosrael
LA,Laos
LS,Leosóta
LI,Lichtinstéin
LU,Lucsamburg
MG,Madagascar
MM,"Maenmar (Burma)"
ML,Mailí
MT,Málta
MA,Maracó
MQ,Martinique
YT,Mayotte
MX,Meicsiceo
MC,Monacó
ME,Montainéagró
MS,Montsarat
MZ,Mósaimbíc
BS,"Na Bahámaí"
PS,"Na Críocha Palaistíneacha"
IC,"Na hOileáin Chanáracha"
PH,"Na hOileáin Fhilipíneacha"
MP,"Na hOileáin Mháirianacha Thuaidh"
SC,"Na Séiséil"
NR,Nárú
NP,Neipeal
NI,Nicearagua
NU,Niue
PG,"Nua-Ghuine Phapua"
AX,"Oileáin Åland"
VG,"Oileáin Bhriotanacha na Maighdean"
KY,"Oileáin Cayman"
KM,"Oileáin Chomóra"
CC,"Oileáin Cocos (Keeling)"
CK,"Oileáin Cook"
FK,"Oileáin Fháclainne"
FO,"Oileáin Fharó"
UM,"Oileáin Imeallacha S.A.M."
MH,"Oileáin Marshall"
MV,"Oileáin Mhaildíve"
VI,"Oileáin Mheiriceánacha na Maighdean"
TC,"Oileáin na dTurcach agus Caicos"
PN,"Oileáin Pitcairn"
SB,"Oileáin Sholomón"
IM,"Oileán Mhanann"
MU,"Oileán Mhuirís"
AC,"Oileán na Deascabhála"
CX,"Oileán na Nollag"
TT,"Oileán na Tríonóide agus Tobága"
NF,"Oileán Norfolk"
OM,Óman
PW,Palau
PA,Panama
PY,Paragua
PE,Peiriú
CD,"Poblacht Dhaonlathach an Chongó"
CF,"Poblacht na hAfraice Láir"
CZ,"Poblacht na Seice"
PF,"Polainéis na Fraince"
PR,"Portó Ríce"
RE,Réunion
CV,"Rinn Verde"
RW,Ruanda
HK,"S.R.R. na Síne Hong Cong"
MO,"S.R.R. na Síne Macao"
BL,"Saint Barthélemy"
LC,"Saint Lucia"
MF,Saint-Martin
PM,Saint-Pierre-et-Miquelon
WS,Samó
AS,"Samó Meiriceánach"
KN,"San Críostóir-Nimheas"
SH,"San Héilin"
SM,"San Mairíne"
VC,"San Uinseann agus na Greanáidíní"
ST,"São Tomé agus Príncipe"
TD,Sead
SL,"Siarra Leon"
SG,Singeapór
SX,"Sint Maarten"
LK,"Srí Lanca"
US,"Stáit Aontaithe Mheiriceá"
SR,Suranam
SJ,"Svalbard agus Jan Mayen"
TL,"Tíomór Thoir"
TK,Tócalá
TG,Tóga
TO,Tonga
TA,"Tristan da Cunha"
TV,Tuvalu
UG,Uganda
UY,Urugua
WF,"Vailís agus Futúna"
VU,Vanuatú
VE,Veiniséala
VN,Vítneam
