id,value
AO,અંગોલા
AZ,અઝરબૈજાન
AF,અફઘાનિસ્તાન
AS,"અમેરીકન સમોઆ"
AW,અરુબા
DZ,અલ્જીરિયા
AL,અલ્બેનિયા
IS,આઇસલેન્ડ
IM,"આઈલ ઓફ મૅન"
IE,આયર્લેંડ
AR,આર્જેન્ટીના
AM,આર્મેનિયા
GQ,"ઇક્વેટોરિયલ ગિની"
EG,ઇજિપ્ત
IL,ઇઝરાઇલ
IT,ઇટાલી
ET,ઇથિઓપિયા
ID,ઇન્ડોનેશિયા
IQ,ઇરાક
IR,ઈરાન
UZ,ઉઝ્બેકિસ્તાન
KP,"ઉત્તર કોરિયા"
MP,"ઉત્તરીય મારિયાના આઇલેન્ડ્સ"
UY,ઉરુગ્વે
AI,ઍંગ્વિલા
AD,ઍંડોરા
EC,એક્વાડોર
AQ,એન્ટાર્કટિકા
AG,"એન્ટીગુઆ અને બરબુડા"
ER,એરિટ્રિયા
SV,"એલ સેલ્વાડોર"
AX,"એલેંડ આઇલેન્ડ્સ"
AC,"એસેન્શન આઇલેન્ડ"
EE,એસ્ટોનિયા
AT,ઑસ્ટ્રિયા
AU,ઑસ્ટ્રેલિયા
OM,ઓમાન
KH,કંબોડિયા
KZ,કઝાકિસ્તાન
QA,કતાર
KI,કિરિબાટી
KG,કિર્ગિઝ્સ્તાન
CK,"કુક આઇલેન્ડ્સ"
CW,કુરાકાઓ
KW,કુવૈત
IC,"કૅનેરી આઇલેન્ડ્સ"
CV,"કૅપ વર્ડે"
CM,કૅમરૂન
CA,કેનેડા
KE,કેન્યા
KY,"કેયમેન આઇલેન્ડ્સ"
BQ,"કેરેબિયન નેધરલેન્ડ્ઝ"
CD,"કોંગો - કિંશાસા"
CG,"કોંગો - બ્રાઝાવિલે"
CC,"કોકોઝ (કીલીંગ) આઇલેન્ડ્સ"
CI,"કોટ ડી આઇવરી"
KM,કોમોરસ
CO,કોલમ્બિયા
XK,કોસોવો
CR,"કોસ્ટા રિકા"
CU,ક્યુબા
CX,"ક્રિસમસ આઇલેન્ડ"
HR,ક્રોએશિયા
GY,ગયાના
GN,ગિની
GW,ગિની-બિસાઉ
GA,ગેબન
GM,ગેમ્બિયા
GL,ગ્રીનલેન્ડ
GR,ગ્રીસ
GD,ગ્રેનેડા
GT,ગ્વાટેમાલા
GP,ગ્વાડેલોપ
GU,ગ્વામ
GG,ગ્વેર્નસે
GH,ઘાના
TD,ચાડ
CL,ચિલી
CN,ચીન
CZ,"ચેક રીપબ્લિક"
JM,જમૈકા
DE,જર્મની
JE,જર્સી
JP,જાપાન
DJ,જીબૌટી
GI,જીબ્રાલ્ટર
JO,જોર્ડન
GE,જ્યોર્જીયા
ZM,ઝામ્બિયા
ZW,ઝિમ્બાબ્વે
TC,"ટર્ક્સ એન્ડ કૈકોસ આઇલેન્ડ્સ"
TO,ટોંગા
TK,ટોકેલાઉ
TG,ટોગો
TN,ટ્યુનિશિયા
DG,"ડિએગો ગારસિઆ"
DK,ડેનમાર્ક
DO,"ડોમિનિકન રીપબ્લિક"
DM,ડોમિનિકા
TZ,તાંઝાનિયા
TW,તાઇવાન
TJ,તાજીકિસ્તાન
TL,તિમોર-લેસ્તે
TM,તુર્કમેનિસ્તાન
TR,તુર્કી
TV,તુવાલુ
TT,"ત્રિનિદાદ અને ટોબેગો"
TA,"ત્રિસ્તાન દા કુન્હા"
TH,થાઇલેંડ
ZA,"દક્ષિણ આફ્રિકા"
KR,"દક્ષિણ કોરિયા"
GS,"દક્ષિણ જ્યોર્જીયા અને દક્ષિણ સેન્ડવિચ આઇલેન્ડ્સ"
SS,"દક્ષિણ સુદાન"
NE,નાઇજર
NG,નાઇજીરીયા
NA,નામિબિયા
NI,નિકારાગુઆ
NU,નીયુ
NL,નેધરલેન્ડ
NP,નેપાળ
NO,નૉર્વે
NF,"નોરફૉક આઇલેન્ડ"
NR,નૌરુ
NC,"ન્યુ સેલેડોનિયા"
NZ,ન્યુઝીલેન્ડ
PA,પનામા
PW,પલાઉ
EH,"પશ્ચિમી સહારા"
PK,પાકિસ્તાન
PG,"પાપુઆ ન્યૂ ગિની"
PN,"પીટકૈર્ન આઇલેન્ડ્સ"
PY,પેરાગ્વે
PE,પેરુ
PS,"પેલેસ્ટિનિયન ટેરિટરી"
PT,પોર્ટુગલ
PL,પોલેંડ
PR,"પ્યુઅર્ટો રિકો"
FI,ફિનલેન્ડ
PH,ફિલીપાઇન્સ
FJ,ફીજી
FO,"ફૅરો આઇલેન્ડ્સ"
FK,"ફૉકલેન્ડ આઇલેન્ડ્સ"
FR,ફ્રાંસ
GF,"ફ્રેંચ ગયાના"
PF,"ફ્રેંચ પોલિનેશિયા"
TF,"ફ્રેંચ સદર્ન ટેરિટરીઝ"
BM,બર્મુડા
BG,બલ્ગેરિયા
BS,બહામાસ
BD,બાંગ્લાદેશ
BB,બાર્બાડોસ
BI,બુરુંડી
BF,"બુર્કિના ફાસો"
BJ,બેનિન
BY,બેલારુસ
BZ,બેલીઝ
BE,બેલ્જીયમ
BH,બેહરીન
BW,બોત્સ્વાના
BO,બોલિવિયા
BA,"બોસ્નિયા અને હર્ઝેગોવિના"
BR,બ્રાઝિલ
IO,"બ્રિટિશ ઇન્ડિયન ઓશન ટેરિટરી"
VG,"બ્રિટિશ વર્જિન આઇલેન્ડ્સ"
BN,બ્રુનેઇ
IN,ભારત
BT,ભૂટાન
MN,મંગોલિયા
MO,"મકાઉ SAR ચીન"
MY,મલેશિયા
FM,માઇક્રોનેશિયા
MQ,માર્ટીનીક
MH,"માર્શલ આઇલેન્ડ્સ"
MV,માલદિવ્સ
MW,માલાવી
ML,માલી
MT,માલ્ટા
MX,મેક્સિકો
MG,મેડાગાસ્કર
YT,મેયોટ
MK,મેસેડોનિયા
ME,મૉન્ટેંનેગ્રો
MS,મોંટસેરાત
MZ,મોઝામ્બિક
MC,મોનાકો
MU,મોરિશિયસ
MA,મોરોક્કો
MD,મોલડોવા
MR,મૌરિટાનિયા
MM,"મ્યાંમાર (બર્મા)"
VI,"યુ.એસ વર્જિન આઇલેન્ડ્સ"
UA,યુક્રેન
UG,યુગાંડા
AE,"યુનાઇટેડ આરબ અમીરાત"
GB,"યુનાઇટેડ કિંગડમ"
YE,યેમેન
RW,રવાંડા
RU,રશિયા
RE,રીયુનિયન
RO,રોમાનિયા
LU,લક્ઝમબર્ગ
LR,લાઇબેરિયા
LA,લાઓસ
LV,લાત્વિયા
LT,લિથુઆનિયા
LY,લિબિયા
LB,લેબનોન
LS,લેસોથો
LI,લૈચટેંસ્ટેઇન
VU,વાનુઆતુ
VN,વિયેતનામ
VA,"વેટિકન સિટી"
VE,વેનેઝુએલા
WF,"વૉલિસ એંડ ફ્યુચુના"
SC,શેશેલ્સ
LK,શ્રીલંકા
US,"સંયુકત રાજ્ય અમેરિકા"
UM,"સંયુક્ત રાજ્ય આઉટલાઇંગ આયલેન્ડ્સ"
WS,સમોઆ
RS,સર્બિયા
SA,"સાઉદી અરેબિયા"
ST,"સાઓ ટૉમ અને પ્રિંસિપે"
CY,સાયપ્રસ
SG,સિંગાપુર
SX,"સિંટ માર્ટેન"
SL,"સીએરા લેઓન"
SY,સીરિયા
SD,સુદાન
SR,સુરીનામ
SM,"સૅન મેરિનો"
KN,"સેંટ કિટ્સ એંડ નેવિસ"
PM,"સેંટ પીએરે એન્ડ મિકીલોન"
BL,"સેંટ બાર્થલેમી"
MF,"સેંટ માર્ટિન"
LC,"સેંટ લુસિયા"
SH,"સેંટ હેલેના"
CF,"સેંટ્રલ આફ્રિકન રીપબ્લિક"
SN,સેનેગલ
VC,"સેન્ટ વિન્સેન્ટ એન્ડ ગ્રેનેડીન્સ"
SO,સોમાલિયા
SB,"સોલોમન આઇલેન્ડ્સ"
ES,સ્પેન
EA,"સ્યુટા અને મેલિલા"
SK,સ્લોવેકિયા
SI,સ્લોવેનિયા
SZ,સ્વાઝિલેન્ડ
SJ,"સ્વાલબર્ડ એન્ડ જેન મેયન"
CH,સ્વિટ્ઝર્લૅન્ડ
SE,સ્વીડન
HU,હંગેરી
HT,હૈતિ
HK,"હોંગકોંગ SAR ચીન"
HN,હોન્ડુરસ
