id,value
AZ,Ադրբեջան
AX,"Ալանդյան կղզիներ"
AL,Ալբանիա
DZ,Ալժիր
AS,"Ամերիկյան Սամոա"
VI,"ԱՄՆ Վիրջինյան կղզիներ"
AO,Անգոլա
AI,Անգուիլա
AD,Անդորրա
AQ,Անտարկտիդա
AG,"Անտիգուա և Բարբուդա"
AU,Ավստրալիա
AT,Ավստրիա
AE,"Արաբական Միացյալ Էմիրություններ"
AR,Արգենտինա
AW,Արուբա
UM,"Արտաքին կղզիներ (ԱՄՆ)"
EH,"Արևմտյան Սահարա"
AF,Աֆղանստան
BS,"Բահամյան կղզիներ"
BH,Բահրեյն
BD,Բանգլադեշ
BB,Բարբադոս
BY,Բելառուս
BE,Բելգիա
BZ,Բելիզ
BJ,Բենին
BM,Բերմուդներ
BW,Բոթսվանա
BO,Բոլիվիա
BA,"Բոսնիա և Հերցեգովինա"
BT,Բութան
BG,Բուլղարիա
BV,"Բուվե կղզի"
BF,"Բուրկինա Ֆասո"
BI,Բուրունդի
BR,Բրազիլիա
VG,"Բրիտանական Վիրջինյան կղզիներ"
IO,"Բրիտանական Տարածք Հնդկական Օվկիանոսում"
BN,Բրունեյ
GA,Գաբոն
GM,Գամբիա
GY,Գայանա
GH,Գանա
DE,Գերմանիա
GG,Գերնսի
GU,Գուամ
GP,Գվադելուպա
GT,Գվատեմալա
GN,Գվինեա
GW,Գվինեա-Բիսաու
GD,Գրենադա
GL,Գրենլանդիա
DK,Դանիա
DM,Դոմինիկա
DO,"Դոմինիկյան Հանրապետություն"
EG,Եգիպտոս
ET,Եթովպիա
YE,Եմեն
ZM,Զամբիա
ZW,Զիմբաբվե
EC,Էկվադոր
SZ,Էսվատինի
EE,Էստոնիա
ER,Էրիթրեա
TH,Թայլանդ
TW,Թայվան
TC,"Թըրքս և Կայկոս կղզիներ"
TL,"Թիմոր Լեշտի"
TN,Թունիս
TR,Թուրքիա
TM,Թուրքմենստան
ID,Ինդոնեզիա
IE,Իռլանդիա
IS,Իսլանդիա
ES,Իսպանիա
IL,Իսրայել
