アイスランド (IS)
アイルランド (IE)
アゼルバイジャン (AZ)
アセンション島 (AC)
アフガニスタン (AF)
アメリカ合衆国 (US)
アラブ首長国連邦 (AE)
アルジェリア (DZ)
アルゼンチン (AR)
アルバ (AW)
アルバニア (AL)
アルメニア (AM)
アンギラ (AI)
アンゴラ (AO)
アンティグア・バーブーダ (AG)
アンドラ (AD)
イエメン (YE)
イギリス (GB)
イスラエル (IL)
イタリア (IT)
イラク (IQ)
イラン (IR)
インド (IN)
インドネシア (ID)
ウォリス・フツナ (WF)
ウガンダ (UG)
ウクライナ (UA)
ウズベキスタン (UZ)
ウルグアイ (UY)
エクアドル (EC)
エジプト (EG)
エストニア (EE)
エチオピア (ET)
エリトリア (ER)
エルサルバドル (SV)
オーストラリア (AU)
オーストリア (AT)
オーランド諸島 (AX)
オマーン (OM)
オランダ (NL)
オランダ領カリブ (BQ)
ガーナ (GH)
カーボベルデ (CV)
ガーンジー (GG)
ガイアナ (GY)
カザフスタン (KZ)
カタール (QA)
カナダ (CA)
カナリア諸島 (IC)
ガボン (GA)
カメルーン (CM)
ガンビア (GM)
カンボジア (KH)
ギニア (GN)
ギニアビサウ (GW)
キプロス (CY)
キューバ (CU)
キュラソー (CW)
ギリシャ (GR)
キリバス (KI)
キルギス (KG)
グアテマラ (GT)
グアドループ (GP)
グアム (GU)
クウェート (KW)
クック諸島 (CK)
グリーンランド (GL)
クリスマス島 (CX)
グルジア (GE)
グレナダ (GD)
クロアチア (HR)
ケイマン諸島 (KY)
ケニア (KE)
コートジボワール (CI)
ココス(キーリング)諸島 (CC)
コスタリカ (CR)
コソボ (XK)
コモロ (KM)
コロンビア (CO)
コンゴ共和国(ブラザビル) (CG)
コンゴ民主共和国(キンシャサ) (CD)
サウジアラビア (SA)
サモア (WS)
サン・バルテルミー島 (BL)
サン・マルタン (MF)
サントメ・プリンシペ (ST)
ザンビア (ZM)
サンピエール島・ミクロン島 (PM)
サンマリノ (SM)
シエラレオネ (SL)
ジブチ (DJ)
ジブラルタル (GI)
ジャージー (JE)
ジャマイカ (JM)
シリア (SY)
シンガポール (SG)
シント・マールテン (SX)
ジンバブエ (ZW)
スイス (CH)
スウェーデン (SE)
スーダン (SD)
スバールバル諸島・ヤンマイエン島 (SJ)
スペイン (ES)
スリナム (SR)
スリランカ (LK)
スロバキア (SK)
スロベニア (SI)
スワジランド (SZ)
セウタ・メリリャ (EA)
セーシェル (SC)
セネガル (SN)
セルビア (RS)
セントクリストファー・ネイビス (KN)
セントビンセント・グレナディーン諸島 (VC)
セントヘレナ (SH)
セントルシア (LC)
ソマリア (SO)
ソロモン諸島 (SB)
タークス・カイコス諸島 (TC)
タイ (TH)
タジキスタン (TJ)
タンザニア (TZ)
チェコ共和国 (CZ)
チャド (TD)
チュニジア (TN)
チリ (CL)
ツバル (TV)
ディエゴガルシア島 (DG)
デンマーク (DK)
ドイツ (DE)
トーゴ (TG)
トケラウ (TK)
ドミニカ共和国 (DO)
ドミニカ国 (DM)
トリスタン・ダ・クーニャ (TA)
トリニダード・トバゴ (TT)
トルクメニスタン (TM)
トルコ (TR)
トンガ (TO)
ナイジェリア (NG)
ナウル (NR)
ナミビア (NA)
ニウエ島 (NU)
ニカラグア (NI)
ニジェール (NE)
ニューカレドニア (NC)
ニュージーランド (NZ)
ネパール (NP)
ノーフォーク島 (NF)
ノルウェー (NO)
バーレーン (BH)
ハイチ (HT)
パキスタン (PK)
バチカン市国 (VA)
パナマ (PA)
バヌアツ (VU)
バハマ (BS)
パプアニューギニア (PG)
バミューダ (BM)
パラオ (PW)
パラグアイ (PY)
バルバドス (BB)
パレスチナ (PS)
ハンガリー (HU)
バングラデシュ (BD)
ピトケアン諸島 (PN)
フィジー (FJ)
フィリピン (PH)
フィンランド (FI)
ブータン (BT)
プエルトリコ (PR)
フェロー諸島 (FO)
フォークランド諸島 (FK)
ブラジル (BR)
フランス (FR)
ブルガリア (BG)
ブルキナファソ (BF)
ブルネイ (BN)
ブルンジ (BI)
ベトナム (VN)
ベナン (BJ)
ベネズエラ (VE)
ベラルーシ (BY)
ベリーズ (BZ)
ペルー (PE)
ベルギー (BE)
ポーランド (PL)
ボスニア・ヘルツェゴビナ (BA)
ボツワナ (BW)
ボリビア (BO)
ポルトガル (PT)
ホンジュラス (HN)
マーシャル諸島 (MH)
マケドニア (MK)
マダガスカル (MG)
マヨット島 (YT)
マラウイ (MW)
マリ (ML)
マルタ (MT)
マルティニーク (MQ)
マレーシア (MY)
マン島 (IM)
ミクロネシア連邦 (FM)
ミャンマー (MM)
メキシコ (MX)
モーリシャス (MU)
モーリタニア (MR)
モザンビーク (MZ)
モナコ (MC)
モルディブ (MV)
モルドバ (MD)
モロッコ (MA)
モンゴル (MN)
モンテネグロ (ME)
モントセラト (MS)
ヨルダン (JO)
ラオス (LA)
ラトビア (LV)
リトアニア (LT)
リビア (LY)
リヒテンシュタイン (LI)
リベリア (LR)
ルーマニア (RO)
ルクセンブルグ (LU)
ルワンダ (RW)
レソト (LS)
レバノン (LB)
レユニオン島 (RE)
ロシア (RU)
英領インド洋地域 (IO)
英領ヴァージン諸島 (VG)
西サハラ (EH)
赤道ギニア (GQ)
台湾 (TW)
大韓民国 (KR)
中央アフリカ共和国 (CF)
中華人民共和国マカオ特別行政区 (MO)
中華人民共和国香港特別行政区 (HK)
中国 (CN)
朝鮮民主主義人民共和国 (KP)
東ティモール (TL)
南アフリカ (ZA)
南ジョージア島・南サンドイッチ諸島 (GS)
南スーダン (SS)
南極 (AQ)
日本 (JP)
仏領ギアナ (GF)
仏領ポリネシア (PF)
仏領極南諸島 (TF)
米領ヴァージン諸島 (VI)
米領サモア (AS)
米領太平洋諸島 (UM)
北マリアナ諸島 (MP)
