កម្ពុជា (KH)
កាណាដា (CA)
កាតា (QA)
កាប់វែរ (CV)
កាមេរូន (CM)
កាហ្សាក់ស្ថាន (KZ)
កុងហ្គោ - ប្រាហ្សាវីល (CG)
កុងហ្គោ- គីនស្ហាសា (CD)
កូតឌីវ័រ (CI)
កូម័រ (KM)
កូរ៉ាកៅ (CW)
កូរ៉េ​ខាង​ជើង (KP)
កូរ៉េ​ខាង​ត្បូង (KR)
កូវ៉ែត (KW)
កូស្តារីកា (CR)
កូឡុំប៊ី (CO)
កៀហ្ស៊ីស៊ីស្ថាន (KG)
កេនយ៉ា (KE)
កោះ​កូកូស (គីលីង) (CC)
កោះ​កៃម៉ង់ (KY)
កោះ​ខូក (CK)
កោះ​គ្រីស្មាស (CX)
កោះ​ណ័រហ្វក់ (NF)
កោះ​ទួគ និង កៃកូស (TC)
កោះ​ប៊ូវ៉េត (BV)
កោះ​ភីតកាន (PN)
កោះ​ម៉ារីណា​ខាង​ជើង (MP)
កោះ​ម៉ាស់សល (MH)
កោះ​វឺជិន​ចក្រភព​អង់គ្លេស (VG)
កោះ​វឺជីន​អាមេរិក (VI)
កោះ​សូឡូម៉ុង (SB)
កោះ​ហឺដ និង​ម៉ាក់ដូណាល់ (HM)
កោះ​ហ្វក់ឡែន (FK)
កោះ​ហ្វារ៉ូ (FO)
កោះ​ហ្សកហ្ស៊ី​ខាងត្បូង និង សង់វិច​ខាងត្បូង (GS)
កោះ​អាឡង់ (AX)
កោះ​អៅឡាយីង​អាមេរិក (UM)
ក្រិក (GR)
ក្រូអាស៊ី (HR)
ក្វាតេម៉ាឡា (GT)
គិរីបាទី (KI)
គុយបា (CU)
ចក្រភព​អង់គ្លេស (GB)
ចិន (CN)
ឆាដ (TD)
ឆែគា (CZ)
ជប៉ុន (JP)
ជីប៊ូទី (DJ)
ជឺស៊ី (JE)
ដាណឺម៉ាក (DK)
ដូមីនីក (DM)
ដែនដី​បារាំង​នៅ​ភាគខាងត្បូង (TF)
ដែន​ដីប៉ាលេស្ទីន (PS)
ដែនដី​អង់គ្លេស​នៅ​មហា​សមុទ្រ​ឥណ្ឌា (IO)
ណាមីប៊ី (NA)
ណូរូ (NR)
ណៀ (NU)
តង់សានី (TZ)
តាហ្ស៊ីគីស្ថាន (TJ)
តុងហ្គា (TO)
តូខេឡៅ (TK)
តូហ្គោ (TG)
តួកគី (TR)
តួកម៉េនីស្ថាន (TM)
តៃវ៉ាន់ (TW)
ថៃ (TH)
ទីម័រលេស្តេ (TL)
ទុយនីស៊ី (TN)
ទូវ៉ាលូ (TV)
ទ្រីនីដាត និង​តូបាហ្គោ (TT)
ន័រវែស (NO)
នីការ៉ាហ្គា (NI)
នីហ្សេ (NE)
នីហ្សេរីយ៉ា (NG)
នូវែល​កាឡេដូនី (NC)
នូវែល​សេឡង់ (NZ)
នេប៉ាល់ (NP)
បង់ក្លាដែស (BD)
ប៉ាគីស្ថាន (PK)
ប៉ាណាម៉ា (PA)
បាបាដុស (BB)
ប៉ាពូអាស៊ី​នូវែលហ្គីណេ (PG)
ប៉ារ៉ាហ្គាយ (PY)
បារ៉ែន (BH)
បារាំង (FR)
បាហាម៉ា (BS)
ប៊ឺមុយដា (BM)
បុតស្វាណា (BW)
បុរី​វ៉ាទីកង់ (VA)
ប៊ុលហ្គារី (BG)
ប៊ូតង់ (BT)
ប៊ូរុនឌី (BI)
ប៉ូលី​ណេស៊ី​បារាំង (PF)
បូលីវី (BO)
បូស្នី និងហឺហ្សីហ្គូវីណា (BA)
ប៉ូឡូញ (PL)
បួគីណាហ្វាសូ (BF)
បេណាំង (BJ)
ប៉េរូ (PE)
បេលី (BZ)
បេឡារុស (BY)
បែលហ្ស៊ិក (BE)
ប្រេស៊ីល (BR)
ផៅឡូ (PW)
ព័រតូរីកូ (PR)
ព័រទុយហ្គាល់ (PT)
ព្រុយណេ (BN)
ម៉ាកាវ តំបន់រដ្ឋបាលពិសេសចិន (MO)
ម៉ាដាហ្គាស្កា (MG)
ម៉ាទីនីក (MQ)
ម៉ាយុត (YT)
ម៉ារ៉ុក (MA)
ម៉ាល់ឌីវ (MV)
ម៉ាល់ត៍ (MT)
ម៉ាលី (ML)
ម៉ាសេដ្វានខាងជើង (MK)
ម៉ាឡាវី (MW)
ម៉ាឡេស៊ី (MY)
ម៉ិកស៊ិក (MX)
មីក្រូណេស៊ី (FM)
មីយ៉ាន់ម៉ា (ភូមា) (MM)
ម៉ុងតេណេហ្គ្រោ (ME)
ម៉ុងស៊ែរ៉ា (MS)
ម៉ុងហ្គោលី (MN)
ម៉ុលដាវី (MD)
ម៉ូណាកូ (MC)
ម៉ូរីតានី (MR)
ម៉ូរីស (MU)
ម៉ូសំប៊ិក (MZ)
យេម៉ែន (YE)
រវ៉ាន់ដា (RW)
