កម្ពុជា (KH)
កាណាដា (CA)
កាតា (QA)
កាបវែរ (CV)
កាមេរូន (CM)
កាហ្សាក់ស្ថាន (KZ)
កុងហ្គោ - ប្រាហ្សាវីល (CG)
កុងហ្គោ- គីនស្ហាសា (CD)
កូដឌីវ័រ (CI)
កូម័រ (KM)
កូរ៉ាកៅ (CW)
កូរ៉េ​ខាង​ជើង (KP)
កូរ៉េ​ខាង​ត្បូង (KR)
កូសូវ៉ូ (XK)
កូស្តារីកា (CR)
កូឡុំប៊ី (CO)
កៀហ្ស៊ីស៊ីស្ថាន (KG)
កេនយ៉ា (KE)
កោះ​កាណារី (IC)
កោះ​កូកូស (គីលីង) (CC)
កោះ​កៃម៉ង់ (KY)
កោះ​ខូក (CK)
កោះ​គ្រីស្មាស (CX)
កោះ​ណ័រហ្វក់ (NF)
កោះ​ទួគ និង កៃកូស (TC)
កោះ​ភីតកាន (PN)
កោះ​ម៉ារីណា​ខាង​ជើង (MP)
កោះ​ម៉ាស់សល (MH)
កោះ​វឺជិន​ចក្រភព​អង់គ្លេស (VG)
កោះ​វឺជីន​អាមេរិក (VI)
កោះ​សូឡូម៉ុង (SB)
កោះ​ហ្វក់ឡែន (FK)
កោះ​ហ្វារ៉ូ (FO)
កោះ​ហ្សកហ្ស៊ី​ខាង​ត្បូង និង សាន់វិច​ខាង​ត្បូង (GS)
កោះ​អាសេនសិន (AC)
កោះ​អាឡាំង (AX)
កោះ​អៅឡាយីង​អាមេរិក (UM)
ក្រិក (GR)
ក្រូអាត (HR)
គិរិបាទី (KI)
គុយបា (CU)
គុយវ៉ែត (KW)
ចក្រភព​អង់គ្លេស (GB)
ចាម៉ៃកា (JM)
ចិន (CN)
ឆាដ (TD)
ឆេគា (CZ)
ជប៉ុន (JP)
ជីប៊ូទី (DJ)
ជឺតា និង​ម៉េលីឡា (EA)
ជឺស៊ី (JE)
ញូកាឡេដូនៀ (NC)
ដាណឺម៉ាក (DK)
ដូមីនីក (DM)
ដែនដី​បារាំង​នៅ​ភាគខាងត្បូង (TF)
ដែនដី​អង់គ្លេស​នៅ​មហា​សមុទ្រ​ឥណ្ឌា (IO)
ដែន​ប៉ាលេស្ទីន (PS)
ឌៀហ្គោហ្គាស៊ី (DG)
ណាមីប៊ី (NA)
ណូរូ (NR)
ណៀ (NU)
តង់ហ្សានី (TZ)
តាហ្ស៊ីគីស្ថាន (TJ)
តុងហ្គា (TO)
តូខេឡៅ (TK)
តូហ្គោ (TG)
តួកម៉េនីស្ថាន (TM)
តៃវ៉ាន់ (TW)
ថៃ (TH)
ទីម័រ (TL)
ទុយនេស៊ី (TN)
ទូវ៉ាលូ (TV)
ទួរគី (TR)
ទ្រីនីដាត និង​តូបាហ្គោ (TT)
ទ្រីស្តង់​ដា​ចូនហា (TA)
ន័រវែស (NO)
នីការ៉ាហ្គ័រ (NI)
នីហ្សេរ (NE)
នីហ្សេរីយ៉ា (NG)
នូវែលហ្សេឡង់ (NZ)
នេប៉ាល់ (NP)
បង់ក្លាដែស (BD)
ប៉ាគីស្ថាន (PK)
ប៉ាណាម៉ា (PA)
បាបាដុស (BB)
ប៉ាពួញ៉ូហ្គីណេ (PG)
ប៉ារ៉ាហ្គាយ (PY)
បារ៉ែន (BH)
បារាំង (FR)
បាហាម៉ា (BS)
ប៊ឺមុយដា (BM)
បុតស្វាណា (BW)
បុរី​វ៉ាទីកង់ (VA)
ប៊ុលហ្គារី (BG)
ប៊ូតាន (BT)
ប៊ូរុនឌី (BI)
ប៉ូលី​ណេស៊ី​បារាំង (PF)
បូលីវី (BO)
បូស្នី និងហឺហ្សីហ្គូវីណា (BA)
ប៉ូឡូញ (PL)
បួគីណាហ្វាសូ (BF)
បេណាំង (BJ)
ប៉េរូ (PE)
បេលីហ្ស (BZ)
បេឡារុស្ស (BY)
បែលហ្ស៊ិក (BE)
ប្រ៊ុយណេ (BN)
ប្រេស៊ីល (BR)
ផៅឡូ (PW)
ព័រតូរីកូ (PR)
ព័រទុយហ្គាល់ (PT)
ម៉ាកាវ (MO)
ម៉ាដាហ្គាស្កា (MG)
ម៉ាទីនីក (MQ)
ម៉ាយុត (YT)
ម៉ារ៉ុក (MA)
ម៉ាល់ឌីវ (MV)
ម៉ាល់តា (MT)
ម៉ាលី (ML)
ម៉ាសេដូនា (MK)
ម៉ាឡាវី (MW)
ម៉ាឡេស៊ី (MY)
ម៉ិកស៊ិក (MX)
មីក្រូណេស៊ី (FM)
មីយ៉ាន់ម៉ា (ភូមា) (MM)
ម៉ុងតេណេហ្គ្រោ (ME)
ម៉ុង​សេរ៉ង់ (MS)
ម៉ុងហ្គោលី (MN)
ម៉ុលដាវី (MD)
ម៉ូណាកូ (MC)
ម៉ូរីតានី (MR)
ម៉ូរីស (MU)
