id,value
CW,Curaçao
FO,"Faroe Islands"
JO,Jordan
FM,Micronesia
MK,"North Macedonia"
SX,"Sint Maarten"
SS,"South Sudan"
AZ,آزَرباجان
AU,آسٹریلِیا
AT,آسٹِیا
IM,"آیِل آف مین"
AR,أرجَنٹینا
ET,اِتھوپِیا
IT,اِٹلی
ER,اِرٕٹِیا
AM,اَرمانِیا
AW,اَروٗبا
UZ,اُزبِکِستان
IL,اِسرایٖل
AF,اَفغانَستان
EC,اِکواڑور
GQ,"اِکوِٹورِیَل گِنی"
AS,"اَمریٖکَن سَموا"
ID,اِنڑونیشِیا
AI,انگوئیلا
AO,انگولا
OM,اومان
IQ,ایٖراق
IR,ایٖران
IE,اَیَرلینڑ
EE,ایسٹونِیا
IS,اَیِسلینڑ
AX,"ایلینڑ جٔزیٖرٕ"
AQ,اینٹارٹِکا
CI,"اَیوٕری کوسٹ"
SV,"اؠل سَلواڑور"
AL,اؠلبانِیا
DZ,اؠلجیرِیا
AG,"اؠنٹِگُوا تہٕ باربوڑا"
AD,اؠنڑورا
BB,باربیڈاس
BH,بحریٖن
BR,برازِل
VG,"بَرطانوی ؤرجِن جٔزیٖرٕ"
IO,"برطانوی بحرِ ہِندۍ علاقہٕ"
BQ,"برطانوی قُطبہِ جَنوٗبی علاقہٕ"
BF,"بُرکِنا فیسو"
BM,بٔرمیوڈا
BN,بُرنٔے
BG,بَلجیرِیا
BD,بَنگلادیش
BJ,بِنِن
BS,بَہامَس
BW,بوتَسوانا
BT,بوٗٹان
BI,بورَنڈِ
BA,"بوسنِیا تہٕ ہَرزِگووِنا"
BO,بولِوِیا
BV,"بووَٹ جٔزیٖرٕ"
BY,بیلاروٗس
BZ,بیلِج
BE,بیلجِیَم
PG,"پاپُوا نیوٗ گیٖنی"
PK,پاکِستان
PN,"پِٹکیرٕنۍ جٔزیٖرٕ"
PY,پَراگُے
PT,پُرتِگال
PR,"پٔرٹو رِکو"
PW,پَلاو
PA,پَناما
PL,پولینڑ
PE,پیٖروٗ
TJ,تاجکِستان
TW,تایوان
TC,"تُرُک تہٕ کیکوس جٔزیٖرٕ"
TR,تُرکی
TM,تُرمِنِستان
TZ,تَنجانِیا
TH,تھایلینڑ
TK,توکیلاو
TV,توٗوالوٗ
TT,"ٹرنِنداد تہٕ ٹوبیگو"
TG,ٹوگو
TO,ٹونگا
TN,ٹونیشِیا
JP,جاپان
GE,جارجِیا
ZM,جامبِیا
GI,جِبرالٹَر
DJ,جِبوٗتی
JE,جٔرسی
DE,جرمٔنی
JM,جَمایکا
ZA,"جَنوٗبی اَفریٖکا"
GS,"جنوٗبی جارجِیا تہٕ جنوٗبی سینڑوٕچ جٔزیٖرٕ"
KR,"جنوٗبی کورِیا"
TD,چاڑ
CL,چِلی
CZ,"چیک جَموٗرِیَت"
CN,چیٖن
