id,value
AQ,അൻറാർട്ടിക്ക
AD,അന്റോറ
AF,അഫ്‌ഗാനിസ്ഥാൻ
US,"അമേരിക്കൻ ഐക്യനാടുകൾ"
AS,"അമേരിക്കൻ സമോവ"
AO,അംഗോള
IE,അയർലാൻഡ്
AR,അർജൻറീന
AM,അർമേനിയ
AX,"അലൻഡ് ദ്വീപുകൾ"
AL,അൽബേനിയ
AC,"അസൻഷൻ ദ്വീപ്"
AZ,അസർബൈജാൻ
DZ,അൾജീരിയ
AW,അറൂബ
AI,ആൻഗ്വില്ല
AG,"ആൻറിഗ്വയും ബർബുഡയും"
EC,ഇക്വഡോർ
GQ,"ഇക്വറ്റോറിയൽ ഗിനിയ"
ID,ഇന്തോനേഷ്യ
IN,ഇന്ത്യ
IL,ഇസ്രായേൽ
IQ,ഇറാഖ്
IR,ഇറാൻ
IT,ഇറ്റലി
EG,ഈജിപ്ത്
UA,ഉക്രെയ്‌ൻ
UG,ഉഗാണ്ട
MP,"ഉത്തര മറിയാനാ ദ്വീപുകൾ"
KP,ഉത്തരകൊറിയ
UZ,ഉസ്‌ബെക്കിസ്ഥാൻ
UY,ഉറുഗ്വേ
ET,എത്യോപ്യ
SV,"എൽ സാൽവദോർ"
EE,എസ്റ്റോണിയ‍
ER,എറിത്രിയ
IM,"ഐൽ ഓഫ് മാൻ"
IS,ഐസ്‌ലാന്റ്
OM,ഒമാൻ
AT,ഓസ്ട്രിയ
AU,ഓസ്‌ട്രേലിയ
KH,കംബോഡിയ
KZ,കസാഖിസ്ഥാൻ
CA,കാനഡ
IC,"കാനറി ദ്വീപുകൾ"
CM,കാമറൂൺ
KI,കിരിബാട്ടി
KG,കിർഗിസ്ഥാൻ
CK,"കുക്ക് ദ്വീപുകൾ"
KW,കുവൈറ്റ്
CW,കുറാകാവോ
KE,കെനിയ
CV,"കേപ്പ് വെർദെ"
KY,"കേമാൻ ദ്വീപുകൾ"
XK,കൊസോവൊ
CO,കൊളംബിയ
CC,"കോക്കസ് ദ്വീപുകൾ"
CI,"കോട്ട് ഡി വാർ"
KM,കോമൊറോസ്
CD,"കോംഗോ - കിൻഷാസ"
CG,"കോംഗോ - ബ്രാസവില്ലി"
CR,കോസ്റ്ററിക്ക
CU,ക്യൂബ
CX,"ക്രിസ്മസ് ദ്വീപ്"
HR,ക്രൊയേഷ്യ
QA,ഖത്തർ
GY,ഗയാന
GA,ഗാബൺ
GM,ഗാംബിയ
GN,ഗിനിയ
GW,ഗിനിയ-ബിസൗ
GG,ഗേൺസി
GD,ഗ്രനേഡ
GL,ഗ്രീൻലാൻറ്
GR,ഗ്രീസ്
GT,ഗ്വാട്ടിമാല
GP,ഗ്വാഡലൂപ്പ്
GU,ഗ്വാം
GH,ഘാന
CL,ചിലി
CZ,"ചെക്ക് റിപ്പബ്ലിക്"
CN,ചൈന
TD,ഛാഡ്
JP,ജപ്പാൻ
JM,ജമൈക്ക
DE,ജർമനി
GI,ജിബ്രാൾട്ടർ
JE,ജേഴ്സി
GE,ജോർജ്ജിയ
JO,ജോർദ്ദാൻ
TC,"ടർക്ക്‌സും കെയ്‌ക്കോ ദ്വീപുകളും"
TZ,ടാൻസാനിയ
TN,ടുണീഷ്യ
TV,ടുവാലു
TK,ടോക്കെലൂ
TG,ടോഗോ
TO,ടോംഗ
TA,"ട്രസ്റ്റൻ ഡ കൂന"
TT,"ട്രിനിഡാഡും ടുബാഗോയും"
DG,"ഡീഗോ ഗ്രാഷ്യ"
DK,ഡെൻമാർക്ക്
DM,ഡൊമിനിക്ക
DO,"ഡൊമിനിക്കൻ റിപ്പബ്ലിക്"
TJ,താജിക്കിസ്ഥാൻ
