id,value
UZ,ਉਜ਼ਬੇਕਿਸਤਾਨ
KP,"ਉੱਤਰੀ ਕੋਰੀਆ"
MP,"ਉੱਤਰੀ ਮਾਰੀਆਨਾ ਟਾਪੂ"
UY,ਉਰੂਗਵੇ
OM,ਓਮਾਨ
AC,"ਅਸੈਂਸ਼ਨ ਟਾਪੂ"
AI,ਅੰਗੁਇਲਾ
AO,ਅੰਗੋਲਾ
AZ,ਅਜ਼ਰਬਾਈਜਾਨ
AQ,ਅੰਟਾਰਕਟਿਕਾ
AD,ਅੰਡੋਰਾ
AF,ਅਫ਼ਗਾਨਿਸਤਾਨ
AS,"ਅਮੈਰੀਕਨ ਸਮੋਆ"
AR,ਅਰਜਨਟੀਨਾ
AM,ਅਰਮੀਨੀਆ
AW,ਅਰੂਬਾ
SV,"ਅਲ ਸਲਵਾਡੋਰ"
DZ,ਅਲਜੀਰੀਆ
AL,ਅਲਬਾਨੀਆ
AX,"ਅਲੈਂਡ ਟਾਪੂ"
IE,ਆਇਰਲੈਂਡ
IM,"ਆਇਲ ਆਫ ਮੈਨ"
IS,ਆਈਸਲੈਂਡ
AT,ਆਸਟਰੀਆ
AU,ਆਸਟ੍ਰੇਲੀਆ
AG,"ਐਂਟੀਗੁਆ ਅਤੇ ਬਾਰਬੁਡਾ"
EE,ਇਸਟੋਨੀਆ
EC,ਇਕਵੇਡੋਰ
IL,ਇਜ਼ਰਾਈਲ
IT,ਇਟਲੀ
ID,ਇੰਡੋਨੇਸ਼ੀਆ
ET,ਇਥੋਪੀਆ
IQ,ਇਰਾਕ
ER,ਇਰੀਟ੍ਰਿਆ
IR,ਈਰਾਨ
ES,ਸਪੇਨ
AE,"ਸੰਯੁਕਤ ਅਰਬ ਅਮੀਰਾਤ"
US,"ਸੰਯੁਕਤ ਰਾਜ"
RS,ਸਰਬੀਆ
SK,ਸਲੋਵਾਕੀਆ
SI,ਸਲੋਵੇਨੀਆ
SZ,ਸਵਾਜ਼ੀਲੈਂਡ
SJ,"ਸਵਾਲਬਰਡ ਅਤੇ ਜਾਨ ਮਾਯੇਨ"
CH,ਸਵਿਟਜ਼ਰਲੈਂਡ
SE,ਸਵੀਡਨ
LK,"ਸ੍ਰੀ ਲੰਕਾ"
SA,"ਸਾਊਦੀ ਅਰਬ"
ST,"ਸਾਓ ਟੋਮ ਅਤੇ ਪ੍ਰਿੰਸੀਪੇ"
CY,ਸਾਇਪ੍ਰਸ
WS,ਸਾਮੋਆ
EA,"ਸਿਓਟਾ ਅਤੇ ਮੇਲਿੱਲਾ"
SL,"ਸਿਏਰਾ ਲਿਓਨ"
SG,ਸਿੰਗਾਪੁਰ
SX,"ਸਿੰਟ ਮਾਰਟੀਨ"
SY,ਸੀਰੀਆ
SD,ਸੂਡਾਨ
SR,ਸੂਰੀਨਾਮ
SC,ਸੇਸ਼ਲਸ
SH,"ਸੇਂਟ ਹੇਲੇਨਾ"
BL,"ਸੇਂਟ ਬਾਰਥੇਲੇਮੀ"
MF,"ਸੇਂਟ ਮਾਰਟਿਨ"
LC,"ਸੇਂਟ ਲੂਸੀਆ"
VC,"ਸੇਂਟ ਵਿਨਸੈਂਟ ਐਂਡ ਗ੍ਰੇਨਾਡੀਨਸ"
SN,ਸੇਨੇਗਲ
KN,"ਸੈਂਟ ਕਿਟਸ ਐਂਡ ਨੇਵਿਸ"
PM,"ਸੈਂਟ ਪੀਅਰੇ ਐਂਡ ਮਿਕੇਲਨ"
SM,"ਸੈਨ ਮਰੀਨੋ"
SO,ਸੋਮਾਲੀਆ
SB,"ਸੋਲੋਮਨ ਟਾਪੂ"
HU,ਹੰਗਰੀ
HK,"ਹਾਂਗ ਕਾਂਗ ਐਸਏਆਰ ਚੀਨ"
HT,ਹੈਤੀ
HN,ਹੋਂਡੁਰਸ
KZ,ਕਜ਼ਾਖਸਤਾਨ
QA,ਕਤਰ
KH,ਕੰਬੋਡੀਆ
HR,ਕਰੋਏਸ਼ੀਆ
CX,"ਕ੍ਰਿਸਮਿਸ ਟਾਪੂ"
CD,"ਕਾਂਗੋ - ਕਿੰਸ਼ਾਸਾ"
CG,"ਕਾਂਗੋ - ਬ੍ਰਾਜ਼ਾਵਿਲੇ"
CU,ਕਿਊਬਾ
KG,ਕਿਰਗਿਜ਼ਸਤਾਨ
