id,value
AO,అంగోలా
AQ,అంటార్కిటికా
AZ,అజర్బైజాన్
AS,"అమెరికన్ సమోవా"
AW,అరుబా
AR,అర్జెంటీనా
DZ,అల్జీరియా
AL,అల్బేనియా
AI,ఆంగ్విల్లా
AG,"ఆంటిగ్వా మరియు బార్బుడా"
AD,ఆండోరా
AF,ఆఫ్ఘనిస్తాన్
AM,ఆర్మేనియా
AX,"ఆలాండ్ దీవులు"
AT,ఆస్ట్రియా
AU,ఆస్ట్రేలియా
ID,ఇండోనేషియా
IL,ఇజ్రాయెల్
IT,ఇటలీ
ET,ఇథియోపియా
IQ,ఇరాక్
IR,ఇరాన్
GQ,"ఈక్వటోరియల్ గినియా"
EC,ఈక్వడార్
EG,ఈజిప్ట్
SZ,ఈస్వాటిని
UA,ఉక్రెయిన్
UG,ఉగాండా
UZ,ఉజ్బెకిస్తాన్
KP,"ఉత్తర కొరియా"
MP,"ఉత్తర మరియానా దీవులు"
MK,"ఉత్తర మాసిడోనియా"
UY,ఉరుగ్వే
ER,ఎరిట్రియా
SV,"ఎల్ సాల్వడోర్"
EE,ఎస్టోనియా
IE,ఐర్లాండ్
IM,"ఐల్ ఆఫ్ మాన్"
IS,ఐస్లాండ్
OM,ఓమన్
KH,కంబోడియా
KZ,కజకిస్తాన్
BQ,"కరీబియన్ నెదర్లాండ్స్"
CD,"కాంగో- కిన్షాసా"
CG,"కాంగో- బ్రాజావిల్లి"
CM,కామెరూన్
KI,కిరిబాటి
KG,కిర్గిజిస్తాన్
CK,"కుక్ దీవులు"
KW,కువైట్
CA,కెనడా
KE,కెన్యా
CV,"కేప్ వెర్డె"
KY,"కేమాన్ దీవులు"
KM,కొమొరోస్
CO,కొలంబియా
CC,"కోకోస్ (కీలింగ్) దీవులు"
CI,"కోట్ డి ఐవోర్"
CR,"కోస్టా రికా"
CU,క్యూబా
CW,క్యూరసో
CX,"క్రిస్మస్ దీవి"
NC,"క్రొత్త కాలెడోనియా"
HR,క్రొయేషియా
QA,ఖతార్
GY,గయానా
GG,గర్న్‌సీ
GM,గాంబియా
GN,గినియా
GW,గినియా-బిస్సావ్
GA,గేబన్
GL,గ్రీన్‌ల్యాండ్
GR,గ్రీస్
GD,గ్రెనడా
GT,గ్వాటిమాలా
GP,గ్వాడెలోప్
GU,గ్వామ్
GH,ఘనా
TD,చాద్
CL,చిలీ
CZ,చెకియా
CN,చైనా
JP,జపాన్
JM,జమైకా
DE,జర్మనీ
ZM,జాంబియా
GE,జార్జియా
ZW,జింబాబ్వే
DJ,జిబౌటి
GI,జిబ్రాల్టర్
JE,జెర్సీ
JO,జోర్డాన్
TR,టర్కీ
TM,టర్క్‌మెనిస్తాన్
TC,"టర్క్స్ మరియు కైకోస్ దీవులు"
TZ,టాంజానియా
TL,టిమోర్-లెస్టె
TV,టువాలు
TO,టోంగా
TK,టోకెలావ్
TG,టోగో
TN,ట్యునీషియా
TT,"ట్రినిడాడ్ మరియు టొబాగో"
DK,డెన్మార్క్
DO,"డొమినికన్ రిపబ్లిక్"
DM,డొమినికా
TJ,తజికిస్తాన్
TW,తైవాన్
TH,థాయిలాండ్
ZA,"దక్షిణ ఆఫ్రికా"
KR,"దక్షిణ కొరియా"
GS,"దక్షిణ జార్జియా మరియు దక్షిణ శాండ్విచ్ దీవులు"
SS,"దక్షిణ సూడాన్"
