id,value
AI,Anikuila
AG,"Anitikua mo Palaputa"
FR,Falanisē
PH,Filipaini
FI,Finilani
FJ,Fisi
HT,Haiti
WS,Haʻamoa
AS,"Haʻamoa ʻAmelika"
NL,Hōlani
HN,Honitulasi
HK,"Hongi Kongi SAR Siaina"
HU,Hungakalia
YE,Iemeni
BQ,"Kalipiane fakahōlani"
GR,Kalisi
CM,Kameluni
GM,Kamipia
KH,Kamipōtia
GH,Kana
CA,Kānata
GA,Kaponi
KZ,Kasakitani
QA,Katā
GD,Kelenatā
KE,Keniā
KG,Kīkisitani
KI,Kilipasi
GN,Kini
GW,Kini-Pisau
CU,Kiupa
KP,"Kōlea tokelau"
KR,"Kōlea tonga"
VA,"Kolo Vatikani"
CO,Kolomipia
KM,Komolosi
CD,"Kongo - Kinisasa"
CG,"Kongo - Palasavila"
CR,"Kosita Lika"
GU,Kuamu
GP,Kuatalupe
GT,Kuatamala
KW,Kueiti
GG,Kuenisī
GY,Kuiana
GF,"Kuiana fakafalanisē"
CW,Kulasao
GL,Kulinilani
HR,Kuloisia
LR,Laipelia
LU,Lakisimipeki
LV,Lativia
LA,Lau
LB,Lepanoni
DO,"Lepupelika Tominika"
CF,"Lepupelika ʻAfilika Lotoloto"
LS,Lesoto
RE,Lēunioni
LI,Likitenisiteini
LY,Līpia
LT,Lituania
RO,Lomēnia
RW,Luanitā
RU,Lūsia
YT,Maiote
MO,"Makau SAR Siaina"
MV,Malativisi
MW,Malaui
MY,Malēsia
ML,Māli
MT,Malita
MK,"Masetōnia fakatokelau"
CI,"Matafonua ʻAivolī"
MG,Matakasika
MQ,Mātiniki
MR,Maulitenia
MU,Maulitiusi
MX,Mekisikou
MM,"Mianimā (Pema)"
FM,Mikolonīsia
MA,Moloko
MD,Molotova
MC,Monako
ME,Monitenikalo
MN,Mongokōlia
MZ,Mosēmipiki
CX,"Motu Kilisimasi"
IM,"Motu Mani"
NF,"Motu Nōfoliki"
BV,"Motu Puveti"
MS,Moʻungaselati
CV,"Muiʻi Vēte"
NG,Naisilia
NA,Namipia
NR,Naulu
NP,Nepali
NI,Nikalakua
NE,Nisia
NC,"Niu Kaletōnia"
NU,Niuē
NO,Noauē
NZ,Nuʻusila
BS,Pahama
PK,Pākisitani
PY,Palakuai
BR,Palāsili
PW,Palau
BH,Paleini
PA,Panamā
BB,Pāpeitosi
PG,Papuaniukini
BF,"Pekano Faso"
BY,Pelalusi
BE,Pelesiume
BZ,Pelise
PE,Pelū
BM,Pēmuta
BJ,Penini
BD,Pengilātesi
GB,Pilitānia
PL,Polani
PF,"Polinisia fakafalanisē"
BO,Polīvia
BA,"Posinia mo Hesikōvina"
BW,Potisiuana
IO,"Potu fonua moana ʻInitia fakapilitānia"
TF,"Potu fonua tonga fakafalanisē"
PS,"Potu Palesitaine"
PT,Potukali
PR,"Puēto Liko"
US,"Puleʻanga fakatahataha ʻAmelika"
BG,Pulukalia
BN,Pulunei
BI,Puluniti
BT,Pūtani
SH,"Sā Helena"
