id,value
UM,"ئا ق ش تاشقى ئاراللىرى"
VI,"ئا ق ش ۋىرگىن ئاراللىرى"
AR,ئارگېنتىنا
AW,ئارۇبا
AF,ئافغانىستان
AX,"ئالاند ئاراللىرى"
AL,ئالبانىيە
DZ,ئالجىرىيە
AS,"ئامېرىكا ساموئا"
US,"ئامېرىكا قوشما ئىشتاتلىرى"
AQ,ئانتاركتىكا
AG,"ئانتىگۇئا ۋە باربۇدا"
AD,ئاندوررا
AO,ئانگولا
AI,ئانگۋىللا
AU,ئاۋسترالىيە
MO,"ئاۋمېن ئالاھىدە مەمۇرىي رايونى"
AT,ئاۋىستىرىيە
AE,"ئەرەب بىرلەشمە خەلىپىلىكى"
AM,ئەرمېنىيە
AZ,ئەزەربەيجان
VG,"ئەنگلىيە ۋىرگىن ئاراللىرى"
IO,"ئەنگلىيەگە قاراشلىق ھىندى ئوكيان تېررىتورىيەسى"
CF,"ئوتتۇرا ئافرىقا جۇمھۇرىيىتى"
OM,ئومان
UY,ئۇرۇگۋاي
UA,ئۇكرائىنا
UG,ئۇگاندا
UZ,ئۆزبېكىستان
ER,ئېرىترىيە
EE,ئېستونىيە
ET,ئېفىيوپىيە
EC,ئېكۋاتور
GQ,"ئېكۋاتور گىۋىنىيەسى"
IT,ئىتالىيە
IQ,ئىراق
IR,ئىران
IE,ئىرېلاندىيە
ES,ئىسپانىيە
IL,ئىسرائىلىيە
IS,ئىسلاندىيە
JO,ئىيوردانىيە
BB,باربادوس
BS,باھاما
BH,بەھرەين
BW,بوتسۋانا
BA,"بوسىنىيە ۋە گېرتسېگوۋىنا"
BO,بولىۋىيە
BV,"بوۋېت ئارىلى"
BT,بۇتان
BF,"بۇركىنا فاسو"
BI,بۇرۇندى
BG,بۇلغارىيە
BM,بېرمۇدا
BY,بېلارۇسىيە
BE,بېلگىيە
BZ,بېلىز
BD,بېنگال
BJ,بېنىن
BR,بىرازىلىيە
GB,"بىرلەشمە پادىشاھلىق"
MM,بىرما
BN,بىرۇنېي
PG,"پاپۇئا يېڭى گىۋىنىيەسى"
PY,پاراگۋاي
PK,پاكىستان
PW,پالائۇ
PA,پاناما
PS,"پەلەستىن زېمىنى"
PT,پورتۇگالىيە
PL,پولشا
PR,"پۇئېرتو رىكو"
PE,پېرۇ
PN,"پىتكايرن ئاراللىرى"
TJ,تاجىكىستان
TZ,تانزانىيە
TH,تايلاند
TW,تەيۋەن
TK,توكېلاۋ
TG,توگو
TO,تونگا
TC,"تۇركس ۋە كايكوس ئاراللىرى"
TN,تۇنىس
TV,تۇۋالۇ
TM,تۈركمەنىستان
TR,تۈركىيە
TT,"تىرىنىداد ۋە توباگو"
GI,جەبىلتارىق
ZA,"جەنۇبىي ئافرىقا"
GS,"جەنۇبىي جورجىيە ۋە جەنۇبىي ساندۋىچ ئاراللىرى"
SS,"جەنۇبىي سۇدان"
CN,جۇڭگو
JE,جېرسېي
DJ,جىبۇتى
TD,چاد
KP,چاۋشيەن
CZ,"چېخ جۇمھۇرىيىتى"
CL,چىلى
