id,value
IT,اٹلی
AR,ارجنٹینا
JO,اردن
AW,اروبا
ER,اریٹیریا
UZ,ازبکستان
GQ,"استوائی گیانا"
EE,اسٹونیا
IL,اسرائیل
AF,افغانستان
SV,"ال سلواڈور"
AL,البانیہ
DZ,الجیریا
UM,"امریکی بیرونی جزائر"
VI,"امریکی جزائر ورجن"
AS,"امریکی ساموآ"
AQ,انٹارکٹیکا
AG,"انٹیگوا اور باربودا"
AD,انڈورا
ID,انڈونیشیا
AO,انگولا
AI,انگوئیلا
ET,ایتھوپیا
IR,ایران
EC,ایکواڈور
AZ,آذربائیجان
AM,آرمینیا
AT,آسٹریا
AU,آسٹریلیا
IE,آئرلینڈ
IS,"آئس لینڈ"
IM,"آئل آف مین"
BB,بارباڈوس
BH,بحرین
BR,برازیل
IO,"برطانوی بحرہند خطہ"
VG,"برطانوی جزائر ورجن"
BF,"برکینا فاسو"
BM,برمودا
BN,برونائی
BI,برونڈی
BG,بلغاریہ
BD,"بنگلہ دیش"
BW,بوتسوانا
BA,"بوسنیا اور ہرزیگووینا"
BO,بولیویا
BS,بہاماس
BY,بیلاروس
BZ,بیلائز
BE,بیلجیم
BJ,بینن
IN,بھارت
BT,بھوٹان
PG,"پاپوآ نیو گنی"
PK,پاکستان
PA,پانامہ
PT,پرتگال
PW,پلاؤ
PL,پولینڈ
PY,پیراگوئے
PE,پیرو
PR,"پیورٹو ریکو"
TJ,تاجکستان
TW,تائیوان
TM,ترکمانستان
TR,ترکی
TT,"ترینیداد اور ٹوباگو"
TZ,تنزانیہ
TN,تونس
TL,"تیمور لیسٹ"
TH,"تھائی لینڈ"
TK,ٹوکیلاؤ
TG,ٹوگو
TO,ٹونگا
TV,ٹووالو
JP,جاپان
GE,جارجیا
GI,"جبل الطارق"
DJ,جبوتی
JE,جرسی
DE,جرمنی
CC,"جزائر (کیلنگ) کوکوس"
AX,"جزائر آلینڈ"
PN,"جزائر پٹکیرن"
SB,"جزائر سلیمان"
MP,"جزائر شمالی ماریانا"
FK,"جزائر فاکلینڈ"
FO,"جزائر فیرو"
CK,"جزائر کک"
TC,"جزائر کیکس و ترکیہ"
MH,"جزائر مارشل"
HM,"جزائر ہرڈ و مکڈونلڈ"
BV,"جزیرہ بوویت"
CX,"جزیرہ کرسمس"
NF,"جزیرہ نارفوک"
JM,جمائیکا
DO,"جمہوریہ ڈومينيکن"
ZA,"جنوبی افریقہ"
GS,"جنوبی جارجیا اور جنوبی سینڈوچ جزائر"
SS,"جنوبی سوڈان"
KR,"جنوبی کوریا"
TD,چاڈ
CL,چلی
CZ,چیکیا
CN,چین
DK,ڈنمارک
DM,ڈومنیکا
RW,روانڈا
RU,روس
RO,رومانیہ
RE,"ری یونین"
US,"ریاست ہائے متحدہ امریکہ"
ZM,زامبیا
ZW,زمبابوے
WS,ساموآ
SM,"سان مارینو"
ST,"ساؤ ٹومے اور پرنسپے"
RS,سربیا
LK,"سری لنکا"
SC,سشلیز
SA,"سعودی عرب"
GB,"سلطنت متحدہ"
SK,سلوواکیہ
SI,سلووینیا
SX,"سنٹ مارٹن"
SG,سنگاپور
SZ,سواتنی
SJ,"سوالبرڈ اور جان ماین"
SD,سوڈان
SR,سورینام
CH,"سوئٹزر لینڈ"
SE,سویڈن
SL,سیرالیون
BL,"سینٹ برتھلیمی"
PM,"سینٹ پیئر اور میکلیئون"
KN,"سینٹ کٹس اور نیویس"
LC,"سینٹ لوسیا"
MF,"سینٹ مارٹن"
VC,"سینٹ ونسنٹ اور گرینیڈائنز"
SH,"سینٹ ہیلینا"
SN,سینیگل
SY,شام
KP,"شمالی کوریا"
MK,"شمالی مقدونیہ"
SO,صومالیہ
IQ,عراق
OM,عمان
FJ,فجی
FR,فرانس
PF,"فرانسیسی پولینیشیا"
TF,"فرانسیسی جنوبی خطے"
GF,"فرانسیسی گیانا"
PH,فلپائن
PS,"فلسطینی خطے"
FI,"فن لینڈ"
CY,قبرص
KZ,قزاخستان
QA,قطر
CG,"کانگو - برازاویلے"
CD,"کانگو - کنشاسا"
KG,کرغزستان
HR,کروشیا
KI,کریباتی
BQ,"کریبیائی نیدرلینڈز"
KH,کمبوڈیا
CI,"کوٹ ڈی آئیوری"
CR,"کوسٹا ریکا"
