阿尔巴尼亚 (AL)
阿尔及利亚 (DZ)
阿富汗 (AF)
阿根廷 (AR)
阿拉伯联合酋长国 (AE)
阿鲁巴 (AW)
阿曼 (OM)
阿塞拜疆 (AZ)
阿森松岛 (AC)
埃及 (EG)
埃塞俄比亚 (ET)
爱尔兰 (IE)
爱沙尼亚 (EE)
安道尔 (AD)
安哥拉 (AO)
安圭拉 (AI)
安提瓜和巴布达 (AG)
奥地利 (AT)
奥兰群岛 (AX)
澳大利亚 (AU)
巴巴多斯 (BB)
巴布亚新几内亚 (PG)
巴哈马 (BS)
巴基斯坦 (PK)
巴拉圭 (PY)
巴勒斯坦领土 (PS)
巴林 (BH)
巴拿马 (PA)
巴西 (BR)
白俄罗斯 (BY)
百慕大 (BM)
保加利亚 (BG)
北马里亚纳群岛 (MP)
贝宁 (BJ)
比利时 (BE)
冰岛 (IS)
波多黎各 (PR)
波兰 (PL)
波斯尼亚和黑塞哥维那 (BA)
玻利维亚 (BO)
伯利兹 (BZ)
博茨瓦纳 (BW)
不丹 (BT)
布基纳法索 (BF)
布隆迪 (BI)
朝鲜 (KP)
赤道几内亚 (GQ)
丹麦 (DK)
德国 (DE)
迪戈加西亚岛 (DG)
东帝汶 (TL)
多哥 (TG)
多米尼加共和国 (DO)
多米尼克 (DM)
俄罗斯 (RU)
厄瓜多尔 (EC)
厄立特里亚 (ER)
法国 (FR)
法罗群岛 (FO)
法属波利尼西亚 (PF)
法属圭亚那 (GF)
法属南部领地 (TF)
法属圣马丁 (MF)
梵蒂冈 (VA)
菲律宾 (PH)
斐济 (FJ)
芬兰 (FI)
佛得角 (CV)
福克兰群岛 (FK)
冈比亚 (GM)
刚果（布） (CG)
刚果（金） (CD)
哥伦比亚 (CO)
哥斯达黎加 (CR)
格林纳达 (GD)
格陵兰 (GL)
格鲁吉亚 (GE)
根西岛 (GG)
古巴 (CU)
瓜德罗普岛 (GP)
关岛 (GU)
圭亚那 (GY)
哈萨克斯坦 (KZ)
海地 (HT)
韩国 (KR)
荷兰 (NL)
荷兰加勒比区 (BQ)
荷属圣马丁 (SX)
黑山 (ME)
洪都拉斯 (HN)
基里巴斯 (KI)
吉布提 (DJ)
吉尔吉斯斯坦 (KG)
几内亚 (GN)
几内亚比绍 (GW)
加拿大 (CA)
加纳 (GH)
加纳利群岛 (IC)
加蓬 (GA)
柬埔寨 (KH)
捷克共和国 (CZ)
津巴布韦 (ZW)
喀麦隆 (CM)
卡塔尔 (QA)
开曼群岛 (KY)
科科斯（基林）群岛 (CC)
科摩罗 (KM)
科索沃 (XK)
科特迪瓦 (CI)
科威特 (KW)
克罗地亚 (HR)
肯尼亚 (KE)
库克群岛 (CK)
库拉索 (CW)
拉脱维亚 (LV)
莱索托 (LS)
老挝 (LA)
黎巴嫩 (LB)
立陶宛 (LT)
利比里亚 (LR)
利比亚 (LY)
列支敦士登 (LI)
留尼汪 (RE)
卢森堡 (LU)
卢旺达 (RW)
罗马尼亚 (RO)
马达加斯加 (MG)
马尔代夫 (MV)
马耳他 (MT)
马拉维 (MW)
马来西亚 (MY)
马里 (ML)
马其顿 (MK)
马绍尔群岛 (MH)
马提尼克 (MQ)
马约特 (YT)
曼岛 (IM)
毛里求斯 (MU)
毛里塔尼亚 (MR)
美国 (US)
美国本土外小岛屿 (UM)
美属萨摩亚 (AS)
美属维京群岛 (VI)
蒙古 (MN)
蒙特塞拉特 (MS)
孟加拉国 (BD)
秘鲁 (PE)
密克罗尼西亚 (FM)
缅甸 (MM)
摩尔多瓦 (MD)
摩洛哥 (MA)
摩纳哥 (MC)
莫桑比克 (MZ)
墨西哥 (MX)
纳米比亚 (NA)
南非 (ZA)
南极洲 (AQ)
南乔治亚岛和南桑威齐群岛 (GS)
南苏丹 (SS)
瑙鲁 (NR)
尼加拉瓜 (NI)
尼泊尔 (NP)
尼日尔 (NE)
尼日利亚 (NG)
纽埃 (NU)
挪威 (NO)
诺福克岛 (NF)
帕劳 (PW)
皮特凯恩群岛 (PN)
葡萄牙 (PT)
日本 (JP)
瑞典 (SE)
瑞士 (CH)
萨尔瓦多 (SV)
萨摩亚 (WS)
塞尔维亚 (RS)
塞拉利昂 (SL)
塞内加尔 (SN)
塞浦路斯 (CY)
塞舌尔 (SC)
沙特阿拉伯 (SA)
圣巴泰勒米 (BL)
圣诞岛 (CX)
圣多美和普林西比 (ST)
圣赫勒拿 (SH)
圣基茨和尼维斯 (KN)
圣卢西亚 (LC)
圣马力诺 (SM)
圣皮埃尔和密克隆 (PM)
圣文森特和格林纳丁斯 (VC)
斯里兰卡 (LK)
斯洛伐克 (SK)
斯洛文尼亚 (SI)
