千里達及托巴哥 (TT)
土耳其 (TR)
土克斯及開科斯群島 (TC)
土庫曼 (TM)
不丹 (BT)
中非共和國 (CF)
中國 (CN)
中國香港特別行政區 (HK)
中國澳門特別行政區 (MO)
丹麥 (DK)
厄瓜多 (EC)
厄利垂亞 (ER)
巴布亞紐幾內亞 (PG)
巴西 (BR)
巴貝多 (BB)
巴拉圭 (PY)
巴林 (BH)
巴哈馬 (BS)
巴拿馬 (PA)
巴勒斯坦自治區 (PS)
巴基斯坦 (PK)
日本 (JP)
比利時 (BE)
牙買加 (JM)
以色列 (IL)
加拿大 (CA)
加彭 (GA)
北馬利安納群島 (MP)
北馬其頓 (MK)
北韓 (KP)
卡達 (QA)
古巴 (CU)
台灣 (TW)
史瓦帝尼 (SZ)
尼日 (NE)
尼加拉瓜 (NI)
尼泊爾 (NP)
布吉納法索 (BF)
布威島 (BV)
瓜地洛普 (GP)
瓜地馬拉 (GT)
瓦利斯群島和富圖那群島 (WF)
甘比亞 (GM)
白俄羅斯 (BY)
皮特肯群島 (PN)
立陶宛 (LT)
伊拉克 (IQ)
伊朗 (IR)
冰島 (IS)
列支敦斯登 (LI)
匈牙利 (HU)
印尼 (ID)
印度 (IN)
吉布地 (DJ)
吉里巴斯 (KI)
吉爾吉斯 (KG)
吐瓦魯 (TV)
多米尼克 (DM)
多明尼加共和國 (DO)
多哥 (TG)
安地卡及巴布達 (AG)
安奎拉 (AI)
安哥拉 (AO)
安道爾 (AD)
托克勞群島 (TK)
百慕達 (BM)
衣索比亞 (ET)
西班牙 (ES)
西撒哈拉 (EH)
克羅埃西亞 (HR)
利比亞 (LY)
宏都拉斯 (HN)
希臘 (GR)
汶萊 (BN)
沙烏地阿拉伯 (SA)
貝里斯 (BZ)
貝南 (BJ)
赤道幾內亞 (GQ)
辛巴威 (ZW)
亞美尼亞 (AM)
亞塞拜然 (AZ)
坦尚尼亞 (TZ)
奈及利亞 (NG)
委內瑞拉 (VE)
孟加拉 (BD)
尚比亞 (ZM)
帛琉 (PW)
拉脫維亞 (LV)
東加 (TO)
東帝汶 (TL)
法國 (FR)
法羅群島 (FO)
法屬圭亞那 (GF)
法屬南部屬地 (TF)
法屬玻里尼西亞 (PF)
法屬聖馬丁 (MF)
波士尼亞與赫塞哥維納 (BA)
波札那 (BW)
波多黎各 (PR)
波蘭 (PL)
直布羅陀 (GI)
肯亞 (KE)
芬蘭 (FI)
阿拉伯聯合大公國 (AE)
阿根廷 (AR)
阿曼 (OM)
阿富汗 (AF)
阿爾及利亞 (DZ)
阿爾巴尼亞 (AL)
俄羅斯 (RU)
